PID	WORKSPACE	Import_Index	PARENT	CMODEL	SEQUENCE	OBJ	TRANSCRPT	THUMBNAIL	Title	Alternative_Titles	Personal_Names~Roles	Corporate_Names~Roles	Abstract	Index_Date	Date_Issued	Date_Captured	Other_Date~Display_Label	Publisher	Place_Of_Publication	Public_Notes~Types	Notes~Display_Label	Dates_as_Notes~Display_Label	Citations	Table_of_Contents	LCSH_Subjects	Subjects_Names~Types	Subjects_Geographic	Subjects_Temporal	Keywords	Coordinate	Related_Items~Types	Type_of_Resource~AuthorityURI	Genre~AuthorityURI	Extent	Form~AuthorityURI	MIME_Type	Digital_Origin	Classifications~Authorities	Language_Names~Codes	Local_Identifier	Handle	Physical_Location	Shelf_Locator	Access_Condition	Import_Source	Primary_Sort	Hidden_Creator	Pull_Quotes	Private_Notes~Types
grinnell:12205	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/alumni-oral-histories/grinnell_12205_MODS.log	1	grinnell:alumni-oral-histories	islandora:oralhistoriesCModel		https://digital.grinnell.edu/islandora/object/grinnell:12205			Lynne Simcox '64		Simcox, Lynne '64 ~ creator | Glass, Rachel ~ interviewer | Galloway, Lilly '17 ~ editor	Grinnell College. Office of College and Alumni Relations. ~ sponsor	Alumni oral history interview with Lynne Simcox '64. Recorded May 30, 2009.	1964			2009-05-30	Grinnell College							Grinnell College. Sociology Department. | Grinnell College. | Alumni and alumnae. | History. | United Church of Christ, Congregational (Grinnell, Iowa). | Religion.						Digital Grinnell ~ host	sound recording-nonmusical	interview	12 minutes, 20 seconds		video/mpeg	born digital		English ~ eng	grinnell:12205	http://hdl.handle.net/11084/12205			"Copyright to this work is held by the author(s), in
    accordance with United States copyright law (USC 17). Readers of this work have certain rights
    as defined by the law, including but not limited to fair use (17 USC 107 et
    seq.)."		99	Simcox, Lynne '64	"My second or third year my parents came to visit and they went downtown. There was some kind of carnival going on and there was a donkey attached to a telephone and she said ""See I told you it was a one horse town. It's not even a horse."""	
grinnell:17924	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/alumni-oral-histories/grinnell_17924_MODS.log	2	grinnell:alumni-oral-histories			https://digital.grinnell.edu/islandora/object/grinnell:17924			Caryn Chaden '76		Chaden, Caryn '76 ~ interviewee | Glass, Rachel '09 ~ interviewer		Alumni oral history interview with Caryn Chaden '76. Recorded June 5, 2010.	1976	2010		2010	Grinnell College													Digital Grinnell ~ host	mixed material	Interview		sound_recording				English ~ eng	grinnell:17924	http://hdl.handle.net/11084/17924			Copyright to this work is held by the author(s), in accordance with United            States copyright law (USC 17). Readers of this work have certain rights as defined by            the law, including but not limited to fair use (17 USC 107 et seq.).		99	Chaden, Caryn '76	Getting to know people in town and getting to see the town of Grinnell, independent of the college and riding my bike in the middle of the night and riding in the corn fields- in the roads with cornfields on either side at dusk with fireflies, are really important memories for me.	
grinnell:18499	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/alumni-oral-histories/grinnell_18499_MODS.log	3	grinnell:alumni-oral-histories			https://digital.grinnell.edu/islandora/object/grinnell:18499			Camarin Madigan '00		Madigan, Camarin '00 ~ interviewee | Deng, Yuxi '18 ~ editor	Grinnell College. Office of College and Alumni Relations. ~ supporting host	Alumni oral history interview with Camarin Madigan '00. Recorded June 5, 2010.	2000			2010	Grinnell College							Alumni and alumnae. | Grinnell College. | History. | Grinnell College -- Sports -- History, Grinnell College -- Swimming -- History						Digital Grinnell ~ host	sound recording-nonmusical	interview	5 minutes 40 seconds		video/mpeg	born digital		English ~ eng	grinnell:18499	http://hdl.handle.net/11084/18499			Copyright to this work is held by the author(s), in accordance with United            States copyright law (USC 17). Readers of this work have certain rights as defined by            the law, including but not limited to fair use (17 USC 107 et seq.).		99	Madigan, Camarin '00	I had class at eight in the morning, so I got up early, which when you’re in college, getting up for an eight o’clock class is definitely early. But getting up at seven to go over to go over to professor, er, President Osgood’s house, er, his office, and it’s of course locked up, but he always gets to the office very early so I went over to his office window, and knocked on his window.  And he was a little bit shocked, I think, to see a student standing out there, because I don’t think any students are usually up at seven in the morning.	
grinnell:18500	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/alumni-oral-histories/grinnell_18500_MODS.log	4	grinnell:alumni-oral-histories			https://digital.grinnell.edu/islandora/object/grinnell:18500			Joseph Walka '60		Walka, Joseph  '60 ~ interviewee | Deng, Yuxi '18 ~ editor	Grinnell College. Office of College and Alumni Relations. ~ supporting host	Alumni oral history interview with Joseph Walka '60.  Recorded June 5, 2010.	1960			2010	Grinnell College							Grinnell College. | Alumni and alumnae. | HIstory. | Cowles Hall (Grinnell, Iowa) | Grinnell College. English Department. | Second Mile Thrift Store (Grinnell, Iowa). | Scarlet & Black.						Digital Grinnell ~ host	sound recording-nonmusical	interview	8 minutes 19 seconds		video/mpeg	born digital		English ~ eng	grinnell:18500	http://hdl.handle.net/11084/18500			Copyright to this work is held by the author(s), in accordance with United            States copyright law (USC 17). Readers of this work have certain rights as defined by            the law, including but not limited to fair use (17 USC 107 et seq.).		99	Walka, Joseph  '60	I think that she feels based on her two years at Grinnell the way I feel based on my four years that these were the most important years of our lives. So those are my recollections of my time at Grinnell. They were wonderful years of growing up and learning how to take responsibility, learning how to write against a deadline and how to work together.	
grinnell:18501	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/alumni-oral-histories/grinnell_18501_MODS.log	5	grinnell:alumni-oral-histories			https://digital.grinnell.edu/islandora/object/grinnell:18501			Christopher Doemel '94		Doemel, Christopher '94 ~ interviewee	Grinnell College. Office of College and Alumni Relations. ~ supporting host	Alumni oral history interview with Christopher Doemel '94.  Recorded June 4, 2010.	1994			2010	Grinnell College													Digital Grinnell ~ host	sound recording-nonmusical		19 minutes 53 seconds	sound_recording				English ~ eng	grinnell:18501	http://hdl.handle.net/11084/18501			Copyright to this work is held by the author(s), in accordance with United            States copyright law (USC 17). Readers of this work have certain rights as defined by            the law, including but not limited to fair use (17 USC 107 et seq.).		99	Doemel, Christopher '94	I guess, for student and campus life, one of the things I liked about Grinnell was the fact that they tried to bring things in on campus that were kind of interesting to do, so you never felt—like even though you were isolated, you never really felt like you were isolated, because there was always something to do every weekend.	
grinnell:18502	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/alumni-oral-histories/grinnell_18502_MODS.log	6	grinnell:alumni-oral-histories			https://digital.grinnell.edu/islandora/object/grinnell:18502			Scott Barkley '00		Barkley, Scott '00 ~ interviewee | Figa, Alenka '14 ~ transcriber | Galloway, Lily '17 ~ editor | Deng, Yuxi '18 ~ reviewer		Alumni oral history interview with Scott Barkely '00. Recorded June 2010.	2000			2010	Grinnell College							Cross country running. | Football						Digital Grinnell ~ host	sound recording-nonmusical	interview	3 minutes 4 seconds		video/mpeg	born digital		English ~ eng	grinnell:18502	http://hdl.handle.net/11084/18502			Copyright to this work is held by the author(s), in accordance with United            States copyright law (USC 17). Readers of this work have certain rights as defined by            the law, including but not limited to fair use (17 USC 107 et seq.).		99	Barkley, Scott '00	The coaching staff here at Grinnell understood student athletes like that and understood the new need to recruit them, which I thought was a phenomenal experience.  It was great to get invited to campus, to be invited to stay with current members of the team that I was looking at and really get a taste of the experience here.	
grinnell:18503	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/alumni-oral-histories/grinnell_18503_MODS.log	7	grinnell:alumni-oral-histories			https://digital.grinnell.edu/islandora/object/grinnell:18503			Paul Scott Stanfield '76		Deng, Yuxi '18 ~ transcriber | Stanfield, Paul Scott'76 ~ interviewee	Grinnell College. Office of College and Alumni Relations. ~ supporting host	Alumni oral history interview with Paul Scott Stanfield '76.  Recorded June 4, 2010.	1976			2010	Grinnell College							Grinnell College. | Alumni and alumnae. | History. | Grinnell College. English Department., Grinnell College. Russian and East European Studies Department. and East European Studies, Norris Hall (Grinnell, Iowa)						Digital Grinnell ~ host | Digital Grinnell ~ host	sound recording-nonmusical	interview						English ~ eng	grinnell:18503	http://hdl.handle.net/11084/18503			Copyright to this work is held by the author(s), in accordance with United            States copyright law (USC 17). Readers of this work have certain rights as defined by            the law, including but not limited to fair use (17 USC 107 et seq.).		99	Stanfield, Paul Scott'76	Don Smith, who was in the history department in those days, particularly impressed me because he treated us—he took us seriously—he treated us as grown-ups. He didn’t expect us to be experts, but he treated us, not as peers or equals, but as historians, so to speak, who had an obligation to be honest and rigorous and scholarly and he had such a, sort of, gentle and gentleman-ly way of maintaining high standards that he made a tremendous impression on me.	
grinnell:18505	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/alumni-oral-histories/grinnell_18505_MODS.log	8	grinnell:alumni-oral-histories			https://digital.grinnell.edu/islandora/object/grinnell:18505			Renee Bourgeois Parsons '96		Bourgeois Parsons, Renee '96 ~ interviewee | McFate, Mackenzie '18 ~ editor	Grinnell College. Office of College and Alumni Relations. ~ supporting host	Alumni oral history interview with Renee Bourgeois Parsons '96. Recorded June 5, 2010.	1996			2010	Grinnell College							Grinnell College. | Alumni and alumnae. | History. | Grinnell College -- Alumni Association -- History, KDIC (Radio station : Grinnell, Iowa						Digital Grinnell ~ host	sound recording-nonmusical	interview			video/mpeg	born digital		English ~ eng	grinnell:18505	http://hdl.handle.net/11084/18505			Copyright to this work is held by the author(s), in accordance with United            States copyright law (USC 17). Readers of this work have certain rights as defined by            the law, including but not limited to fair use (17 USC 107 et seq.).		99	Bourgeois Parsons, Renee '96	It’s kind of nice to have this deeper connection now, not only with my classmates, but also with the people who I didn’t overlap with at all at Grinnell.	
grinnell:18520	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/alumni-oral-histories/grinnell_18520_MODS.log	9	grinnell:alumni-oral-histories			https://digital.grinnell.edu/islandora/object/grinnell:18520			Mark Butterman '76		Butterman, Mark '76 ~ interviewee | Zebe,  Zoe '12 ~ interviewer	Grinnell College. Office of College and Alumni Relations. ~ supporting host	Alumni oral history interview with Mark Butterman '76. Recorded June 4, 2010.	1976			4-Jun-10	Grinnell College													Digital Grinnell ~ host	sound recording-nonmusical	interview	6 minutes 03 seconds		video/mpeg	born digital		English ~ eng	grinnell:xxxxx	http://hdl.handle.net/11084/18520			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99	Butterman, Mark '76	I walked out of there exhausted, realizing that maybe I was not above average and that maybe that I had a lot of work to do—but also that it may be a challenge and fun to produce the kind of work that would satisfy a really inquisitive, demanding mind.	
grinnell:18521	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/alumni-oral-histories/grinnell_18521_MODS.log	10	grinnell:alumni-oral-histories			https://digital.grinnell.edu/islandora/object/grinnell:18521			Sarah Davis Worth '00		Davis Worth, Sarah '00 ~ interviewee | Unknown ~ interviewer	Grinnell College. Office of College and Alumni Relations. ~ supporting host	Alumni oral history interview with Sarah Davis Worth '00. Recorded June 5, 2010.	2000			5-Jun-10	Grinnell College													Digital Grinnell ~ host | Grinnell College Alumni Oral Histories ~ host	sound recording-nonmusical	interview	4 minutes 06 seconds		video/mpeg	born digital		English ~ eng	grinnell:xxxxx	http://hdl.handle.net/11084/18521			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99	Davis Worth, Sarah '00	It’s funny because when he and I talk about Grinnell, we have the same stories about the same places and the same experiences, even though our time here was split by 14 years. When he says that as a freshman he lived on Norris 4th, I know what that means. And when we talk about different parties and different places on campus, it’s the same. And he and I even know people in common who were classmates of his that then stayed on at the college or whatever- professors we had in common, that kind of thing.	
