PID	WORKSPACE	Import_Index	PARENT	CMODEL	SEQUENCE	OBJ	TRANSCRPT	THUMBNAIL	Title	Alternative_Titles	Personal_Names~Roles	Corporate_Names~Roles	Abstract	Index_Date	Date_Issued	Date_Captured	Other_Date~Display_Label	Publisher	Place_Of_Publication	Public_Notes~Types	Notes~Display_Label	Dates_as_Notes~Display_Label	Citations	Table_of_Contents	LCSH_Subjects	Subjects_Names~Types	Subjects_Geographic	Subjects_Temporal	Keywords	Coordinate	Related_Items~Types	Type_of_Resource~AuthorityURI	Genre~AuthorityURI	Extent	Form~AuthorityURI	MIME_Type	Digital_Origin	Classifications~Authorities	Language_Names~Codes	Local_Identifier	Handle	Physical_Location	Shelf_Locator	Access_Condition	Import_Source	Primary_Sort	Hidden_Creator	Pull_Quotes	Private_Notes~Types
grinnell:17294	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/ancient-coins/grinnell_17294_MODS.log	1	grinnell:ancient-coins			https://digital.grinnell.edu/islandora/object/grinnell:17294			Republican Quadrigatus 225 BCE		Foss, Danja | Hubbard, Sarah ~ contributor | Cummins, Monessa ~ sponsor	Grinnell College. Classics Department ~ supporting host	Obverse: Laureate, Janiform head of Dioscuri. Border of dots. Reverse: Jupiter in quadriga, right, driven by Victory. Jupiter holds scepter in left hand and hurls thunderbolt with right hand; incuse on tablet, Latin inscription: ROMA.	-0225			225-212 BCE ~ Date Issued			AC_RR_001Obv.TIFF, AC_RR_001Rev.TIFF ~ source identifier | Hubbard, Sarah (2017) ~ production credits			Cr. 28/3,30/1 ~ citation						Quadrigatus | Janus | Jupiter | Quadriga | Victory | Roma			still image	coin	Dia.21.1mm; wt.6.30g; axis 180 degrees		image/tiff	digitized other analog		Latin ~ lat	grinnell:17294	http://hdl.handle.net/11084/17294					99			
grinnell:17295	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/ancient-coins/grinnell_17295_MODS.log	2	grinnell:ancient-coins			https://digital.grinnell.edu/islandora/object/grinnell:17295			Republican Denarius 137 BCE		Foss, Danja | Hubbard, Sarah ~ contributor | Cummins, Monessa ~ sponsor	Grinnell College. Classics Department ~ supporting host	Obverse: Helmeted head of Roma, left; behind, Latin inscription: TAMPIL; before, denominational mark: X. Border of dots.  Reverse: Apollo in quadriga right, holding bow with reins in left hand and branch in right hand; below, Latin inscription: ROMA; in exergue, Latin inscription: M·BAEBI·Q·F. Line border.	-0137			137 BCE ~ Date Issued			AC_RR_002Obv.TIFF, AC_RR_002Rev.TIFF ~ source identifier | Hubbard, Sarah (2017) ~ production credits			Cr.236/1b ~ citation						Denarius | Roma | Apollo | Quadriga			still image	coin	Dia.19.8mm; wt.3.88g; axis 135 degrees		image/tiff	digitized other analog		Latin ~ lat	grinnell:17295	http://hdl.handle.net/11084/17295					99			
grinnell:17296	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/ancient-coins/grinnell_17296_MODS.log	3	grinnell:ancient-coins			https://digital.grinnell.edu/islandora/object/grinnell:17296			Republican Denarius 123 BCE		Foss, Danja | Hubbard, Sarah ~ contributor | Cummins, Monessa ~ sponsor	Grinnell College. Classics Department ~ supporting host	Obverse: Helmeted head of Roma, right; behind, Latin inscription:ROMA; before, denominational mark: X. Border of dots. Reverse: Victory in quadriga, right, holding reins in left hand and wreath in right hand; in exergue, Latin inscription: M·FAN·C·F (AN ligatured). Line border.	-0123			123 BCE ~ Date Issued			AC_RR_003Obv.TIFF; AC_RR_003Rev.TIFF ~ source identifier | Hubbard, Sarah (2017) ~ production credits			BMCRR, Vol. 2, p. 251, Italy.468-70; pl. xcii. 9 (vol. 3), cf. Cr.275/1 ~ citation						Roma | Victory | Quadriga | Silver | Denarius			still image	coin	Dia.18.5mm; wt.3.93g; axis 135 degrees		image/tiff	digitized other analog		Latin ~ lat	grinnell:17296	http://hdl.handle.net/11084/17296					99			
grinnell:17297	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/ancient-coins/grinnell_17297_MODS.log	4	grinnell:ancient-coins			https://digital.grinnell.edu/islandora/object/grinnell:17297			Republican Denarius 134 BCE		Foss, Danja | Hubbard, Sarah ~ contributor | Cummins, Monessa ~ sponsor	Grinnell College. Classics Department ~ supporting host	Obverse: Helmeted head of Roma, right; behind, denominational mark. Border of dots. Reverse: Spiral column; standing on column, statue holding staff in right hand; on left, togate figure holding loaves (?) with left foot on modius; on right, togate figure holding lituus in right hand; above (divided by column), Latin inscription: ROMA ; behind left upwards, Latin inscription; TI MINVCI C F; behind right, downwards, Latin inscription: AVGVRINI; denominational mark: X (crossed). Border of dots.	-0134			134 BCE ~ Date Issued			AC_RR_004Obv.TIFF; AC_RR_004Rev.TIFF ~ source identifier | Hubbard, Sarah (2017) ~ production credits			BMCRR, Vol. 1, p. 148, Rome.1005-6; pl. xxvii. 16, Cr.243/1 ~ citation						Roma | Column | Lituus | Silver | Denarius			still image	coin	Dia.19.3mm; wt.3.85g; axis 90 degrees		image/tiff	digitized other analog		Latin ~ lat	grinnell:17297	http://hdl.handle.net/11084/17297					99			
grinnell:17298	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/ancient-coins/grinnell_17298_MODS.log	5	grinnell:ancient-coins			https://digital.grinnell.edu/islandora/object/grinnell:17298			Republican Denarius 130 BCE		Foss, Danja | Hubbard, Sarah ~ contributor | Cummins, Monessa ~ sponsor	Grinnell College. Classics Department ~ supporting host	Obverse: Helmeted head of Roma, right; behind, Latin inscription: Q·METE (ME and TE ligatured); before, denominational mark: X (crossed). Border of dots. Reverse: Jupiter in quadriga, right, holding thunderbolt and reins in left hand and branch in right hand; in exergue, Latin inscription: ROMA. Line border.	-0130			130 BCE ~ Date Issued			AC_RR_005Obv.TIFF; AC_RR_005Rev.TIFF ~ source identifier | Hubbard, Sarah (2017) ~ production credits			BMCRR, Vol. 1, p. 157, Rome.1055; pl. xxviii, 19 obv., cf. Cr.256/1 ~ citation						Roma | Jupiter | Quadriga | Silver | Denarius			still image	coin	Dia.18.8mm; wt.3.85g; axis 90 degrees		image/tiff	digitized other analog		Latin ~ lat	grinnell:17298	http://hdl.handle.net/11084/17298					99			
grinnell:17299	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/ancient-coins/grinnell_17299_MODS.log	6	grinnell:ancient-coins			https://digital.grinnell.edu/islandora/object/grinnell:17299			Republican Denarius 113 BCE		Foss, Danja | Hubbard, Sarah ~ contributor | Cummins, Monessa ~ sponsor	Grinnell College. Classics Department ~ supporting host	Obverse: Bust of Roma left, wearing helmet and holding shield in left hand and spear over shoulder in right hand; above, crescent; behind, Latin inscription: ROMA; before, denominational mark: X (crossed). Border of dots. Reverse: Voting scene. One figure on left of pons receives ballot from attendant below, another figure on right of pons places ballot in cista; above, Latin inscription: P·NERVA (NE ligatured). At top of coin, bar on which stands tablet bearing letter P. Border of dots.	-0113			113–112 BCE ~ Date Issued			AC_RR_006Obv.TIFF; AC_RR_006Rev.TIFF ~ source identifier | Hubbard, Sarah (2017) ~ production credits			BMCRR, Vol. 2, p. 274, Italy.526; pl. xciii. 15., Cr. 292/1 ~ citation						Roma | Voting | Pons | Silver | Denarius			still image	coin	Dia.18.1mm; wt.3.85g; axis 270 degrees		image/tiff	digitized other analog		Latin ~ lat	grinnell:17299	http://hdl.handle.net/11084/17299					99			
grinnell:17300	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/ancient-coins/grinnell_17300_MODS.log	7	grinnell:ancient-coins			https://digital.grinnell.edu/islandora/object/grinnell:17300			Republican Denarius 88 BCE		Foss, Danja | Hubbard, Sarah ~ contributor | Cummins, Monessa ~ sponsor	Grinnell College. Classics Department ~ supporting host	Obverse: Helmeted head of Roma right; behind, control mark: R. Border of dots. Reverse: Victory in biga right, holding reins in both hands; above, control mark: XIII; in exergue, Latin inscription: D·SILANVS·L·F / ROMA. Border of dots.	-0088			c.88 BCE ~ Date Issued			AC_RR_007Obv.TIFF; AC_RR_007Rev.TIFF ~ source identifier | Hubbard, Sarah (2017) ~ production credits			Variation on: BMCRR, Roma.1827-8; Cr.337/3; (Close to) British Museum Online Database: 337.3.80 ~ citation						Roma | Victory | Biga | Silver | Denarius			still image	coin	Dia.17.7mm; wt.3.85g; axis 135 degrees		image/tiff	digitized other analog		Latin ~ lat	grinnell:17300	http://hdl.handle.net/11084/17300					99			
grinnell:17301	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/ancient-coins/grinnell_17301_MODS.log	8	grinnell:ancient-coins			https://digital.grinnell.edu/islandora/object/grinnell:17301			Republican Denarius 90 BCE		Foss, Danja | Hubbard, Sarah ~ contributor | Cummins, Monessa ~ sponsor	Grinnell College. Classics Department ~ supporting host	Obverse: Laureate head of Apollo right; below chin, control mark: F, dot below. Border of dots. Reverse: Horseman right with palm branch in right hand and reins in left hand; above, control mark: mallet; below, Latin inscription: L PISO FRUGI / ROMA; Border of dots.	-0090			90 BCE ~ Date Issued			AC_RR_008Obv.TIFF; AC_RR_008Rev.TIFF ~ source identifier | Hubbard, Sarah (2017) ~ production credits			BMCRR, Vol. 1, p. 257, Rome.1892; Cr. 340/1; British Museum Online Database: 340.1.38 ~ citation						Apollo | Silver | Denarius			still image	coin	Dia.19.15mm; wt.3.90g; axis 90 degrees		image/tiff	digitized other analog		Latin ~ lat	grinnell:17301	http://hdl.handle.net/11084/17301					99			
grinnell:17302	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/ancient-coins/grinnell_17302_MODS.log	9	grinnell:ancient-coins			https://digital.grinnell.edu/islandora/object/grinnell:17302			Republican Denarius 84 BCE		Foss, Danja | Hubbard, Sarah ~ contributor | Cummins, Monessa ~ sponsor	Grinnell College. Classics Department ~ supporting host	Obverse: Bust of Apollo seen from behind, with head turned to left and with thunderbolt in right hand. Border of dots. Reverse: Minerva in quadriga right, holding shield and reins in left hand and spear in right hand; in exergue, Latin inscription: C. LICINIVS L  F / MACER. Border of dots.	-0084			84 BCE ~ Date Issued			AC_RR_009Obv.TIFF; AC_RR_009Rev.TIFF ~ source identifier | Hubbard, Sarah (2017) ~ production credits			BMCRR, Vol. 1, p. 320, Rome. 2467-9; pl. xxxviii. 8., Cr.354/1; British Museum Online Dtabase: 354.1.8 ~ citation						Apollo | Minerva | Quadriga | Silver | Denarius			still image	coin	Dia. 19.8mm; wt. 4.1g; axis 180 degrees		image/tiff	digitized other analog		Latin ~ lat	grinnell:17302	http://hdl.handle.net/11084/17302					99			
grinnell:17303	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/ancient-coins/grinnell_17303_MODS.log	10	grinnell:ancient-coins			https://digital.grinnell.edu/islandora/object/grinnell:17303			Republican Denarius 83 BCE		Foss, Danja | Hubbard, Sarah ~ contributor | Cummins, Monessa ~ sponsor	Grinnell College. Classics Department ~ supporting host	Obverse: Bust of Mercury right, draped and with caduceus over shoulder; behind, control mark: S. Border of dots. Reverse: Ulysses standing right holding staff in left hand and extending right hand to dog, Argus; on left, Latin inscription: C·MAMIL; on right, Latin inscription: LIMEAN. Border of dots.	-0083			83 BCE ~ Date Issued			AC_RR_010Obv.TIFF; AC_RR_010Rev.TIFF ~ source identifier | Hubbard, Sarah (2017) ~ production credits			BMCRR, Vol. 1, p. 33, ROME. 272; Cr. 362/1; British Museum Online Database: 362.1.12 ~ citation						Mercury | Caduceus | Ulysses | Silver | Denarius			still image	coin	Dia. 20.05 mm; wt.3.05g; axis 270 degrees		image/tiff	digitized other analog		Latin ~ lat	grinnell:17303	http://hdl.handle.net/11084/17303					99			
grinnell:17304	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/ancient-coins/grinnell_17304_MODS.log	11	grinnell:ancient-coins			https://digital.grinnell.edu/islandora/object/grinnell:17304			Republican Denarius 79 BCE		Foss, Danja | Hubbard, Sarah ~ contributor | Cummins, Monessa ~ sponsor	Grinnell College. Classics Department ~ supporting host	Obverse: Head of Venus right, wearing diadem; behind, Latin inscription: S·C. Border of dots. Reverse: Victory in triga right, holding reins in both hands; above, control mark: LXVIIII; in exergue, Latin inscription: C·NAE·BALB (AE and AL ligatured). Border of dots.	-0079			79 BCE ~ Date Issued			AC_RR_011Obv.TIFF; AC_RR_011Rev.TIFF ~ source identifier | Hubbard, Sarah (2017) ~ production credits			Variation on BMCRR, Vol. 1, p. 368, ROME.2944; Cr. 382/1b. British Museum Online Database: 382.1.59 ~ citation						Venus | Victory | Triga | Silver | Denarius			still image	coin	Dia. 18.85mm; wt. 3.90g; axis 180 degrees		image/tiff	digitized other analog		Latin ~ lat	grinnell:17304	http://hdl.handle.net/11084/17304					99			
