PID	WORKSPACE	Import_Index	PARENT	CMODEL	SEQUENCE	OBJ	TRANSCRPT	THUMBNAIL	Title	Alternative_Titles	Personal_Names~Roles	Corporate_Names~Roles	Abstract	Index_Date	Date_Issued	Date_Captured	Other_Date~Display_Label	Publisher	Place_Of_Publication	Public_Notes~Types	Notes~Display_Label	Dates_as_Notes~Display_Label	Citations	Table_of_Contents	LCSH_Subjects	Subjects_Names~Types	Subjects_Geographic	Subjects_Temporal	Keywords	Coordinate	Related_Items~Types	Type_of_Resource~AuthorityURI	Genre~AuthorityURI	Extent	Form~AuthorityURI	MIME_Type	Digital_Origin	Classifications~Authorities	Language_Names~Codes	Local_Identifier	Handle	Physical_Location	Shelf_Locator	Access_Condition	Import_Source	Primary_Sort	Hidden_Creator	Pull_Quotes	Private_Notes~Types
grinnell:1000	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/college-buildings/grinnell_1000_MODS.log	1	grinnell:college-buildings	islandora:bookCModel		https://digital.grinnell.edu/islandora/object/grinnell:1000			A Glimpse of the New Quadrangle For Women at Grinnell College	The New Quad		Grinnell College ~ supporting host	A booklet describing the need for new women's housing, as well as photographs of the new housing being built. Printed circa 1915.	1915	1915			Grinnell College							Women college students | Dormitories | Grinnell College | College Buildings		Grinnell (Iowa)	Nineteen tens	Women's Quadrangle		Digital Grinnell ~ host | Life at Grinnell College ~ host | Campus Buildings ~ host	text	book	14 pages	Ink on paper	image/tiff	reformated digital		English ~ eng	grinnell:1000	http://hdl.handle.net/11084/1000			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:1030	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/college-buildings/grinnell_1030_MODS.log	2	grinnell:college-buildings	islandora:bookCModel		https://digital.grinnell.edu/islandora/object/grinnell:1030			Men's Halls	Grinnell College Bulletin, vol XX, no 3		Grinnell College ~ supporting host	A booklet illustrating the Men's Halls at Grinnell College including descriptions of rooms and floorplans with costs as well as  describing life at Grinnell College. Probably 1922.	1922			1922? ~ Date Issued	Grinnell College							College Buildings | Dormitories | Grinnell College		Grinnell (Iowa)	Nineteen twenties			Digital Grinnell ~ host | Campus Buildings ~ host | Life at Grinnell College ~ host	text	book	28 pages		image/tiff	reformated digital		English ~ eng	grinnell:1030	http://hdl.handle.net/11084/1030			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10399	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/college-buildings/grinnell_10399_MODS.log	3	grinnell:college-buildings	islandora:sp_basic_image		https://digital.grinnell.edu/islandora/object/grinnell:10399			Environmental Action Group Photos			Grinnell College. Environmental Action Group ~ Supporting host	Photographs from the Environmental Action Group.	1994			1994-1995 ~ Approx. Date of Creation	Grinnell College							Grinnell College Environmental Action Group | Student activities | Environmentalism		Grinnell (Iowa)				Grinnell College. Voicebox. ~ host | Digital Grinnell ~ host	Photograph		3 sheets	Paper	image/jpeg	reformated digital		English ~ eng	grinnell:10399	http://hdl.handle.net/11084/10399			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10400	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/college-buildings/grinnell_10400_MODS.log	4	grinnell:college-buildings	islandora:sp_basic_image		https://digital.grinnell.edu/islandora/object/grinnell:10400			Environmental Action Group Photos			Grinnell College. Environmental Action Group ~ Supporting host	Photographs from the Environmental Action Group.	1994			1994-1995 ~ Approx. Date of Creation	Grinnell College							Grinnell College Environmental Action Group | Student activities | Environmentalism		Grinnell (Iowa)				Grinnell College. Voicebox. ~ host | Digital Grinnell ~ host	Photograph		3 sheets	Paper	image/jpeg	reformated digital		English ~ eng	grinnell:10400	http://hdl.handle.net/11084/10400			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10401	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/college-buildings/grinnell_10401_MODS.log	5	grinnell:college-buildings	islandora:sp_basic_image		https://digital.grinnell.edu/islandora/object/grinnell:10401			Environmental Action Group Photos			Grinnell College. Environmental Action Group ~ Supporting host	Photographs from the Environmental Action Group.	1994			1994-1995 ~ Approx. Date of Creation	Grinnell College							Grinnell College Environmental Action Group | Student activities | Environmentalism		Grinnell (Iowa)				Grinnell College. Voicebox. ~ host | Digital Grinnell ~ host	Photograph		3 sheets	Paper	image/jpeg	reformated digital		English ~ eng	grinnell:10401	http://hdl.handle.net/11084/10401			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10414	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/college-buildings/grinnell_10414_MODS.log	6	grinnell:college-buildings	islandora:sp_basic_image		https://digital.grinnell.edu/islandora/object/grinnell:10414			Grinnell College Bulletin: The Men's Dormitories	Men's Dormitories		Grinnell College ~ author	Pamphlet detailing the men's dormitories for new students	1917	March 15, 1917		1917-03-15	Grinnell College							Men's Dormitory Quadrangle (Grinnell, Iowa) | Grinnell College | Dormitories		Grinnell (Iowa)	1917			Digital Grinnell ~ host | College Life ~ host | Residence Halls ~ host | Grinnell College Building History ~ host	Article		11 pages	pamphlet	image/jpeg	reformated digital		English ~ eng	grinnell:10414	http://hdl.handle.net/11084/10414			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10415	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/college-buildings/grinnell_10415_MODS.log	7	grinnell:college-buildings	islandora:sp_basic_image		https://digital.grinnell.edu/islandora/object/grinnell:10415			Grinnell College Bulletin: The Men's Dormitories	Men's Dormitories		Grinnell College ~ author	Pamphlet detailing the men's dormitories for new students	1917	March 15, 1917		1917-03-15	Grinnell College							Men's Dormitory Quadrangle (Grinnell, Iowa) | Grinnell College | Dormitories		Grinnell (Iowa)	1917			Digital Grinnell ~ host | College Life ~ host | Residence Halls ~ host | Grinnell College Building History ~ host	Article		11 pages	pamphlet	image/jpeg	reformated digital		English ~ eng	grinnell:10415	http://hdl.handle.net/11084/10415			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10416	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/college-buildings/grinnell_10416_MODS.log	8	grinnell:college-buildings	islandora:sp_basic_image		https://digital.grinnell.edu/islandora/object/grinnell:10416			Grinnell College Bulletin: The Men's Dormitories	Men's Dormitories		Grinnell College ~ author	Pamphlet detailing the men's dormitories for new students	1917	March 15, 1917		1917-03-15	Grinnell College							Men's Dormitory Quadrangle (Grinnell, Iowa) | Grinnell College | Dormitories		Grinnell (Iowa)	1917			Digital Grinnell ~ host | College Life ~ host | Residence Halls ~ host | Grinnell College Building History ~ host	Article		11 pages	pamphlet	image/jpeg	reformated digital		English ~ eng	grinnell:10416	http://hdl.handle.net/11084/10416			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10417	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/college-buildings/grinnell_10417_MODS.log	9	grinnell:college-buildings	islandora:sp_basic_image		https://digital.grinnell.edu/islandora/object/grinnell:10417			Grinnell College Bulletin: The Men's Dormitories	Men's Dormitories		Grinnell College ~ author	Pamphlet detailing the men's dormitories for new students	1917	March 15, 1917		1917-03-15	Grinnell College							Men's Dormitory Quadrangle (Grinnell, Iowa) | Grinnell College | Dormitories		Grinnell (Iowa)	1917			Digital Grinnell ~ host | College Life ~ host | Residence Halls ~ host | Grinnell College Building History ~ host	Article		11 pages	pamphlet	image/jpeg	reformated digital		English ~ eng	grinnell:10417	http://hdl.handle.net/11084/10417			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10418	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/college-buildings/grinnell_10418_MODS.log	10	grinnell:college-buildings	islandora:sp_basic_image		https://digital.grinnell.edu/islandora/object/grinnell:10418			Grinnell College Bulletin: The Men's Dormitories	Men's Dormitories		Grinnell College ~ author	Pamphlet detailing the men's dormitories for new students	1917	March 15, 1917		1917-03-15	Grinnell College							Men's Dormitory Quadrangle (Grinnell, Iowa) | Grinnell College | Dormitories		Grinnell (Iowa)	1917			Digital Grinnell ~ host | College Life ~ host | Residence Halls ~ host | Grinnell College Building History ~ host	Article		11 pages	pamphlet	image/jpeg	reformated digital		English ~ eng	grinnell:10418	http://hdl.handle.net/11084/10418			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
