PID	WORKSPACE	Import_Index	PARENT	CMODEL	SEQUENCE	OBJ	TRANSCRPT	THUMBNAIL	Title	Alternative_Titles	Personal_Names~Roles	Corporate_Names~Roles	Abstract	Index_Date	Date_Issued	Date_Captured	Other_Date~Display_Label	Publisher	Place_Of_Publication	Public_Notes~Types	Notes~Display_Label	Dates_as_Notes~Display_Label	Citations	Table_of_Contents	LCSH_Subjects	Subjects_Names~Types	Subjects_Geographic	Subjects_Temporal	Keywords	Coordinate	Related_Items~Types	Type_of_Resource~AuthorityURI	Genre~AuthorityURI	Extent	Form~AuthorityURI	MIME_Type	Digital_Origin	Classifications~Authorities	Language_Names~Codes	Local_Identifier	Handle	Physical_Location	Shelf_Locator	Access_Condition	Import_Source	Primary_Sort	Hidden_Creator	Pull_Quotes	Private_Notes~Types
grinnell:10266	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/college-history/grinnell_10266_MODS.log	1	grinnell:college-history	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10266			Reed, Fred W's Letter to Charles Payne on J.B. Grinnell		Fred W. | Reed | Reed, Fred W. ~ author		A letter from Fred W. Reed to Charles Payne with information on J.B. Grinnell.	1938			29/11/1938 ~ Date Issued	Grinnell College											J.B. Grinnell		Digital Grinnell ~ host	Other						52 pG88rec ~ ddc	English ~ eng	grinnell:10266	http://hdl.handle.net/11084/10266			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10267	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/college-history/grinnell_10267_MODS.log	2	grinnell:college-history	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10267			Reed, Fred W's Letter to Charles Payne on J.B. Grinnell		Fred W. | Reed | Reed, Fred W. ~ author		A letter from Fred W. Reed to Charles Payne with information on J.B. Grinnell.	1938			29/11/1938 ~ Date Issued	Grinnell College											J.B. Grinnell		Digital Grinnell ~ host	Other						52 pG88rec ~ ddc	English ~ eng	grinnell:10267	http://hdl.handle.net/11084/10267			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10268	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/college-history/grinnell_10268_MODS.log	3	grinnell:college-history	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10268			Reed, Fred W's Letter to Charles Payne on J.B. Grinnell		Fred W. | Reed | Reed, Fred W. ~ author		A letter from Fred W. Reed to Charles Payne with information on J.B. Grinnell.	1938			29/11/1938 ~ Date Issued	Grinnell College											J.B. Grinnell		Digital Grinnell ~ host	Other						52 pG88rec ~ ddc	English ~ eng	grinnell:10268	http://hdl.handle.net/11084/10268			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10269	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/college-history/grinnell_10269_MODS.log	4	grinnell:college-history	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10269			Reed, Fred W's Letter to Charles Payne on J.B. Grinnell		Fred W. | Reed | Reed, Fred W. ~ author		A letter from Fred W. Reed to Charles Payne with information on J.B. Grinnell.	1938			29/11/1938 ~ Date Issued	Grinnell College											J.B. Grinnell		Digital Grinnell ~ host	Other						52 pG88rec ~ ddc	English ~ eng	grinnell:10269	http://hdl.handle.net/11084/10269			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10277	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/college-history/grinnell_10277_MODS.log	5	grinnell:college-history	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10277			Season Ticket to The World's Industrial Exhibition of 1853				"This small card is a season ticket to The World's Industrial Exhibition of 1853. The ticket is in the name of ""Rev. J.B. Grinnell and Wife."""					Grinnell College											World's Industrial Exhibition		Digital Grinnell ~ host | Poweshiek History Preservation Project ~ host	Ephemera						52 pG88bi ~ ddc	English ~ eng	grinnell:10277	http://hdl.handle.net/11084/10277			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10353	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/college-history/grinnell_10353_MODS.log	6	grinnell:college-history	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10353			Tercentenary Book of Alden		John Alden | Seabury | Seabury, John Alden ~ author		Letter addressed to Mrs. David O. Mears on compiling a book of the descendants of John Alden, with a list of descendants on the back.					Grinnell College											David Mears | John Alden Seabury		Grinnell Genealogy ~ host	Manuscript							English ~ eng	grinnell:10353	http://hdl.handle.net/11084/10353			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10354	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/college-history/grinnell_10354_MODS.log	7	grinnell:college-history	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10354			Tercentenary Book of Alden		John Alden | Seabury | Seabury, John Alden ~ author		Letter addressed to Mrs. David O. Mears on compiling a book of the descendants of John Alden, with a list of descendants on the back.					Grinnell College											David Mears | John Alden Seabury		Grinnell Genealogy ~ host	Manuscript							English ~ eng	grinnell:10354	http://hdl.handle.net/11084/10354			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10355	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/college-history/grinnell_10355_MODS.log	8	grinnell:college-history	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10355			Catherine Hastings Note				Two copies of a note on the life of Catherine Hastings.					Grinnell College											Susanna Underwood | Catherine Hastings | Timothey Hastings		Digital Grinnell ~ host | Grinnell Genealogy ~ host	Manuscript							English ~ eng	grinnell:10355	http://hdl.handle.net/11084/10355			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10356	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/college-history/grinnell_10356_MODS.log	9	grinnell:college-history	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10356			Catherine Hastings Note				Two copies of a note on the life of Catherine Hastings.					Grinnell College											Susanna Underwood | Catherine Hastings | Timothey Hastings		Digital Grinnell ~ host | Grinnell Genealogy ~ host	Manuscript							English ~ eng	grinnell:10356	http://hdl.handle.net/11084/10356			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10523	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/college-history/grinnell_10523_MODS.log	10	grinnell:college-history	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10523			Neutral Lands Correspondence				This collection of transcribed correspondence between J.B. Grinnell and various parties ranges in dates from May of 1868 to January of 1870. In the letters, Grinnell sends updates to Washington as he attempts to secure the purchase of certain neutral lands from the Cherokee Indians. The accusation that J.B. Grinnell accepted bribes for pushing the deal through is also covered in this correspondence, as is Grinnell's response.					Grinnell College											Neutral Lands | Railroad | Cherokee | Indian | Bribe		Digital Grinnell ~ host | Poweshiek History Preservation Project ~ host	Manuscript						52 pG88j ~ ddc	English ~ eng	grinnell:10523	http://hdl.handle.net/11084/10523			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
