PID	WORKSPACE	Import_Index	PARENT	CMODEL	SEQUENCE	OBJ	TRANSCRPT	THUMBNAIL	Title	Alternative_Titles	Personal_Names~Roles	Corporate_Names~Roles	Abstract	Index_Date	Date_Issued	Date_Captured	Other_Date~Display_Label	Publisher	Place_Of_Publication	Public_Notes~Types	Notes~Display_Label	Dates_as_Notes~Display_Label	Citations	Table_of_Contents	LCSH_Subjects	Subjects_Names~Types	Subjects_Geographic	Subjects_Temporal	Keywords	Coordinate	Related_Items~Types	Type_of_Resource~AuthorityURI	Genre~AuthorityURI	Extent	Form~AuthorityURI	MIME_Type	Digital_Origin	Classifications~Authorities	Language_Names~Codes	Local_Identifier	Handle	Physical_Location	Shelf_Locator	Access_Condition	Import_Source	Primary_Sort	Hidden_Creator	Pull_Quotes	Private_Notes~Types
grinnell:1000	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/college-life/grinnell_1000_MODS.log	1	grinnell:college-life	islandora:bookCModel		https://digital.grinnell.edu/islandora/object/grinnell:1000			A Glimpse of the New Quadrangle For Women at Grinnell College	The New Quad		Grinnell College ~ supporting host	A booklet describing the need for new women's housing, as well as photographs of the new housing being built. Printed circa 1915.	1915	1915			Grinnell College							Women college students | Dormitories | Grinnell College | College Buildings		Grinnell (Iowa)	Nineteen tens	Women's Quadrangle		Digital Grinnell ~ host | Life at Grinnell College ~ host | Campus Buildings ~ host	text	book	14 pages	Ink on paper	image/tiff	reformated digital		English ~ eng	grinnell:1000	http://hdl.handle.net/11084/1000			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10306	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/college-life/grinnell_10306_MODS.log	2	grinnell:college-life	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10306			Professional Photographs of Grinnell College (1968)		Tony Kelly ~ author		These are professional photographs of the Grinnell College campus taken in 1968.	1968				Grinnell College									Grinnell				Digital Grinnell ~ host	Photograph						RG-R ~ ddc	English ~ eng	grinnell:10306	http://hdl.handle.net/11084/10306			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10307	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/college-life/grinnell_10307_MODS.log	3	grinnell:college-life	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10307			Professional Photographs of Grinnell College (1968)		Tony Kelly ~ author		These are professional photographs of the Grinnell College campus taken in 1968.	1968				Grinnell College									Grinnell				Digital Grinnell ~ host	Photograph						RG-R ~ ddc	English ~ eng	grinnell:10307	http://hdl.handle.net/11084/10307			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10308	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/college-life/grinnell_10308_MODS.log	4	grinnell:college-life	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10308			Proposal for Black Library			Concerned Black Student ~ supporting host	A proposal for the Randal Morgan Collection in Burling Basement					Grinnell College											black library | burling | concerned black students | proposal		Digital Grinnell ~ host	Other						72-8pCo1 ~ ddc	English ~ eng	grinnell:10308	http://hdl.handle.net/11084/10308			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10309	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/college-life/grinnell_10309_MODS.log	5	grinnell:college-life	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10309			Proposal for Black Library			Concerned Black Student ~ supporting host	A proposal for the Randal Morgan Collection in Burling Basement					Grinnell College											black library | burling | concerned black students | proposal		Digital Grinnell ~ host	Other						72-8pCo1 ~ ddc	English ~ eng	grinnell:10309	http://hdl.handle.net/11084/10309			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:1030	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/college-life/grinnell_1030_MODS.log	6	grinnell:college-life	islandora:bookCModel		https://digital.grinnell.edu/islandora/object/grinnell:1030			Men's Halls	Grinnell College Bulletin, vol XX, no 3		Grinnell College ~ supporting host	A booklet illustrating the Men's Halls at Grinnell College including descriptions of rooms and floorplans with costs as well as  describing life at Grinnell College. Probably 1922.	1922			1922? ~ Date Issued	Grinnell College							College Buildings | Dormitories | Grinnell College		Grinnell (Iowa)	Nineteen twenties			Digital Grinnell ~ host | Campus Buildings ~ host | Life at Grinnell College ~ host	text	book	28 pages		image/tiff	reformated digital		English ~ eng	grinnell:1030	http://hdl.handle.net/11084/1030			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10310	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/college-life/grinnell_10310_MODS.log	7	grinnell:college-life	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10310			Proposal for Black Library			Concerned Black Student ~ supporting host	A proposal for the Randal Morgan Collection in Burling Basement					Grinnell College											black library | burling | concerned black students | proposal		Digital Grinnell ~ host	Other						72-8pCo1 ~ ddc	English ~ eng	grinnell:10310	http://hdl.handle.net/11084/10310			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10311	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/college-life/grinnell_10311_MODS.log	8	grinnell:college-life	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10311			Proposal for Black Library			Concerned Black Student ~ supporting host	A proposal for the Randal Morgan Collection in Burling Basement					Grinnell College											black library | burling | concerned black students | proposal		Digital Grinnell ~ host	Other						72-8pCo1 ~ ddc	English ~ eng	grinnell:10311	http://hdl.handle.net/11084/10311			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10312	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/college-life/grinnell_10312_MODS.log	9	grinnell:college-life	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10312			Proposal for Black Library			Concerned Black Student ~ supporting host	A proposal for the Randal Morgan Collection in Burling Basement					Grinnell College											black library | burling | concerned black students | proposal		Digital Grinnell ~ host	Other						72-8pCo1 ~ ddc	English ~ eng	grinnell:10312	http://hdl.handle.net/11084/10312			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10318	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/college-life/grinnell_10318_MODS.log	10	grinnell:college-life	islandora:sp_basic_image		https://digital.grinnell.edu/islandora/object/grinnell:10318			Women's Glee Club at Christmastime				Women's Glee Club sings while entering dining hall for traditional Yule Log dinner at Christmastime.	1956			1956-12	Grinnell College											Women's Glee Club, Christmas, Yule Log dinner		Digital Grinnell ~ host	Photograph							English ~ eng	grinnell:10318	http://hdl.handle.net/11084/10318			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
