PID	WORKSPACE	Import_Index	PARENT	CMODEL	SEQUENCE	OBJ	TRANSCRPT	THUMBNAIL	Title	Alternative_Titles	Personal_Names~Roles	Corporate_Names~Roles	Abstract	Index_Date	Date_Issued	Date_Captured	Other_Date~Display_Label	Publisher	Place_Of_Publication	Public_Notes~Types	Notes~Display_Label	Dates_as_Notes~Display_Label	Citations	Table_of_Contents	LCSH_Subjects	Subjects_Names~Types	Subjects_Geographic	Subjects_Temporal	Keywords	Coordinate	Related_Items~Types	Type_of_Resource~AuthorityURI	Genre~AuthorityURI	Extent	Form~AuthorityURI	MIME_Type	Digital_Origin	Classifications~Authorities	Language_Names~Codes	Local_Identifier	Handle	Physical_Location	Shelf_Locator	Access_Condition	Import_Source	Primary_Sort	Hidden_Creator	Pull_Quotes	Private_Notes~Types
grinnell:10000	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/curricular-materials/grinnell_10000_MODS.log	1	grinnell:curricular-materials	islandora:compoundCModel		https://digital.grinnell.edu/islandora/object/grinnell:10000			Computer Science Mentored Advanced Project	Mentored Advanced Project | CSC 499 Mentored Advanced Project	Weinman, J. J. ~ creator	Grinnell College. Computer Science. ~ supporting host	Materials to support the teaching and completion of a Mentored Advanced Project in Computer Science	2014				Grinnell College							Computer science | Research | Mentored Advanced Project						Digital Grinnell ~ host | Curricular Materials ~ host | Mentored Advanced Project ~ host	text	instructional material	9 constituent objects		application/pdf	born digital		English ~ eng	grinnell:10000	http://hdl.handle.net/11084/10000			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10001	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/curricular-materials/grinnell_10001_MODS.log	2	grinnell:curricular-materials	islandora:compoundCModel		https://digital.grinnell.edu/islandora/object/grinnell:10001			Data Repository for Reproducible Research		Jerod J. | Weinman | Weinman, J. J.	Grinnell College. Computer Science Department. ~ supporting host	To promote reproducibility, since 2009 all my empirical research has been cached in a data repository that captures all source code and data dependencies automatically or semi-automatically. Our principle goals are to  modularize, document, and preserve all aspects of experimental data. So that others may benefit from or adapt my methods, I provide a bit of motivation and explanation here, along with the full description of the parameters and guidelines of the data repository (provided to my research students) and source code for the utilities.	2014			2014-10-21	Grinnell College							Archives | Reproducible research				Research Data Repository		Digital Grinnell ~ host | Curricular Materials ~ host | Faculty Scholarship ~ host	text	instructional material						English ~ eng	grinnell:10001	http://hdl.handle.net/11084/10001			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10002	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/curricular-materials/grinnell_10002_MODS.log	3	grinnell:curricular-materials	islandora:compoundCModel		https://digital.grinnell.edu/islandora/object/grinnell:10002			Research Methods for Empirical Computer Science		David | Jensen | Jensen, David ~ author		Course materials for Research methods for empirical computer science which is designed to teach basic methods for conducting a personal research program for graduate students.	2009				Grinnell College							Higher education | Computer science | Research						grinnell-collection:1 ~ host	Curricular materials				application/pdf	born digital		English ~ eng	grinnell:10002	http://hdl.handle.net/11084/10002			Except where noted, use of this work is governed by the Creative Commons Attribution-NonCommercial-ShareAlike 4.0 license.  See http://creativecommons.org/licenses/by-nc-sa/4.0/ for details.  Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10020	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/curricular-materials/grinnell_10020_MODS.log	4	grinnell:curricular-materials	islandora:sp_pdf		https://digital.grinnell.edu/islandora/object/grinnell:10020			Data Repository for Reproducible Research		Jerod J. | Weinman | Weinman, J. J. ~ author	Grinnell College. Computer Science. ~ supporting host	"To promote reproducibility, since 2009 all my empirical research has been cached in a data repository
that captures all source code and data dependencies automatically or semi-automatically. Our principle
goals are to modularize, document, and preserve all aspects of experimental data.
So that others may benefit from or adapt my methods, I provide a bit of motivation and explanation
here, along with the full description of the parameters and guidelines of the data repository (provided to
my research students) and source code for the utilities."	2014			20141021	Grinnell College							Archives | Reproducible research				Research Data Repository		Digital Grinnell ~ host | Curricular Materials ~ host	Curricular materials							English ~ eng	grinnell:10020	http://hdl.handle.net/11084/10020			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10021	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/curricular-materials/grinnell_10021_MODS.log	5	grinnell:curricular-materials	islandora:sp_pdf		https://digital.grinnell.edu/islandora/object/grinnell:10021			Data Repository for Reproducible Research		Jerod J. | Weinman | Weinman, J. J. ~ author	Grinnell College. Computer Science. ~ supporting host	"To promote reproducibility, since 2009 all my empirical research has been cached in a data repository
that captures all source code and data dependencies automatically or semi-automatically. Our principle
goals are to modularize, document, and preserve all aspects of experimental data.
So that others may benefit from or adapt my methods, I provide a bit of motivation and explanation
here, along with the full description of the parameters and guidelines of the data repository (provided to
my research students) and source code for the utilities."	2014			2014-10-21	Grinnell College							Archives | Reproducible research				Research Data Repository		Digital Grinnell ~ host | Curricular Materials ~ host	Curricular materials							English ~ eng	grinnell:10021	http://hdl.handle.net/11084/10021			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10022	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/curricular-materials/grinnell_10022_MODS.log	6	grinnell:curricular-materials	islandora:binaryObjectCModel		https://digital.grinnell.edu/islandora/object/grinnell:10022			Data Repository for Reproducible Research		Jerod J. | Weinman | Weinman, J. J. ~ author	Grinnell College. Computer Science. ~ supporting host	"To promote reproducibility, since 2009 all my empirical research has been cached in a data repository
that captures all source code and data dependencies automatically or semi-automatically. Our principle
goals are to modularize, document, and preserve all aspects of experimental data.
So that others may benefit from or adapt my methods, I provide a bit of motivation and explanation
here, along with the full description of the parameters and guidelines of the data repository (provided to
my research students) and source code for the utilities."	2014			20141021	Grinnell College							Archives | Reproducible research				Research Data Repository		Digital Grinnell ~ host | Curricular Materials ~ host	Curricular materials							English ~ eng	grinnell:10022	http://hdl.handle.net/11084/10022			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10023	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/curricular-materials/grinnell_10023_MODS.log	7	grinnell:curricular-materials	islandora:binaryObjectCModel		https://digital.grinnell.edu/islandora/object/grinnell:10023			Data Repository for Reproducible Research		Jerod J. | Weinman | Weinman, J. J. ~ author	Grinnell College. Computer Science. ~ supporting host	"To promote reproducibility, since 2009 all my empirical research has been cached in a data repository
that captures all source code and data dependencies automatically or semi-automatically. Our principle
goals are to modularize, document, and preserve all aspects of experimental data.
So that others may benefit from or adapt my methods, I provide a bit of motivation and explanation
here, along with the full description of the parameters and guidelines of the data repository (provided to
my research students) and source code for the utilities."	2014			20141021	Grinnell College							Archives | Reproducible research				Research Data Repository		Digital Grinnell ~ host | Curricular Materials ~ host	Curricular materials							English ~ eng	grinnell:10023	http://hdl.handle.net/11084/10023			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10024	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/curricular-materials/grinnell_10024_MODS.log	8	grinnell:curricular-materials	islandora:binaryObjectCModel		https://digital.grinnell.edu/islandora/object/grinnell:10024			Data Repository for Reproducible Research		Jerod J. | Weinman | Weinman, J. J. ~ author	Grinnell College. Computer Science. ~ supporting host	"To promote reproducibility, since 2009 all my empirical research has been cached in a data repository
that captures all source code and data dependencies automatically or semi-automatically. Our principle
goals are to modularize, document, and preserve all aspects of experimental data.
So that others may benefit from or adapt my methods, I provide a bit of motivation and explanation
here, along with the full description of the parameters and guidelines of the data repository (provided to
my research students) and source code for the utilities."	2014			20141021	Grinnell College							Archives | Reproducible research				Research Data Repository		Digital Grinnell ~ host | Curricular Materials ~ host	Curricular materials							English ~ eng	grinnell:10024	http://hdl.handle.net/11084/10024			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10025	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/curricular-materials/grinnell_10025_MODS.log	9	grinnell:curricular-materials	islandora:binaryObjectCModel		https://digital.grinnell.edu/islandora/object/grinnell:10025			Data Repository for Reproducible Research		Jerod J. | Weinman | Weinman, J. J. ~ author	Grinnell College. Computer Science. ~ supporting host	"To promote reproducibility, since 2009 all my empirical research has been cached in a data repository
that captures all source code and data dependencies automatically or semi-automatically. Our principle
goals are to modularize, document, and preserve all aspects of experimental data.
So that others may benefit from or adapt my methods, I provide a bit of motivation and explanation
here, along with the full description of the parameters and guidelines of the data repository (provided to
my research students) and source code for the utilities."	2014			20141021	Grinnell College							Archives | Reproducible research				Research Data Repository		Digital Grinnell ~ host | Curricular Materials ~ host	Curricular materials							English ~ eng	grinnell:10025	http://hdl.handle.net/11084/10025			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10026	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/curricular-materials/grinnell_10026_MODS.log	10	grinnell:curricular-materials	islandora:sp_pdf		https://digital.grinnell.edu/islandora/object/grinnell:10026			Data Repository for Reproducible Research		Jerod J. | Weinman | Weinman, J. J. ~ author	Grinnell College. Computer Science. ~ supporting host	"To promote reproducibility, since 2009 all my empirical research has been cached in a data repository
that captures all source code and data dependencies automatically or semi-automatically. Our principle
goals are to modularize, document, and preserve all aspects of experimental data.
So that others may benefit from or adapt my methods, I provide a bit of motivation and explanation
here, along with the full description of the parameters and guidelines of the data repository (provided to
my research students) and source code for the utilities."	2014			20141021	Grinnell College							Archives | Reproducible research				Research Data Repository		Digital Grinnell ~ host | Curricular Materials ~ host	Curricular materials							English ~ eng	grinnell:10026	http://hdl.handle.net/11084/10026			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10027	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/curricular-materials/grinnell_10027_MODS.log	11	grinnell:curricular-materials	islandora:binaryObjectCModel		https://digital.grinnell.edu/islandora/object/grinnell:10027			Data Repository for Reproducible Research		Jerod J. | Weinman | Weinman, J. J. ~ author	Grinnell College. Computer Science. ~ supporting host	"To promote reproducibility, since 2009 all my empirical research has been cached in a data repository
that captures all source code and data dependencies automatically or semi-automatically. Our principle
goals are to modularize, document, and preserve all aspects of experimental data.
So that others may benefit from or adapt my methods, I provide a bit of motivation and explanation
here, along with the full description of the parameters and guidelines of the data repository (provided to
my research students) and source code for the utilities."	2014			20141021	Grinnell College							Archives | Reproducible research				Research Data Repository		Digital Grinnell ~ host | Curricular Materials ~ host	Curricular materials							English ~ eng	grinnell:10027	http://hdl.handle.net/11084/10027			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
