PID	WORKSPACE	Import_Index	PARENT	CMODEL	SEQUENCE	OBJ	TRANSCRPT	THUMBNAIL	Title	Alternative_Titles	Personal_Names~Roles	Corporate_Names~Roles	Abstract	Index_Date	Date_Issued	Date_Captured	Other_Date~Display_Label	Publisher	Place_Of_Publication	Public_Notes~Types	Notes~Display_Label	Dates_as_Notes~Display_Label	Citations	Table_of_Contents	LCSH_Subjects	Subjects_Names~Types	Subjects_Geographic	Subjects_Temporal	Keywords	Coordinate	Related_Items~Types	Type_of_Resource~AuthorityURI	Genre~AuthorityURI	Extent	Form~AuthorityURI	MIME_Type	Digital_Origin	Classifications~Authorities	Language_Names~Codes	Local_Identifier	Handle	Physical_Location	Shelf_Locator	Access_Condition	Import_Source	Primary_Sort	Hidden_Creator	Pull_Quotes	Private_Notes~Types
faulconer:art	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/faulconer/faulconer_art_1000_MODS.log	1	grinnell:faulconer	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/faulconer:art			Wilton-Ely 26	Imaginary Prisons of G. Battista Piranesi, Venetian Architect, Title Plate | Carceri D'Invenzione de G. Battista Piranesi, Architetto Veneziano	Piranesi, Giovanni Battista, 1720-1778 ~ creator			1761			c.1761			John Frederic Murphy '10, Gift in memory of ~ credits | L.L. ~ signature | T. Mitchell Hastings, 1902 ~ provenance | Grinnell College 1995 ~ exhibition | John Frederic Murphy ~ provenance									Italian			still image								1962.010.PI.032	http://hdl.handle.net/11084/faulconer-art:1000			Copyright to this work is held by the artist(s). Contact the Faulconer Gallery for use and reproduction rights.		99			
faulconer:art	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/faulconer/faulconer_art_1001_MODS.log	2	grinnell:faulconer	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/faulconer:art			Wilton-Ely 27	The Man on the Rack | Arched structures with a medieval tower in the background and a torture scene in the foreground. | Imaginary Prisons, Plate II	Piranesi, Giovanni Battista, 1720-1778 ~ creator			1761			c.1761			John Frederic Murphy '10, Gift in memory of ~ credits | in plate, L.R. ~ signature | T. Mitchell Hastings, 1902 ~ provenance | Grinnell College 1995 ~ exhibition | John Frederic Murphy ~ provenance									Italian			still image								1962.010.PI.033	http://hdl.handle.net/11084/faulconer-art:1001			Copyright to this work is held by the artist(s). Contact the Faulconer Gallery for use and reproduction rights.		99			
faulconer:art	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/faulconer/faulconer_art_1002_MODS.log	3	grinnell:faulconer	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/faulconer:art			The Round Tower	Imaginary Prisons, Plate III | Rusticated tower at the center, with a large barred window, supporting arches and gangways | Wilton-Ely 28	Piranesi, Giovanni Battista, 1720-1778 ~ creator			1761			c.1761			John Frederic Murphy '10, Gift in memory of ~ credits | In plate, L.L. ~ signature | T. Mitchell Hastings, 1902 ~ provenance | Grinnell College 1995 ~ exhibition | John Frederic Murphy ~ provenance									Italian			still image								1962.010.PI.034	http://hdl.handle.net/11084/faulconer-art:1002			Copyright to this work is held by the artist(s). Contact the Faulconer Gallery for use and reproduction rights.		99			
faulconer:art	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/faulconer/faulconer_art_1003_MODS.log	4	grinnell:faulconer	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/faulconer:art			Wilton-Ely 29	The Grand Piazza | Imaginary Prisons, Plate IV | Vast arch with a frieze and balustrade supporting smoking urns.	Piranesi, Giovanni Battista, 1720-1778 ~ creator			1761			c.1761			John Frederic Murphy '10, Gift in memory of ~ credits | In plate, L.R. ~ signature | T. Mitchell Hastings, 1902 ~ provenance | John Frederic Murphy ~ provenance									Italian			still image								1962.010.PI.035	http://hdl.handle.net/11084/faulconer-art:1003			Copyright to this work is held by the artist(s). Contact the Faulconer Gallery for use and reproduction rights.		99			
faulconer:art	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/faulconer/faulconer_art_1004_MODS.log	5	grinnell:faulconer	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/faulconer:art			Wilton-Ely 30	The Lion Bas-Reliefs | Imaginary Prisons, Plate V | Grand arcaded structures with lion bas-reliefs in the foreground.	Piranesi, Giovanni Battista, 1720-1778 ~ creator			1761			c.1761			John Frederic Murphy '10, Gift in memory of ~ credits | In plate, L.R. ~ signature | T. Mitchell Hastings, 1902 ~ provenance | Grinnell College 1995 ~ exhibition | John Frederic Murphy ~ provenance									Italian			still image								1962.010.PI.036	http://hdl.handle.net/11084/faulconer-art:1004			Copyright to this work is held by the artist(s). Contact the Faulconer Gallery for use and reproduction rights.		99			
faulconer:art	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/faulconer/faulconer_art_1005_MODS.log	6	grinnell:faulconer	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/faulconer:art			The Smoking Fire	Imaginary Prisons, Plate VI | Arcaded vault from which is suspended to the left a pulley block supporting heavy cords. | Wilton-Ely 31	Piranesi, Giovanni Battista, 1720-1778 ~ creator			1761			c.1761			John Frederic Murphy '10, Gift in memory of ~ credits | In plate, L.L. ~ signature | T. Mitchell Hastings, 1902 ~ provenance | John Frederic Murphy ~ provenance									Italian			still image								1962.010.PI.037	http://hdl.handle.net/11084/faulconer-art:1005			Copyright to this work is held by the artist(s). Contact the Faulconer Gallery for use and reproduction rights.		99			
faulconer:art	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/faulconer/faulconer_art_1006_MODS.log	7	grinnell:faulconer	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/faulconer:art			Wilton-Ely 32	The Drawbridge | Imaginary Prisons, Plate VII | Multiple gangways with a spiral staircase ascending a tower to the left.	Piranesi, Giovanni Battista, 1720-1778 ~ creator			1761			c.1761			John Frederic Murphy '10, Gift in memory of ~ credits | in plate, L.L. ~ signature | T. Mitchell Hastings, 1902 ~ provenance | John Frederic Murphy ~ provenance									Italian			still image								1962.010.PI.038	http://hdl.handle.net/11084/faulconer-art:1006			Copyright to this work is held by the artist(s). Contact the Faulconer Gallery for use and reproduction rights.		99			
faulconer:art	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/faulconer/faulconer_art_1007_MODS.log	8	grinnell:faulconer	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/faulconer:art			The Staircase with Trophies	Imaginary Prisons, Plate VIII | Vaulted Hall with a large staircase flanked by trophies. Two flags to the left. | Wilton-Ely 33	Piranesi, Giovanni Battista, 1720-1778 ~ creator			1761			c.1761			John Frederic Murphy '10, Gift in memory of ~ credits | In plate, L.L. ~ signature | T. Mitchell Hastings, 1902 ~ provenance | to John Frederic Murphy ~ provenance									Italian			still image								1962.010.PI.039	http://hdl.handle.net/11084/faulconer-art:1007			Copyright to this work is held by the artist(s). Contact the Faulconer Gallery for use and reproduction rights.		99			
faulconer:art	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/faulconer/faulconer_art_1008_MODS.log	9	grinnell:faulconer	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/faulconer:art			Wilton-Ely 34	The Giant Wheel | Imaginary Prisons, Plate IX | Monumental doorway formed by cyclopean blocks of stone below a circular opening.	Piranesi, Giovanni Battista, 1720-1778 ~ creator			1761			c.1761			John Frederic Murphy '10, Gift in memory of ~ credits | In plate, L.L. ~ signature | T. Mitchell Hastings, 1902 ~ provenance | John Frederic Murphy ~ provenance									Italian			still image								1962.010.PI.040	http://hdl.handle.net/11084/faulconer-art:1008			Copyright to this work is held by the artist(s). Contact the Faulconer Gallery for use and reproduction rights.		99			
faulconer:art	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/faulconer/faulconer_art_1009_MODS.log	10	grinnell:faulconer	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/faulconer:art			Prisoners on a Projecting Platform	Imaginary Prisons, Plate X | A vast arch framing galleries and gangways with groups of prisoners on a platform to the left. Wilton-Ely 35	Piranesi, Giovanni Battista, 1720-1778 ~ creator			1761			c.1761			John Frederic Murphy '10, Gift in memory of ~ credits | in plate, L.L. ~ signature | T. Mitchell Hastings, 1902 ~ provenance | to John Frederic Murphy ~ provenance									Italian			still image								1962.010.PI.041	http://hdl.handle.net/11084/faulconer-art:1009			Copyright to this work is held by the artist(s). Contact the Faulconer Gallery for use and reproduction rights.		99			
