PID	WORKSPACE	Import_Index	PARENT	CMODEL	SEQUENCE	OBJ	TRANSCRPT	THUMBNAIL	Title	Alternative_Titles	Personal_Names~Roles	Corporate_Names~Roles	Abstract	Index_Date	Date_Issued	Date_Captured	Other_Date~Display_Label	Publisher	Place_Of_Publication	Public_Notes~Types	Notes~Display_Label	Dates_as_Notes~Display_Label	Citations	Table_of_Contents	LCSH_Subjects	Subjects_Names~Types	Subjects_Geographic	Subjects_Temporal	Keywords	Coordinate	Related_Items~Types	Type_of_Resource~AuthorityURI	Genre~AuthorityURI	Extent	Form~AuthorityURI	MIME_Type	Digital_Origin	Classifications~Authorities	Language_Names~Codes	Local_Identifier	Handle	Physical_Location	Shelf_Locator	Access_Condition	Import_Source	Primary_Sort	Hidden_Creator	Pull_Quotes	Private_Notes~Types
grinnell:17023	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/geology-suppressed/grinnell_17023_MODS.log	1	grinnell:geology-suppressed			https://digital.grinnell.edu/islandora/object/grinnell:17023			Neuropteris hirsuta		Park, Jongbeom ~ contributor | Graham, Andrew ~ faculty sponsor																Mazon Creek, Grundy Co., Ill., Coal Measures	Pensylvanian, Upper Carboniferous Francis Creek Shale				still image	photograph	1						EM-07-01	http://hdl.handle.net/11084/17023			I permit others to copy, distribute, display and perform the work for non-commercial purposes.		99			
grinnell:17024	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/geology-suppressed/grinnell_17024_MODS.log	2	grinnell:geology-suppressed			https://digital.grinnell.edu/islandora/object/grinnell:17024			Neuropteris		Park, Jongbeom ~ contributor | Graham, Andrew ~ faculty sponsor																Mazon Creek, Grundy Co., Ill., Coal Measures	Pensylvanian, Upper Carboniferous Francis Creek Shale				still image	photograph	2						EM-07-02	http://hdl.handle.net/11084/17024			I permit others to copy, distribute, display and perform the work for non-commercial purposes.		99			
grinnell:17025	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/geology-suppressed/grinnell_17025_MODS.log	3	grinnell:geology-suppressed			https://digital.grinnell.edu/islandora/object/grinnell:17025			Neuropteris		Park, Jongbeom ~ contributor | Graham, Andrew ~ faculty sponsor																Mazon Creek, Grundy Co., Ill., Coal Measures	Pensylvanian, Upper Carboniferous Francis Creek Shale				still image	photograph	1						EM-07-03	http://hdl.handle.net/11084/17025			I permit others to copy, distribute, display and perform the work for non-commercial purposes.		99			
grinnell:17026	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/geology-suppressed/grinnell_17026_MODS.log	4	grinnell:geology-suppressed			https://digital.grinnell.edu/islandora/object/grinnell:17026			Neuropteris		Park, Jongbeom ~ contributor | Graham, Andrew ~ faculty sponsor																Mazon Creek, Grundy Co., Ill., Coal Measures	Pensylvanian, Upper Carboniferous Francis Creek Shale				still image	photograph	1						EM-07-04	http://hdl.handle.net/11084/17026			I permit others to copy, distribute, display and perform the work for non-commercial purposes.		99			
grinnell:17027	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/geology-suppressed/grinnell_17027_MODS.log	5	grinnell:geology-suppressed			https://digital.grinnell.edu/islandora/object/grinnell:17027			Neuropteris		Park, Jongbeom ~ contributor | Graham, Andrew ~ faculty sponsor																Mazon Creek, Grundy Co., Ill., Coal Measures	Pensylvanian, Upper Carboniferous Francis Creek Shale				still image	photograph	1						EM-07-05	http://hdl.handle.net/11084/17027			I permit others to copy, distribute, display and perform the work for non-commercial purposes.		99			
grinnell:17030	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/geology-suppressed/grinnell_17030_MODS.log	6	grinnell:geology-suppressed			https://digital.grinnell.edu/islandora/object/grinnell:17030			Neuropteris		Park, Jongbeom ~ contributor | Graham, Andrew ~ faculty sponsor																Mazon Creek, Grundy Co., Ill., Coal Measures	Pensylvanian, Upper Carboniferous Francis Creek Shale				still image	photograph	1						EM-07-08	http://hdl.handle.net/11084/17030			I permit others to copy, distribute, display and perform the work for non-commercial purposes.		99			
grinnell:17031	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/geology-suppressed/grinnell_17031_MODS.log	7	grinnell:geology-suppressed			https://digital.grinnell.edu/islandora/object/grinnell:17031			Neuropteris		Park, Jongbeom ~ contributor | Graham, Andrew ~ faculty sponsor																Mazon Creek, Grundy Co., Ill., Coal Measures	Pensylvanian, Upper Carboniferous Francis Creek Shale				still image	photograph	1						EM-07-09	http://hdl.handle.net/11084/17031			I permit others to copy, distribute, display and perform the work for non-commercial purposes.		99			
grinnell:17032	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/geology-suppressed/grinnell_17032_MODS.log	8	grinnell:geology-suppressed			https://digital.grinnell.edu/islandora/object/grinnell:17032			Neuropteris		Park, Jongbeom ~ contributor | Graham, Andrew ~ faculty sponsor																Mazon Creek, Grundy Co., Ill., Coal Measures	Pensylvanian, Upper Carboniferous Francis Creek Shale				still image	photograph	1						EM-07-10	http://hdl.handle.net/11084/17032			I permit others to copy, distribute, display and perform the work for non-commercial purposes.		99			
grinnell:17033	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/geology-suppressed/grinnell_17033_MODS.log	9	grinnell:geology-suppressed			https://digital.grinnell.edu/islandora/object/grinnell:17033			Neuropteris		Park, Jongbeom ~ contributor | Graham, Andrew ~ faculty sponsor																Mazon Creek, Grundy Co., Ill., Coal Measures	Pensylvanian, Upper Carboniferous Francis Creek Shale				still image	photograph	1						EM-07-11	http://hdl.handle.net/11084/17033			I permit others to copy, distribute, display and perform the work for non-commercial purposes.		99			
grinnell:17034	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/geology-suppressed/grinnell_17034_MODS.log	10	grinnell:geology-suppressed			https://digital.grinnell.edu/islandora/object/grinnell:17034			Neuropteris		Park, Jongbeom ~ contributor | Graham, Andrew ~ faculty sponsor																Mazon Creek, Grundy Co., Ill., Coal Measures	Pensylvanian, Upper Carboniferous Francis Creek Shale				still image	photograph	1						EM-07-12	http://hdl.handle.net/11084/17034			I permit others to copy, distribute, display and perform the work for non-commercial purposes.		99			
