PID	WORKSPACE	Import_Index	PARENT	CMODEL	SEQUENCE	OBJ	TRANSCRPT	THUMBNAIL	Title	Alternative_Titles	Personal_Names~Roles	Corporate_Names~Roles	Abstract	Index_Date	Date_Issued	Date_Captured	Other_Date~Display_Label	Publisher	Place_Of_Publication	Public_Notes~Types	Notes~Display_Label	Dates_as_Notes~Display_Label	Citations	Table_of_Contents	LCSH_Subjects	Subjects_Names~Types	Subjects_Geographic	Subjects_Temporal	Keywords	Coordinate	Related_Items~Types	Type_of_Resource~AuthorityURI	Genre~AuthorityURI	Extent	Form~AuthorityURI	MIME_Type	Digital_Origin	Classifications~Authorities	Language_Names~Codes	Local_Identifier	Handle	Physical_Location	Shelf_Locator	Access_Condition	Import_Source	Primary_Sort	Hidden_Creator	Pull_Quotes	Private_Notes~Types
grinnell:17028	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/geology/grinnell_17028_MODS.log	1	grinnell:geology			https://digital.grinnell.edu/islandora/object/grinnell:17028			Neuropteris		Park, Jongbeom ~ contributor | Graham, Andrew ~ faculty sponsor																Mazon Creek, Grundy Co., Ill., Coal Measures	Pensylvanian, Upper Carboniferous Francis Creek Shale				still image	photograph	1						EM-07-06	http://hdl.handle.net/11084/17028			I permit others to copy, distribute, display and perform the work for non-commercial purposes.		99			
grinnell:17029	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/geology/grinnell_17029_MODS.log	2	grinnell:geology			https://digital.grinnell.edu/islandora/object/grinnell:17029			Neuropteris		Park, Jongbeom ~ contributor | Graham, Andrew ~ faculty sponsor																Mazon Creek, Grundy Co., Ill., Coal Measures	Pensylvanian, Upper Carboniferous Francis Creek Shale				still image	photograph	1						EM-07-07	http://hdl.handle.net/11084/17029			I permit others to copy, distribute, display and perform the work for non-commercial purposes.		99			
grinnell:17048	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/geology/grinnell_17048_MODS.log	3	grinnell:geology			https://digital.grinnell.edu/islandora/object/grinnell:17048			Pecopteris		Park, Jongbeom ~ contributor | Graham, Andrew ~ faculty sponsor																Mazon Creek, Grundy Co., Ill., Coal Measures	Pensylvanian, Upper Carboniferous Francis Creek Shale				still image	photograph	1						EM-07-26	http://hdl.handle.net/11084/17048			I permit others to copy, distribute, display and perform the work for non-commercial purposes.		99			
grinnell:17049	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/geology/grinnell_17049_MODS.log	4	grinnell:geology			https://digital.grinnell.edu/islandora/object/grinnell:17049			Pecopteris		Park, Jongbeom ~ contributor | Graham, Andrew ~ faculty sponsor																Mazon Creek, Grundy Co., Ill., Coal Measures	Pensylvanian, Upper Carboniferous Francis Creek Shale				still image	photograph	1						EM-07-27	http://hdl.handle.net/11084/17049			I permit others to copy, distribute, display and perform the work for non-commercial purposes.		99			
grinnell:17065	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/geology/grinnell_17065_MODS.log	5	grinnell:geology			https://digital.grinnell.edu/islandora/object/grinnell:17065			Stigmaria		Park, Jongbeom ~ contributor | Graham, Andrew ~ faculty sponsor																					still image	photograph	1						EM-07-45	http://hdl.handle.net/11084/17065			I permit others to copy, distribute, display and perform the work for non-commercial purposes.		99			
grinnell:17068	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/geology/grinnell_17068_MODS.log	6	grinnell:geology			https://digital.grinnell.edu/islandora/object/grinnell:17068			Stigmaria		Park, Jongbeom ~ contributor | Graham, Andrew ~ faculty sponsor																					still image	photograph	1						EM-07-48	http://hdl.handle.net/11084/17068			I permit others to copy, distribute, display and perform the work for non-commercial purposes.		99			
grinnell:17077	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/geology/grinnell_17077_MODS.log	7	grinnell:geology			https://digital.grinnell.edu/islandora/object/grinnell:17077			Lycopod		Park, Jongbeom ~ contributor | Graham, Andrew ~ faculty sponsor																					still image	photograph	1						EM-07-57	http://hdl.handle.net/11084/17077			I permit others to copy, distribute, display and perform the work for non-commercial purposes.		99			
grinnell:17091	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/geology/grinnell_17091_MODS.log	8	grinnell:geology			https://digital.grinnell.edu/islandora/object/grinnell:17091			Calamites and Pecopteris		Park, Jongbeom ~ contributor | Graham, Andrew ~ faculty sponsor																					still image	photograph							EM-07-73	http://hdl.handle.net/11084/17091			I permit others to copy, distribute, display and perform the work for non-commercial purposes.		99			
grinnell:17094	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/geology/grinnell_17094_MODS.log	9	grinnell:geology			https://digital.grinnell.edu/islandora/object/grinnell:17094			Calamites		Park, Jongbeom ~ contributor | Graham, Andrew ~ faculty sponsor																					still image	photograph							EM-07-76	http://hdl.handle.net/11084/17094			I permit others to copy, distribute, display and perform the work for non-commercial purposes.		99			
grinnell:17106	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/geology/grinnell_17106_MODS.log	10	grinnell:geology			https://digital.grinnell.edu/islandora/object/grinnell:17106			Leaves of '?' flowering tree		Park, Jongbeom ~ contributor | Graham, Andrew ~ faculty sponsor																Colorado	Oligocene Florissant				still image	photograph	2						P 653	http://hdl.handle.net/11084/17106			I permit others to copy, distribute, display and perform the work for non-commercial purposes.		99			
grinnell:17110	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/geology/grinnell_17110_MODS.log	11	grinnell:geology			https://digital.grinnell.edu/islandora/object/grinnell:17110			Ammonite Cast to Show Internal Structure		Park, Jongbeom ~ contributor | Graham, Andrew ~ faculty sponsor																					still image	photograph	1						P 409	http://hdl.handle.net/11084/17110			I permit others to copy, distribute, display and perform the work for non-commercial purposes.		99			
grinnell:17111	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/geology/grinnell_17111_MODS.log	12	grinnell:geology			https://digital.grinnell.edu/islandora/object/grinnell:17111			Shark Tooth (Deltodus?)		Park, Jongbeom ~ contributor | Graham, Andrew ~ faculty sponsor																					still image	photograph	1						P 573	http://hdl.handle.net/11084/17111			I permit others to copy, distribute, display and perform the work for non-commercial purposes.		99			
grinnell:17112	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/geology/grinnell_17112_MODS.log	13	grinnell:geology			https://digital.grinnell.edu/islandora/object/grinnell:17112			Vertebrae of whale		Park, Jongbeom ~ contributor | Graham, Andrew ~ faculty sponsor																South Carolina	Eocene, Phosphate beds				still image	photograph	1						P 638	http://hdl.handle.net/11084/17112			I permit others to copy, distribute, display and perform the work for non-commercial purposes.		99			
grinnell:17113	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/geology/grinnell_17113_MODS.log	14	grinnell:geology			https://digital.grinnell.edu/islandora/object/grinnell:17113			Camarasaurus section of 12ft rib fragment		Park, Jongbeom ~ contributor | Graham, Andrew ~ faculty sponsor																Colorado	Jurassic, Trenton				still image	photograph	1						P 411	http://hdl.handle.net/11084/17113			I permit others to copy, distribute, display and perform the work for non-commercial purposes.		99			
grinnell:17115	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/geology/grinnell_17115_MODS.log	15	grinnell:geology			https://digital.grinnell.edu/islandora/object/grinnell:17115			Bone of Mastodon		Park, Jongbeom ~ contributor | Graham, Andrew ~ faculty sponsor																South Carolina	Phosphate beds				still image	photograph	1						P 640	http://hdl.handle.net/11084/17115			I permit others to copy, distribute, display and perform the work for non-commercial purposes.		99			
grinnell:17116	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/geology/grinnell_17116_MODS.log	16	grinnell:geology			https://digital.grinnell.edu/islandora/object/grinnell:17116			Mammoth molar		Park, Jongbeom ~ contributor | Graham, Andrew ~ faculty sponsor																Correctionvile, Iowa, (in sand-pit)					still image	photograph	1						P 694	http://hdl.handle.net/11084/17116			I permit others to copy, distribute, display and perform the work for non-commercial purposes.		99			
grinnell:17118	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/geology/grinnell_17118_MODS.log	17	grinnell:geology			https://digital.grinnell.edu/islandora/object/grinnell:17118			Tentaculites ornatus		Park, Jongbeom ~ contributor | Graham, Andrew ~ faculty sponsor																Schokarie, N.Y.	Water-lime formation				still image	photograph	1						P 461	http://hdl.handle.net/11084/17118			I permit others to copy, distribute, display and perform the work for non-commercial purposes.		99			
