PID	WORKSPACE	Import_Index	PARENT	CMODEL	SEQUENCE	OBJ	TRANSCRPT	THUMBNAIL	Title	Alternative_Titles	Personal_Names~Roles	Corporate_Names~Roles	Abstract	Index_Date	Date_Issued	Date_Captured	Other_Date~Display_Label	Publisher	Place_Of_Publication	Public_Notes~Types	Notes~Display_Label	Dates_as_Notes~Display_Label	Citations	Table_of_Contents	LCSH_Subjects	Subjects_Names~Types	Subjects_Geographic	Subjects_Temporal	Keywords	Coordinate	Related_Items~Types	Type_of_Resource~AuthorityURI	Genre~AuthorityURI	Extent	Form~AuthorityURI	MIME_Type	Digital_Origin	Classifications~Authorities	Language_Names~Codes	Local_Identifier	Handle	Physical_Location	Shelf_Locator	Access_Condition	Import_Source	Primary_Sort	Hidden_Creator	Pull_Quotes	Private_Notes~Types
grinnell:17389	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/grinnell-in-china/grinnell_17389_MODS.log	1	grinnell:grinnell-in-china			https://digital.grinnell.edu/islandora/object/grinnell:17389			Photo of a House with Laundry		Chapman, John Forrest ~ photographer		This photo shows a one story wood slat house with laundry strung up outside. In front of the laundry is a person, although gender is hard to discern. The person is  fanning a small stove.	1924			1924-1936 ~ Date Issued										China	1912-1928 | Republic, 1912-1949 | May Thirtieth movement, 1925 | Northern Expedition, 1926-1928 | Twentieth century | Nineteen twenties	Chinese | Chinese people | Social conditions			Still Image	Photograph	1 sheet						grinnell:17389	http://hdl.handle.net/11084/17389					99			
grinnell:17390	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/grinnell-in-china/grinnell_17390_MODS.log	2	grinnell:grinnell-in-china			https://digital.grinnell.edu/islandora/object/grinnell:17390			Photo of Men with Broken Down Car		Chapman, John Forrest ~ photographer		The focus of this photo is an early 20th century car with a flat tire. A group of men in European clothing stand around the car on a dirt road. In the background, two young girls stand on the side of the road looking on.	1924			1924-1926 ~ Date Issued										China	1912-1928 | Republic, 1912-1949 | Warlord period, 1916-1928 | May Thirtieth movement, 1925 | Northern Expedition, 1926-1928 | Twentieth century | Nineteen twenties	American influences | Chinese | Chinese people | Missionaries | Travel | Western influences			Still Image	Photograph	1 sheet						grinnell:17390	http://hdl.handle.net/11084/17390					99			
grinnell:17391	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/grinnell-in-china/grinnell_17391_MODS.log	3	grinnell:grinnell-in-china			https://digital.grinnell.edu/islandora/object/grinnell:17391			Photo of a Lake and Rock		Chapman, John Forrest ~ photographer		Photo of a rock formation next to a lake in China, taken by John Forrest Chapman during his time in Techow. There are seven copies of the photo included in the folder.	1924			1924-1926 ~ Date Issued										Dezhou Shi (China)	1912-1928 | Republic, 1912-1949 | Warlord period, 1916-1928 | May Thirtieth movement, 1925 | Northern Expedition, 1926-1928 | Twentieth century | Nineteen twenties	Missionaries | Travel			Still Image	Photograph	1 sheet						grinnell:17391	http://hdl.handle.net/11084/17391					99			
grinnell:17392	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/grinnell-in-china/grinnell_17392_MODS.log	4	grinnell:grinnell-in-china			https://digital.grinnell.edu/islandora/object/grinnell:17392			Photo of Two Chinese People on a Country Road		Chapman, John Forrest ~ photographer		This photo, taken by John Forrest Chapman, shows a Chinese man and woman resting next to a dirt road. The man is wearing a conical hat and the woman has a bindle on her head. In the background is a small white memorial cross and a sign post with Chinese characters on it.	1924			1924-1926 ~ Date Issued										China	1912-1928 | Republic, 1912-1949 | Warlord period, 1916-1928 | May Thirtieth movement, 1925 | Northern Expedition, 1926-1928 | Twentieth century | Nineteen twenties	Chinese | Chinese people | Missionaries | Rural missions | Travel			Still Image	Photograph	1 sheet						grinnell:17392	http://hdl.handle.net/11084/17392					99			
grinnell:17393	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/grinnell-in-china/grinnell_17393_MODS.log	5	grinnell:grinnell-in-china			https://digital.grinnell.edu/islandora/object/grinnell:17393			Photo of a Temple in China		Chapman, John Forrest ~ photographer		Photo of a temple and possibly a shrine in China. This photo was taken by John Forrest Chapman during his time at the North China Missionary and documents his travels around China.	1924			1924-1926 ~ Date Issued										China	1912-1928 | Republic, 1912-1949 | Warlord period, 1916-1928 | May Thirtieth movement, 1925 | Northern Expedition, 1926-1928 | Twentieth century | Nineteen twenties	Missionaries | Religious aspects | Social life and customs | Travel | Shrines | Temples			Still Image	Photograph	1 sheet						grinnell:17393	http://hdl.handle.net/11084/17393					99			
grinnell:17394	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/grinnell-in-china/grinnell_17394_MODS.log	6	grinnell:grinnell-in-china			https://digital.grinnell.edu/islandora/object/grinnell:17394			Photo of a Forest Road in China		Chapman, John Forrest ~ photographer		Photo of a forest road in China, taken by John Forrest Chapman during his time at the North China Mission. The photo shows a coniferous forest surrounding a dirt road.	1924			1924-1926 ~ Date Issued										China	Republic, 1912-1949 | Warlord period, 1916-1928 | May Thirtieth movement, 1925 | Northern Expedition, 1926-1928 | Twentieth century | Nineteen twenties	Rural missions | Travel			Still Image	Photograph	1 sheet						grinnell:17394	http://hdl.handle.net/11084/17394					99			
grinnell:17395	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/grinnell-in-china/grinnell_17395_MODS.log	7	grinnell:grinnell-in-china			https://digital.grinnell.edu/islandora/object/grinnell:17395			Photo of Building in Forest		Chapman, John Forrest ~ photographer		A photo of a building set against a forest in China that includes two men sitting on the curb in front of the house. This photo was taken by John Forrest Chapman during his time at the North China Mission and includes two copies.	1924			1924-1926 ~ Date Issued										China	1912-1928 | Republic, 1912-1949 | Warlord period, 1916-1928 | May Thirtieth movement, 1925 | Northern Expedition, 1926-1928 | Twentieth century | Nineteen twenties	Chinese | Chinese people | Dwellings | Missions | Rural missions | Travel			Still Image	Photograph	1 sheet						grinnell:17395	http://hdl.handle.net/11084/17395					99			
grinnell:17396	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/grinnell-in-china/grinnell_17396_MODS.log	8	grinnell:grinnell-in-china			https://digital.grinnell.edu/islandora/object/grinnell:17396			Photo of a Buddhist Shrine		Chapman, John Forrest ~ photographer		This photo shows the inside of a Buddhist temple and shows what appears to be the main shrine inside the building. In the foreground are steps with large candles and behind are various Buddha statues. The background of the photo shows a larger wall covered with iconography and various layers of what appears to be woodworking. 2 copies are included.	1924			1924-1926 ~ Date Issued										China	Republic, 1912-1949 | Warlord period, 1916-1928 | May Thirtieth movement, 1925 | Northern Expedition, 1926-1928 | Twentieth century | Nineteen twenties	Chinese | Religious aspects | Rural missions | Social life and customs | Social values | Travel | Shrines | Temples			Still Image	Photograph	1 sheet						grinnell:17396	http://hdl.handle.net/11084/17396					99			
grinnell:17397	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/grinnell-in-china/grinnell_17397_MODS.log	9	grinnell:grinnell-in-china			https://digital.grinnell.edu/islandora/object/grinnell:17397			Photo of Chinese Man Carrying Blankets		Chapman, John Forrest ~ photographer		This photo shows a Chinese man on a dirt road carrying blankets in a pouch on his back. He wears a European-style top hat along with white cloth pants and a shirt. The man is pictured leaning on his walking stick, taking a break from the trek.	1924			1924-1926 ~ Date Issued										China	1912-1928 | Republic, 1912-1949 | Warlord period, 1916-1928 | May Thirtieth movement, 1925 | Northern Expedition, 1926-1928 | Twentieth century | Nineteen twenties	Chinese | Chinese people | Social conditions | Rural missions | Travel			Still Image	Photograph	1 sheet						grinnell:17397	http://hdl.handle.net/11084/17397					99			
grinnell:17398	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/grinnell-in-china/grinnell_17398_MODS.log	10	grinnell:grinnell-in-china			https://digital.grinnell.edu/islandora/object/grinnell:17398			Photo of Chinese Man Standing in Front of a Temple		Chapman, John Forrest ~ photographer		This photo shows a man dressed in white standing in front of a large, presumedly Buddhist temple. Above the temple doors is a sign with Chinese characters. The temple is very large, with stones steps in front and an ornate facade.	1924			1924-1926 ~ Date Issued										China	1912-1928 | Republic, 1912-1949 | Warlord period, 1916-1928 | May Thirtieth movement, 1925 | Northern Expedition, 1926-1928 | Twentieth century | Nineteen twenties	Chinese | Chinese language | Chinese people | Religious aspects | Social conditions | Social life and customs | Social values | Travel | Shrines | Temples			Still Image	Photograph	1 sheet						grinnell:17398	http://hdl.handle.net/11084/17398					99			
