PID	WORKSPACE	Import_Index	PARENT	CMODEL	SEQUENCE	OBJ	TRANSCRPT	THUMBNAIL	Title	Alternative_Titles	Personal_Names~Roles	Corporate_Names~Roles	Abstract	Index_Date	Date_Issued	Date_Captured	Other_Date~Display_Label	Publisher	Place_Of_Publication	Public_Notes~Types	Notes~Display_Label	Dates_as_Notes~Display_Label	Citations	Table_of_Contents	LCSH_Subjects	Subjects_Names~Types	Subjects_Geographic	Subjects_Temporal	Keywords	Coordinate	Related_Items~Types	Type_of_Resource~AuthorityURI	Genre~AuthorityURI	Extent	Form~AuthorityURI	MIME_Type	Digital_Origin	Classifications~Authorities	Language_Names~Codes	Local_Identifier	Handle	Physical_Location	Shelf_Locator	Access_Condition	Import_Source	Primary_Sort	Hidden_Creator	Pull_Quotes	Private_Notes~Types
grinnell:11654	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/gwcc/grinnell_11654_MODS.log	1	grinnell:gwcc	islandora:compoundCModel		https://digital.grinnell.edu/islandora/object/grinnell:11654			Cook, George W. to Sarah E. Cook, April 27, 1857		Cook, George Washington, 1823-1883 ~ creator | Cook Family ~ creator		This letter describing the travel from Connecticut to Iowa is probably the first letter sent from Grinnell, IA, to Meriden, CT. It seems to fix the arrival of George and Electa in Grinnell to late April 1857.	1857			1857-04-27	Grinnell College							Railroad accidents | Railroad | Public land sales | Land use, Rural | Farm ownership		United States | Iowa | Grinnell (Iowa) | Chicago (Ill.) | Iowa City (Iowa) | Poweshiek County (Iowa)	Eighteen fifties			Digital Grinnell ~ host | Grinnell College. Special Collections and Archives ~ host | Early College History ~ host	text	letter	3 pages		image/tiff	digitized other analog	MS 01.164 Box 1 Folder 2 ~ local	English ~ eng	grinnell:11654	http://hdl.handle.net/11084/11654			Copyright to this work is held by the author(s), in accordance with United            States copyright law (USC 17). Readers of this work have certain rights as defined by            the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:11655	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/gwcc/grinnell_11655_MODS.log	2	grinnell:gwcc	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:11655			Cook, George W. to Sarah E. Cook, April 27, 1857 - Page 1		Cook, George Washington, 1823-1883 ~ creator			1857			1857-04-27	Grinnell College													Digital Grinnell ~ host | Grinnell College. Special Collections and Archives ~ host | Early College History ~ host	text	letter			image/tiff	digitized other analog	MS 01.164 Box 1 Folder 2 ~ local	English ~ eng	grinnell:11655	http://hdl.handle.net/11084/11655			Copyright to this work is held by the author(s), in accordance with United            States copyright law (USC 17). Readers of this work have certain rights as defined by            the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:11658	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/gwcc/grinnell_11658_MODS.log	3	grinnell:gwcc	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:11658			Cook, George W. to Sarah E. Cook, April 27, 1857 - Page 2		Cook, George Washington, 1823-1883 ~ creator			1857			1857-04-27	Grinnell College													Digital Grinnell ~ host | Grinnell College. Special Collections and Archives ~ host | Early College History ~ host	text	letter	1 page		image/tiff	digitized other analog	MS 01.164 Box 1 Folder 2 ~ local	English ~ eng	grinnell:11658	http://hdl.handle.net/11084/11658			Copyright to this work is held by the author(s), in accordance with United            States copyright law (USC 17). Readers of this work have certain rights as defined by            the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:11662	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/gwcc/grinnell_11662_MODS.log	4	grinnell:gwcc	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:11662			Cook, George W. to Sarah E. Cook, April 27, 1857 - Page 3		Cook, George Washington, 1823-1883 ~ creator | Cook Family ~ creator			1857			1857-04-27	Grinnell College													Digital Grinnell ~ host | Grinnell College. Special Collections and Archives ~ host | Early College History ~ host	text	letter			image/tiff	digitized other analog	MS 01.164 Box 1 Folder 2 ~ local	English ~ eng	grinnell:11662	http://hdl.handle.net/11084/11662			Copyright to this work is held by the author(s), in accordance with United            States copyright law (USC 17). Readers of this work have certain rights as defined by            the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:11669	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/gwcc/grinnell_11669_MODS.log	5	grinnell:gwcc	islandora:compoundCModel		https://digital.grinnell.edu/islandora/object/grinnell:11669			Cook, George W. to Collins Cook, April (?) 1857		Cook, George Washington, 1823-1883 ~ creator | Cook Family ~ creator		Map of township land.	1857			1857-04-00	Grinnell College							Real estate business | Land use, Rural		Iowa | Grinnell (Iowa) | Poweshiek County (Iowa) | United States	Eighteen fifties	Map		Digital Grinnell ~ host | Grinnell College. Special Collections and Archives ~ host | Early College History ~ host	text	letter	2 pages		image/tiff	digitized other analog	MS 01.164 Box 1 Folder 4 ~ local	English ~ eng	grinnell:11669	http://hdl.handle.net/11084/11669			Copyright to this work is held by the author(s), in accordance with United            States copyright law (USC 17). Readers of this work have certain rights as defined by            the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:11670	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/gwcc/grinnell_11670_MODS.log	6	grinnell:gwcc	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:11670			Cook, George W. to Collins Cook, April (?) 1857		Cook, George Washington, 1823-1883 ~ creator			1857			1857-04-00	Grinnell College													Digital Grinnell ~ host | Grinnell College. Special Collections and Archives ~ host | Early College History ~ host	text	letter			image/tiff	digitized other analog	MS 01.164 Box 1 Folder 4 ~ local	English ~ eng	grinnell:11670	http://hdl.handle.net/11084/11670			Copyright to this work is held by the author(s), in accordance with United            States copyright law (USC 17). Readers of this work have certain rights as defined by            the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:11671	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/gwcc/grinnell_11671_MODS.log	7	grinnell:gwcc	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:11671			Cook, George W. to Collins Cook, April (?) 1857		Cook, George Washington, 1823-1883 ~ creator			1857			1857-04-00	Grinnell College													Digital Grinnell ~ host | Grinnell College. Special Collections and Archives ~ host | Early College History ~ host	text	letter			image/tiff	digitized other analog	MS 01.164 Box 1 Folder 4 ~ local	English ~ eng	grinnell:11671	http://hdl.handle.net/11084/11671			Copyright to this work is held by the author(s), in accordance with United            States copyright law (USC 17). Readers of this work have certain rights as defined by            the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:11673	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/gwcc/grinnell_11673_MODS.log	8	grinnell:gwcc	islandora:compoundCModel		https://digital.grinnell.edu/islandora/object/grinnell:11673			Cook, George W. to Unknown, 1857		Cook, George Washington, 1823-1883 ~ creator		Cook writes about land sales in the town.	1857			1857-00-00	Grinnell College							Land speculation | Real estate business | Public land sales		Iowa | Grinnell (Iowa) | Poweshiek County (Iowa) | United States	Eighteen fifties			Digital Grinnell ~ host | Grinnell College. Special Collections and Archives ~ host | Early College History ~ host	text	letter	2 pages		image/tiff	digitized other analog	MS 01.164 Box 1 Folder 5 ~ local	English ~ eng	grinnell:11673	http://hdl.handle.net/11084/11673			Copyright to this work is held by the author(s), in accordance with United            States copyright law (USC 17). Readers of this work have certain rights as defined by            the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:11674	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/gwcc/grinnell_11674_MODS.log	9	grinnell:gwcc	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:11674			Cook, George W. to Unknown, 1857 - Page 1		Cook, George Washington, 1823-1883 ~ creator			1857			1857-00-00	Grinnell College													Digital Grinnell ~ host | Grinnell College. Special Collections and Archives ~ host | Early College History ~ host	text	letter			image/tiff	digitized other analog	MS 01.164 Box 1 Folder 5 ~ local	English ~ eng	grinnell:11674	http://hdl.handle.net/11084/11674			Copyright to this work is held by the author(s), in accordance with United            States copyright law (USC 17). Readers of this work have certain rights as defined by            the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:11675	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/gwcc/grinnell_11675_MODS.log	10	grinnell:gwcc	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:11675			Cook, George W. to Unknown, 1857 - Page 2		Cook, George Washington, 1823-1883 ~ creator			1857			1857-00-00	Grinnell College													Digital Grinnell ~ host | Grinnell College. Special Collections and Archives ~ host | Early College History ~ host	text	letter			image/tiff	digitized other analog	MS 01.164 Box 1 Folder 5 ~ local	English ~ eng	grinnell:11675	http://hdl.handle.net/11084/11675			Copyright to this work is held by the author(s), in accordance with United            States copyright law (USC 17). Readers of this work have certain rights as defined by            the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:11688	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/gwcc/grinnell_11688_MODS.log	11	grinnell:gwcc	islandora:compoundCModel		https://digital.grinnell.edu/islandora/object/grinnell:11688			Cook, George W. to Unknown, April 28(?), 1857		Cook, George Washington, 1823-1883 ~ creator | Cook family ~ creator		Description of township land with accompanying hand drawn map. The move of Iowa College from Davenport to Grinnell is mentioned.	1857			1857-04-28	Grinnell College		"This text appears to be a piece of the text in the previous section
(Section 2). The sheet itself has no date, but was found in an envelope dated 28 April 1857. Note the second paragraph, which claims the college has not yet moved to Grinnell. As described in the 1860 page of the on-line history of Grinnell College, the College evidently moved to Grinnell in 1861, so that information in the letter doesn’t fix the year. Since the last paragraph appears to describe land GWC contemplates purchasing, I am guessing that 1857 may well be correct. ~ note"					Iowa College (Davenport, Iowa) | Grinnell University | Land use, Rural | Real estate business | Public land sales		Grinnell (Iowa) | Poweshiek County (Iowa) | Iowa	Eighteen fifties			Digital Grinnell ~ host | Grinnell College. Special Collections and Archives ~ host | Early College History ~ host	text	letter	Envelope front, 2 pages		image/tiff	digitized other analog	MS 01.164 Box 1 Folder 3 ~ local	English ~ eng	grinnell:11688	http://hdl.handle.net/11084/11688			Copyright to this work is held by the author(s), in accordance with United            States copyright law (USC 17). Readers of this work have certain rights as defined by            the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:11690	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/gwcc/grinnell_11690_MODS.log	12	grinnell:gwcc	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:11690			Cook, George W. to Unknown, April 28(?) 1857		Cook, George Washington, 1823-1883 ~ creator			1857			1857-04-28	Grinnell College													Digital Grinnell ~ host | Grinnell College. Special Collections and Archives ~ host | Early College History ~ host	text	letter	2 pages		image/tiff	digitized other analog	MS 01.164 Box 1 Folder 3 ~ local	English ~ eng	grinnell:11690	http://hdl.handle.net/11084/11690			Copyright to this work is held by the author(s), in accordance with United            States copyright law (USC 17). Readers of this work have certain rights as defined by            the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:11692	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/gwcc/grinnell_11692_MODS.log	13	grinnell:gwcc	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:11692			Cook, George W. to Unknown, April 28(?) 1857 - Page 1		Cook, George Washington, 1823-1883 ~ creator			1857			1857-04-28	Grinnell College													Digital Grinnell ~ host | Grinnell College. Special Collections and Archives ~ host | Early College History ~ host	text	letter			image/tiff	digitized other analog	MS 01.164 Box 1 Folder 3 ~ local	English ~ eng	grinnell:11692	http://hdl.handle.net/11084/11692			Copyright to this work is held by the author(s), in accordance with United            States copyright law (USC 17). Readers of this work have certain rights as defined by            the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:11693	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/gwcc/grinnell_11693_MODS.log	14	grinnell:gwcc	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:11693			Cook, George W. to Unknown, April 28(?), 1857 - Page 2		Cook, George Washington, 1823-1883 ~ creator			1857			1857-04-28	Grinnell College													Digital Grinnell ~ host | Grinnell College. Special Collections and Archives ~ host | Early College History ~ host	text	letter			image/tiff	digitized other analog	MS 01.164 Box 1 Folder 3 ~ local	English ~ eng	grinnell:11693	http://hdl.handle.net/11084/11693			Copyright to this work is held by the author(s), in accordance with United            States copyright law (USC 17). Readers of this work have certain rights as defined by            the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:11841	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/gwcc/grinnell_11841_MODS.log	15	grinnell:gwcc	islandora:sp_pdf		https://digital.grinnell.edu/islandora/object/grinnell:11841			Cook, George W. to Sarah E. Cook, April 27, 1857 - Transcription		Cook, George Washington, 1823-1883 ~ creator			1857			1857-04-27	Grinnell College													Grinnell College. Special Collections and Archives ~ host | Early College History ~ host	text	transcription			application/pdf	born digital	MS 01.164 Box 1 Folder 2 ~ local	English ~ eng	grinnell:11841	http://hdl.handle.net/11084/11841			Copyright to this work is held by the author(s), in accordance with United            States copyright law (USC 17). Readers of this work have certain rights as defined by            the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:11842	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/gwcc/grinnell_11842_MODS.log	16	grinnell:gwcc	islandora:sp_pdf		https://digital.grinnell.edu/islandora/object/grinnell:11842			Cook, George W. to Collins Cook, April (?) 1857 - Transcription		Cook, George Washington, 1823-1883 ~ creator			1857			1857-04-00	Grinnell College													Grinnell College. Special Collections and Archives ~ host | Early College History ~ host | Grinnell College. Special Collections and Archives ~ host	text	transcription			application/pdf	born digital	MS 01.164 Box 1 Folder 4 ~ local	English ~ eng	grinnell:11842	http://hdl.handle.net/11084/11842			Copyright to this work is held by the author(s), in accordance with United            States copyright law (USC 17). Readers of this work have certain rights as defined by            the law, including but not limited to fair use (17 USC 107 et seq.).		99			
