PID	WORKSPACE	Import_Index	PARENT	CMODEL	SEQUENCE	OBJ	TRANSCRPT	THUMBNAIL	Title	Alternative_Titles	Personal_Names~Roles	Corporate_Names~Roles	Abstract	Index_Date	Date_Issued	Date_Captured	Other_Date~Display_Label	Publisher	Place_Of_Publication	Public_Notes~Types	Notes~Display_Label	Dates_as_Notes~Display_Label	Citations	Table_of_Contents	LCSH_Subjects	Subjects_Names~Types	Subjects_Geographic	Subjects_Temporal	Keywords	Coordinate	Related_Items~Types	Type_of_Resource~AuthorityURI	Genre~AuthorityURI	Extent	Form~AuthorityURI	MIME_Type	Digital_Origin	Classifications~Authorities	Language_Names~Codes	Local_Identifier	Handle	Physical_Location	Shelf_Locator	Access_Condition	Import_Source	Primary_Sort	Hidden_Creator	Pull_Quotes	Private_Notes~Types
grinnell:11422	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/jimmy-ley/grinnell_11422_MODS.log	1	grinnell:jimmy-ley	islandora:compoundCModel		https://digital.grinnell.edu/islandora/object/grinnell:11422			Jimmy Ley to Mr. and Mrs. W. E. Ley - August 25, 1939		Jimmy Ley ~ creator		Jimmy takes a bus trip across the country.	1939			1939-08-25	Grinnell College													Digital Grinnell ~ host	text	postcard	2 images		image/tiff	digitized other analog	MS 01.162 Box 1 Folder 1 ~ local	English ~ eng	grinnell:11422	http://hdl.handle.net/11084/11422			Copyright to this work is held by the author(s), in accordance with United            States copyright law (USC 17). Readers of this work have certain rights as defined by            the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:11423	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/jimmy-ley/grinnell_11423_MODS.log	2	grinnell:jimmy-ley	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:11423			Jimmy Ley to Mr. and Mrs. W. E. Ley - August 25, 1939	Front				1939			1939-08-25	Grinnell College													Digital Grinnell ~ host	text	postcard			image/tiff	digitized other analog		English ~ eng	grinnell:11423	http://hdl.handle.net/11084/11423			Copyright to this work is held by the author(s), in accordance with United            States copyright law (USC 17). Readers of this work have certain rights as defined by            the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:11426	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/jimmy-ley/grinnell_11426_MODS.log	3	grinnell:jimmy-ley	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:11426			Jimmy Ley to Mr. and Mrs. W. E. Ley - August 25, 1939	Back	Jimmy Ley ~ creator			1939			1939-08-25	Grinnell College													Digital Grinnell ~ host	text	postcard			image/tiff	digitized other analog	MS 01.162 Box 1 Folder 1 ~ local	English ~ eng	grinnell:11426	http://hdl.handle.net/11084/11426			Copyright to this work is held by the author(s), in accordance with United            States copyright law (USC 17). Readers of this work have certain rights as defined by            the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:11427	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/jimmy-ley/grinnell_11427_MODS.log	4	grinnell:jimmy-ley	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:11427			Jimmy Ley to Mr. and Mrs. W. E. Ley - June 6, 1940		Jimmy Ley ~ creator			1940			1940-06-06	Grinnell College													Digital Grinnell ~ host	text	postcard			image/tiff	digitized other analog	MS 01.162 Box 1 Folder 1 ~ local	English ~ eng	grinnell:11427	http://hdl.handle.net/11084/11427			Copyright to this work is held by the author(s), in accordance with United            States copyright law (USC 17). Readers of this work have certain rights as defined by            the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:11428	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/jimmy-ley/grinnell_11428_MODS.log	5	grinnell:jimmy-ley	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:11428			Jimmy Ley to Mr. and Mrs. W. E. Ley - June 6, 1940		Ley, Jimmy ~ creator			1940			1940-06-06	Grinnell College													Digital Grinnell ~ host	text	postcard			image/tiff	digitized other analog	MS 01.162 Box 1 Folder 1 ~ local	English ~ eng	grinnell:11428	http://hdl.handle.net/11084/11428			Copyright to this work is held by the author(s), in accordance with United            States copyright law (USC 17). Readers of this work have certain rights as defined by            the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:11429	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/jimmy-ley/grinnell_11429_MODS.log	6	grinnell:jimmy-ley	islandora:compoundCModel		https://digital.grinnell.edu/islandora/object/grinnell:11429			Jimmy Ley to Mr. and Mrs. W. E. Ley - June 6, 1940		Ley, Jimmy ~ creator		Jimmy visits the Ozark Mountains.	1940			1940-06-06	Grinnell College													Digital Grinnell ~ host	text	postcard			image/tiff	digitized other analog	MS 01.162 Box 1 Folder 1 ~ local	English ~ eng	grinnell:11429	http://hdl.handle.net/11084/11429			Copyright to this work is held by the author(s), in accordance with United            States copyright law (USC 17). Readers of this work have certain rights as defined by            the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:11430	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/jimmy-ley/grinnell_11430_MODS.log	7	grinnell:jimmy-ley	islandora:compoundCModel		https://digital.grinnell.edu/islandora/object/grinnell:11430			Jimmy Ley to Mr. and Mrs. W. E. Ley - June 6, 1940		Ley, Jimmy ~ creator		Jimmy recommends that his parents visit the Ozarks.	1940			1940-06-06	Grinnell College													Digital Grinnell ~ host	text	postcard	2 pages		image/tiff	digitized other analog	MS 01.162 Box 1 Folder 1 ~ local	English ~ eng	grinnell:11430	http://hdl.handle.net/11084/11430			Copyright to this work is held by the author(s), in accordance with United            States copyright law (USC 17). Readers of this work have certain rights as defined by            the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:11431	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/jimmy-ley/grinnell_11431_MODS.log	8	grinnell:jimmy-ley	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:11431			Jimmy Ley to Mr. and Mrs. W. E. Ley - June 6, 1940		Ley, Jimmy ~ creator			1940			1940-06-06	Grinnell College													Digital Grinnell ~ host	text	postcard			image/tiff	digitized other analog	MS 01.162 Box 1 Folder 1 ~ local	English ~ eng	grinnell:11431	http://hdl.handle.net/11084/11431			Copyright to this work is held by the author(s), in accordance with United            States copyright law (USC 17). Readers of this work have certain rights as defined by            the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:11432	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/jimmy-ley/grinnell_11432_MODS.log	9	grinnell:jimmy-ley	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:11432			Jimmy Ley to Mr. and Mrs. W. E. Ley - June 6, 1940					1940			1940-06-06	Grinnell College													Digital Grinnell ~ host	text	postcard			image/tiff	digitized other analog	MS 01.162 Box 1 Folder 1 ~ local	English ~ eng	grinnell:11432	http://hdl.handle.net/11084/11432			Copyright to this work is held by the author(s), in accordance with United            States copyright law (USC 17). Readers of this work have certain rights as defined by            the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:11433	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/jimmy-ley/grinnell_11433_MODS.log	10	grinnell:jimmy-ley	islandora:compoundCModel		https://digital.grinnell.edu/islandora/object/grinnell:11433			Jimmy Ley to Mr. and Mrs. W. E. Ley - June 9, 1940		Ley, Jimmy ~ creator		Jimmy tells Ruthy and Bill about his dirty pants, beautiful mountains, and the dust bowl.	1940			1940-06-09	Grinnell College													Grinnell College. Special Collections and Archives ~ host	text	postcard						English ~ eng	grinnell:11433	http://hdl.handle.net/11084/11433			Copyright to this work is held by the author(s), in accordance with United            States copyright law (USC 17). Readers of this work have certain rights as defined by            the law, including but not limited to fair use (17 USC 107 et seq.).		99			
