PID	WORKSPACE	Import_Index	PARENT	CMODEL	SEQUENCE	OBJ	TRANSCRPT	THUMBNAIL	Title	Alternative_Titles	Personal_Names~Roles	Corporate_Names~Roles	Abstract	Index_Date	Date_Issued	Date_Captured	Other_Date~Display_Label	Publisher	Place_Of_Publication	Public_Notes~Types	Notes~Display_Label	Dates_as_Notes~Display_Label	Citations	Table_of_Contents	LCSH_Subjects	Subjects_Names~Types	Subjects_Geographic	Subjects_Temporal	Keywords	Coordinate	Related_Items~Types	Type_of_Resource~AuthorityURI	Genre~AuthorityURI	Extent	Form~AuthorityURI	MIME_Type	Digital_Origin	Classifications~Authorities	Language_Names~Codes	Local_Identifier	Handle	Physical_Location	Shelf_Locator	Access_Condition	Import_Source	Primary_Sort	Hidden_Creator	Pull_Quotes	Private_Notes~Types
grinnell:10081	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/kleinschmidt/grinnell_10081_MODS.log	1	grinnell:kleinschmidt	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10081			1001 Broad		Jack | Robertson | Robertson, Jack ~ author		Details of the building on the NW corner  of 5th Avenue and Broad St. (1001 Broad). . This was the second permanent structure of the colony of Grinnell, built in the summer of 1854, for Anor Scott, store-keeper and merchant.  It first stood near what is now the NW corner of the intersection of Fifth Avenue and Broad Street. (There were then no streets as such: the town would not file a plat until January, 1855). Later it was moved to High Street, then to the SW corner of the intersection of Third Avenue and Elm Street where it is now part of a small house. Fragments of the handsome hand-painted wallpaper (four colors) fixed directly to the inner skin of the building--boards of the board-and-batten construction, gaps, studs, cross-pieces and all--are still within the present walls. (Courtesy of Hugh and Deborah Sheridan)	1854				Grinnell College											Grinnell | Grant | Business | Family Life		Digital Grinnell ~ host | John Kleinschmidt Collection ~ host	Photograph				image/tiff	reformated digital	MS01.39 Ser. 3 Box 1 ~ ddc	English ~ eng	grinnell:10081	http://hdl.handle.net/11084/10081			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10082	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/kleinschmidt/grinnell_10082_MODS.log	2	grinnell:kleinschmidt	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10082			1001 Broad		Jack | Robertson | Robertson, Jack ~ author		Details of the building on the NW corner  of 5th Avenue and Broad St. (1001 Broad). . This was the second permanent structure of the colony of Grinnell, built in the summer of 1854, for Anor Scott, store-keeper and merchant.  It first stood near what is now the NW corner of the intersection of Fifth Avenue and Broad Street. (There were then no streets as such: the town would not file a plat until January, 1855). Later it was moved to High Street, then to the SW corner of the intersection of Third Avenue and Elm Street where it is now part of a small house. Fragments of the handsome hand-painted wallpaper (four colors) fixed directly to the inner skin of the building--boards of the board-and-batten construction, gaps, studs, cross-pieces and all--are still within the present walls. (Courtesy of Hugh and Deborah Sheridan)	1854				Grinnell College											Grinnell | Grant | Business | Family Life		Digital Grinnell ~ host | John Kleinschmidt Collection ~ host	Photograph				image/tiff	reformated digital	MS01.39 Ser. 3 Box 1 ~ ddc	English ~ eng	grinnell:10082	http://hdl.handle.net/11084/10082			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10083	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/kleinschmidt/grinnell_10083_MODS.log	3	grinnell:kleinschmidt	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10083			1001 Broad		Jack | Robertson | Robertson, Jack ~ author		Details of the building on the NW corner  of 5th Avenue and Broad St. (1001 Broad). . This was the second permanent structure of the colony of Grinnell, built in the summer of 1854, for Anor Scott, store-keeper and merchant.  It first stood near what is now the NW corner of the intersection of Fifth Avenue and Broad Street. (There were then no streets as such: the town would not file a plat until January, 1855). Later it was moved to High Street, then to the SW corner of the intersection of Third Avenue and Elm Street where it is now part of a small house. Fragments of the handsome hand-painted wallpaper (four colors) fixed directly to the inner skin of the building--boards of the board-and-batten construction, gaps, studs, cross-pieces and all--are still within the present walls. (Courtesy of Hugh and Deborah Sheridan)	1854				Grinnell College											Grinnell | Grant | Business | Family Life		Digital Grinnell ~ host | John Kleinschmidt Collection ~ host	Photograph				image/tiff	reformated digital	MS01.39 Ser. 3 Box 1 ~ ddc	English ~ eng	grinnell:10083	http://hdl.handle.net/11084/10083			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10084	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/kleinschmidt/grinnell_10084_MODS.log	4	grinnell:kleinschmidt	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10084			1001 Broad		Jack | Robertson | Robertson, Jack ~ author		Details of the building on the NW corner  of 5th Avenue and Broad St. (1001 Broad). . This was the second permanent structure of the colony of Grinnell, built in the summer of 1854, for Anor Scott, store-keeper and merchant.  It first stood near what is now the NW corner of the intersection of Fifth Avenue and Broad Street. (There were then no streets as such: the town would not file a plat until January, 1855). Later it was moved to High Street, then to the SW corner of the intersection of Third Avenue and Elm Street where it is now part of a small house. Fragments of the handsome hand-painted wallpaper (four colors) fixed directly to the inner skin of the building--boards of the board-and-batten construction, gaps, studs, cross-pieces and all--are still within the present walls. (Courtesy of Hugh and Deborah Sheridan)	1854				Grinnell College											Grinnell | Grant | Business | Family Life		Digital Grinnell ~ host | John Kleinschmidt Collection ~ host	Photograph				image/tiff	reformated digital	MS01.39 Ser. 3 Box 1 ~ ddc	English ~ eng	grinnell:10084	http://hdl.handle.net/11084/10084			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10085	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/kleinschmidt/grinnell_10085_MODS.log	5	grinnell:kleinschmidt	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10085			1001 Broad		Jack | Robertson | Robertson, Jack ~ author		Details of the building on the NW corner  of 5th Avenue and Broad St. (1001 Broad). . This was the second permanent structure of the colony of Grinnell, built in the summer of 1854, for Anor Scott, store-keeper and merchant.  It first stood near what is now the NW corner of the intersection of Fifth Avenue and Broad Street. (There were then no streets as such: the town would not file a plat until January, 1855). Later it was moved to High Street, then to the SW corner of the intersection of Third Avenue and Elm Street where it is now part of a small house. Fragments of the handsome hand-painted wallpaper (four colors) fixed directly to the inner skin of the building--boards of the board-and-batten construction, gaps, studs, cross-pieces and all--are still within the present walls. (Courtesy of Hugh and Deborah Sheridan)	1854				Grinnell College											Grinnell | Grant | Business | Family Life		Digital Grinnell ~ host | John Kleinschmidt Collection ~ host	Photograph				image/tiff	reformated digital	MS01.39 Ser. 3 Box 1 ~ ddc	English ~ eng	grinnell:10085	http://hdl.handle.net/11084/10085			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10086	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/kleinschmidt/grinnell_10086_MODS.log	6	grinnell:kleinschmidt	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10086			1001 Broad		Jack | Robertson | Robertson, Jack ~ author		Details of the building on the NW corner  of 5th Avenue and Broad St. (1001 Broad). . This was the second permanent structure of the colony of Grinnell, built in the summer of 1854, for Anor Scott, store-keeper and merchant.  It first stood near what is now the NW corner of the intersection of Fifth Avenue and Broad Street. (There were then no streets as such: the town would not file a plat until January, 1855). Later it was moved to High Street, then to the SW corner of the intersection of Third Avenue and Elm Street where it is now part of a small house. Fragments of the handsome hand-painted wallpaper (four colors) fixed directly to the inner skin of the building--boards of the board-and-batten construction, gaps, studs, cross-pieces and all--are still within the present walls. (Courtesy of Hugh and Deborah Sheridan)	1854				Grinnell College											Grinnell | Grant | Business | Family Life		Digital Grinnell ~ host | John Kleinschmidt Collection ~ host	Photograph				image/tiff	reformated digital	MS01.39 Ser. 3 Box 1 ~ ddc	English ~ eng	grinnell:10086	http://hdl.handle.net/11084/10086			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10087	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/kleinschmidt/grinnell_10087_MODS.log	7	grinnell:kleinschmidt	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10087			1001 Broad		Jack | Robertson | Robertson, Jack ~ author		Details of the building on the NW corner  of 5th Avenue and Broad St. (1001 Broad). . This was the second permanent structure of the colony of Grinnell, built in the summer of 1854, for Anor Scott, store-keeper and merchant.  It first stood near what is now the NW corner of the intersection of Fifth Avenue and Broad Street. (There were then no streets as such: the town would not file a plat until January, 1855). Later it was moved to High Street, then to the SW corner of the intersection of Third Avenue and Elm Street where it is now part of a small house. Fragments of the handsome hand-painted wallpaper (four colors) fixed directly to the inner skin of the building--boards of the board-and-batten construction, gaps, studs, cross-pieces and all--are still within the present walls. (Courtesy of Hugh and Deborah Sheridan)	1854				Grinnell College											Grinnell | Grant | Business | Family Life		Digital Grinnell ~ host | John Kleinschmidt Collection ~ host	Photograph				image/tiff	reformated digital	MS01.39 Ser. 3 Box 1 ~ ddc	English ~ eng	grinnell:10087	http://hdl.handle.net/11084/10087			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10088	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/kleinschmidt/grinnell_10088_MODS.log	8	grinnell:kleinschmidt	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10088			1001 Broad		Jack | Robertson | Robertson, Jack ~ author		Details of the building on the NW corner  of 5th Avenue and Broad St. (1001 Broad). . This was the second permanent structure of the colony of Grinnell, built in the summer of 1854, for Anor Scott, store-keeper and merchant.  It first stood near what is now the NW corner of the intersection of Fifth Avenue and Broad Street. (There were then no streets as such: the town would not file a plat until January, 1855). Later it was moved to High Street, then to the SW corner of the intersection of Third Avenue and Elm Street where it is now part of a small house. Fragments of the handsome hand-painted wallpaper (four colors) fixed directly to the inner skin of the building--boards of the board-and-batten construction, gaps, studs, cross-pieces and all--are still within the present walls. (Courtesy of Hugh and Deborah Sheridan)	1854				Grinnell College											Grinnell | Grant | Business | Family Life		Digital Grinnell ~ host | John Kleinschmidt Collection ~ host	Photograph				image/tiff	reformated digital	MS01.39 Ser. 3 Box 1 ~ ddc	English ~ eng	grinnell:10088	http://hdl.handle.net/11084/10088			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10089	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/kleinschmidt/grinnell_10089_MODS.log	9	grinnell:kleinschmidt	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10089			5th & Park				Photograph of the house at the NW corner of 5th Ave. & Park St. The brick house was probably built in the late 1850s by H. G. Little.  The house was later purchased by a group of Grinnell College trustees to serve as the college president's home.  H.G. Little built his new home at 1127 Park Street. That house is no longer standing.					Grinnell College											Grinnell | Grant | Family Life | 1890s		Digital Grinnell ~ host | John Kleinschmidt Collection ~ host | Poweshiek History Preservation Project ~ host	still image					reformated digital	MS01.39 Ser. 3 Box 1 ~ ddc	English ~ eng	grinnell:10089	http://hdl.handle.net/11084/10089			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10093	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/kleinschmidt/grinnell_10093_MODS.log	10	grinnell:kleinschmidt	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10093			6th and West (NW Corner)				Photographs of the house just west of the northwest corner of 6th and West St. The City Directory of 1878 has Mrs. A.J. Hamlin at this address. She is also listed in the 1894-95 City Directory.  Changes to the original building included cutting off the SE corner bay window and making a picture window, adding a wraparound veranda with pediment and enclosing the former bay window. The roof was raised and peaked to provide an attic with window.  One photo (B) is early, before the changes, and the other (A) shows the later modifications.					Grinnell College											Grinnell | Grant | Family Life | 1890s		Digital Grinnell ~ host | John Kleinschmidt Collection ~ host | Poweshiek History Preservation Project ~ host	Photograph				image/tiff	reformated digital	MS 01.39 Ser. 3 Box 1A ~ ddc	English ~ eng	grinnell:10093	http://hdl.handle.net/11084/10093			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
