PID	WORKSPACE	Import_Index	PARENT	CMODEL	SEQUENCE	OBJ	TRANSCRPT	THUMBNAIL	Title	Alternative_Titles	Personal_Names~Roles	Corporate_Names~Roles	Abstract	Index_Date	Date_Issued	Date_Captured	Other_Date~Display_Label	Publisher	Place_Of_Publication	Public_Notes~Types	Notes~Display_Label	Dates_as_Notes~Display_Label	Citations	Table_of_Contents	LCSH_Subjects	Subjects_Names~Types	Subjects_Geographic	Subjects_Temporal	Keywords	Coordinate	Related_Items~Types	Type_of_Resource~AuthorityURI	Genre~AuthorityURI	Extent	Form~AuthorityURI	MIME_Type	Digital_Origin	Classifications~Authorities	Language_Names~Codes	Local_Identifier	Handle	Physical_Location	Shelf_Locator	Access_Condition	Import_Source	Primary_Sort	Hidden_Creator	Pull_Quotes	Private_Notes~Types
grinnell:17387	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/pending-review/grinnell_17387_MODS.log	1	grinnell:pending-review			https://digital.grinnell.edu/islandora/object/grinnell:17387			Postcard from Harold Matthews to his Mother		Matthews, Harold S. ~ author		Matthews talked about that he was going to invite a Chinese friend to a dinner.	1921	1921												China	Republic, 1912-1949	Chinese			Text	Postcard	1 sheet						grinnell:17387	http://hdl.handle.net/11084/17387					99			
grinnell:17388	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/pending-review/grinnell_17388_MODS.log	2	grinnell:pending-review			https://digital.grinnell.edu/islandora/object/grinnell:17388			Postcard from Harold Matthews to his Friend		Matthews, Harold S. ~ author		Matthews said that he would arrive in Grinnell soon and greeted his friends.	1942	1942												Grinnell	Republic, 1912-1949	Missionaries			Text	Postcard	1 sheet						grinnell:17388	http://hdl.handle.net/11084/17388					99			
grinnell:21062	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/pending-review/grinnell_21062_MODS.log	3	grinnell:pending-review			https://digital.grinnell.edu/islandora/object/grinnell:21062			Crop Notebook Test 4									Grinnell College													Digital Grinnell ~ host	text							English ~ eng	grinnell:21062	http://hdl.handle.net/11084/21062			Copyright to this work is held by the author(s), in accordance with United            States copyright law (USC 17). Readers of this work have certain rights as defined by            the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:21140	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/pending-review/grinnell_21140_MODS.log	4	grinnell:pending-review			https://digital.grinnell.edu/islandora/object/grinnell:21140			Crop Notebook Test 6									Grinnell College													Digital Grinnell ~ host	text							English ~ eng	grinnell:21140	http://hdl.handle.net/11084/21140			Copyright to this work is held by the author(s), in accordance with United            States copyright law (USC 17). Readers of this work have certain rights as defined by            the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:21204	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/pending-review/grinnell_21204_MODS.log	5	grinnell:pending-review			https://digital.grinnell.edu/islandora/object/grinnell:21204			Sarah Elizabeth King '03, Preeti Gupta '03, Katherine Ann Jones '03, and Evan Michael Torner '04		King, Sarah Elizabeth '03 ~ creator | Gupta, Preeti '03 ~ creator | Jones, Katherine Ann '03 ~ creator | Torner, Evan Michael '04 ~ creator | Doehr, Ben '15 ~ interviewer | Barroso, Helen '15 ~ transcriber | Thornton, Jack '17 ~ reviewer | McFate, Mackenzie '18 ~ reviewer | Maly, Nancy '61 ~ reviewer		Alumni oral history interview with Sarah Elizabeth King '03, Preeti Gupta '03, Katherine Ann Jones '03, and Evan Michael Torner '04. Recorded June 1, 2013.	2003			June 1, 2013														Digital Grinnell ~ host	sound recording-nonmusical	interview	54 minutes 34 seconds		video/mpeg	born digital			grinnell:21204	http://hdl.handle.net/11084/21204			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99	King, Sarah Elizabeth '03 and Gupta, Preeti '03 and Jones, Katherine Ann '03 and Torner, Evan Michael '04	Don’t hold yourself back for any reason. There is so much that this college has to offer socially, academically, creatively... I mean, there’s so much. Not just the campus, but the town itself, there’s so much that it’s like, I feel like I held myself back out of fear and... And I didn’t experience everything I could have, so don’t hold yourself back.	
grinnell:21223	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/pending-review/grinnell_21223_MODS.log	6	grinnell:pending-review			https://digital.grinnell.edu/islandora/object/grinnell:21223			John Graber '63 and Jon Miles Klement '63		Graber, John '63 ~ creator | Miles Klement, Jon '63 ~ creator | Vincent, Kathryn '13 ~ interviewer | Barroso, Helen '15 ~ transcriber | Thornton, Jack '17 ~ reviewer | McFate, Mackenzie '18 ~ reviewer | Maly, Nancy '61 ~ reviewer		Alumni oral history interview with John Graber '63 and Jon Miles Klement '63. Recorded June 1, 2013.	1963			June 1, 2013														Digital Grinnell ~ host	sound recording-nonmusical	interview	58 minutes 50 seconds		video/mpeg	born digital			grinnell:21223	http://hdl.handle.net/11084/21223			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99	Graber, John '63 and Miles Klement, Jon '63	I think as a university, a college, a town changes, they should not just come in with bulldozers and clear everything out. I- it’s good to see some of the older buildings that, you know, generations before ours in the early 1900s would have gone to class in, or chapel to worship in, whatever. When you’re into science with library access and stuff like this, you know that the building has to be different to accommodate newer technologies, but the... for the older buildings, modifying them so they’re warmer and more comfortable, but keeping that tradition is a big part, and I’m glad to see that Grinnell has, I think, got a good balance there.	
grinnell:21225	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/pending-review/grinnell_21225_MODS.log	7	grinnell:pending-review			https://digital.grinnell.edu/islandora/object/grinnell:21225			Jan Bowen '59		Bowen, Jan '59 ~ creator | N/A ~ interviewer | McFate, Mackenzie '18 ~ transcriber | Maly, Nancy '61 ~ reviewer		Alumni oral history interview with Jan Bowen '59. Recorded May 31, 2013.	1959			May 31, 2013														Digital Grinnell ~ host	sound recording-nonmusical	interview	2 minutes 27 seconds		video/mpeg	born digital			grinnell:21225	http://hdl.handle.net/11084/21225			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99	Bowen, Jan '59	It just touches me to realize that this young man from this very humble family achieved that level of education and... work experience and contribution to the Biology field. And I just am really thankful, every time I think about it, that he had that opportunity with absolutely no understanding when he graduated from high school, that he was going to be able to go to college and earn a PhD... and have an academic career.	
grinnell:21226	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/pending-review/grinnell_21226_MODS.log	8	grinnell:pending-review			https://digital.grinnell.edu/islandora/object/grinnell:21226			Jim Bickal '82		Bickal, Jim '82 ~ creator | Doehr, Ben '15 ~ interviewer | McFate, Mackenzie '18 ~ transcriber | Maly, Nancy '61 ~ reviewer		Alumni oral history interview with Jim Bickal '82. Recorded June 1, 2013.	1982			June 1, 2013														Digital Grinnell ~ host	sound recording-nonmusical	interview	12 minutes 50 seconds		video/mpeg	born digital			grinnell:21226	http://hdl.handle.net/11084/21226			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99	Bickal, Jim '82	"By the end, by 2 'o' clock in the morning, it was... it was pretty- we were pretty squirrel-y and, y'know, putting- almost making it so we were mixing all different things on the air at the same time so it was almost unlistenable.  remember somebody finally calling, saying: ""You've done it. I can't listen to the radio anymore; I'm turning it off."" We sort of felt like that was a victory for some reason."	
grinnell:23362	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/pending-review/grinnell_23362_MODS.log	9	grinnell:pending-review			https://digital.grinnell.edu/islandora/object/grinnell:23362			Lee Arnold '78		Arnold, Lee '78 ~ creator | Collins, Willa '16 ~ interviewer | McFate, Mackenzie '18 ~ transcriber | Maly, Nancy '61 ~ reviewer		Alumni oral history interview with Lee Arnold '78. Recorded May 31, 2013.	1978			May 31, 2013	Grinnell College													Digital Grinnell ~ host	sound recording-nonmusical	interview	23 minutes 58 seconds		video/mpeg	born digital		English ~ eng	grinnell:23362	http://hdl.handle.net/11084/23362			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99	Arnold, Lee '78	"I was a bit homesick. I had come from Jacksonville, Florida; it's 1500 miles away. It was a little bit difficult, and I was a little bit homesick, and I was taking Intro to Political Science, being taught by Wayne Moyer. And I remember at Thanksgiving, he invited those of us who weren't going home for Thanksgiving- invited them out to his house at Rock Creek Lake. And... his wife Helen is a wonderful person, and was a wonderful hostess, and I remember... she fed us in- I don't know, maybe fifteen, twenty of us, and I remember just sitting.... y'know sitting, enjoying the meal, enjoying the- the graciousness and hospitality and looking at Rock Creek Lake in late November... And I remember thinking to myself, you know, ""I'm gonna get through this."""	
grinnell:23363	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/pending-review/grinnell_23363_MODS.log	10	grinnell:pending-review			https://digital.grinnell.edu/islandora/object/grinnell:23363			Marisol Flores-Henderson '97		Flores-Henderson, Marisol '97 ~ creator | Doehr, Ben '15 ~ interviewer | McFate, Mackenzie '18 ~ transcriber | Maly, Nancy '61 ~ reviewer		Alumni oral history interview with Marisol Flores-Henderson '97. Recorded May 31, 2013.	1997			May 31, 2013	Grinnell College													Digital Grinnell ~ host	sound recording-nonmusical	interview	12 minutes 53 seconds		video/mpeg	born digital		English ~ eng	grinnell:23363	http://hdl.handle.net/11084/23363			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99	Flores-Henderson, Marisol '97	"I felt that my professors really served as a mentor to me. I was part of the New Science Project, where we actually- I'm not sure if they still have that today- but we were actually brought on campus a week before everyone's orientation, and it was targeting, like, first-generation students of color.
 And there, I got a chance to meet with some of our professors one-on-one, and.... I felt really connected. So when everyone else showed up, like, it was amazing to have that professor to turn to, and that's the other thing I really cherish about Grinnell, that the professors really reach out to you."	
grinnell:23364	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/pending-review/grinnell_23364_MODS.log	11	grinnell:pending-review			https://digital.grinnell.edu/islandora/object/grinnell:23364			Mike Zabel '03		Zabel, Mike '03 ~ creator | Doehr, Ben '15 ~ interviewer | Barroso, Helen '15 ~ transcriber | Thornton, Jack '17 ~ reviewer | McFate, Mackenzie '18 ~ reviewer | Maly, Nancy '61 ~ reviewer		Alumni oral history interview with Mike Zabel '03. Recorded June 1, 2013.	2003			June 1, 2013	Grinnell College													Digital Grinnell ~ host	sound recording-nonmusical	interview	11 minutes 14 seconds		video/mpeg	born digital		English ~ eng	grinnell:23364	http://hdl.handle.net/11084/23364			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99	Zabel, Mike '03	There is a computer lab in the top of... What's the Anthro building? Goodnow? -which is where I would primarily spend my time. I found it my first semester when I was taking Intro to Anthropology, and there was barely ever anyone there. The computers seemed to work relatively well, which was a problem in some other places, so that’s where I did a lot of my work. And then just the little... cubbyholes in Burling: those are classic, so-- whether you’re goin' there to take a nap or get some actual work done.	
grinnell:23365	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/pending-review/grinnell_23365_MODS.log	12	grinnell:pending-review			https://digital.grinnell.edu/islandora/object/grinnell:23365			Matt Horstman '99		Horstman, Matt '99 ~ creator | Vincent, Kathryn '13 ~ interviewer | McFate, Mackenzie '18 ~ transcriber | Maly, Nancy '61 ~ reviewer		Alumni oral history interview with Matt Horstman '99. Recorded June 2, 2013.	1999			June 2, 2013	Grinnell College													Digital Grinnell ~ host	sound recording-nonmusical	interview	26 minutes 43 seconds		video/mpeg	born digital		English ~ eng	grinnell:23365	http://hdl.handle.net/11084/23365			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99	Horstman, Matt '99	I thought I might come and talk about Burling, which I think is something that is near and dear to a lot of people. I've heard from a lot of alums this weekend that Burling was one of their favorite places on campus, so... So I'm gonna say that was probably my favorite place on campus. I think it was the most consistent place in my life on campus, because, you know, you change dormitory rooms every year, so that's not- not a consistent place, but Burling was consistent for me.	
grinnell:23366	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/pending-review/grinnell_23366_MODS.log	13	grinnell:pending-review			https://digital.grinnell.edu/islandora/object/grinnell:23366			Nancy Wagner '79		Wagner, Nancy '79 ~ creator | Collins, Willa '16 ~ interviewer | McFate, Mackenzie '18 ~ transcriber | Maly, Nancy '61 ~ reviewer		Alumni oral history interview with Nancy Wagner '79. Recorded June 2, 2013.	1979			June 2, 2013	Grinnell College													Digital Grinnell ~ host	sound recording-nonmusical	interview	7 minutes 49 seconds		video/mpeg	born digital		English ~ eng	grinnell:23366	http://hdl.handle.net/11084/23366			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99	Wagner, Nancy '79	"The bathrooms back then- okay, we were very creative. There was one bathroom on a floor, so sometimes there was a dial that went 'Men', 'Women', 'Don't Care', and then of course, in true Grinnell spirit, people would add things to the dial. Okay? 'Dogs', okay, 'Beast', everything. There was one bathroom. Everybody used it. It wasn't a big deal. So- and when people talked about, you know, at other schools, ""Oh, there're men on this floor and women on this floor,"" I'm like, ""Whu-oh."" You know, Grinnell is way, way past that."	
