PID	WORKSPACE	Import_Index	PARENT	CMODEL	SEQUENCE	OBJ	TRANSCRPT	THUMBNAIL	Title	Alternative_Titles	Personal_Names~Roles	Corporate_Names~Roles	Abstract	Index_Date	Date_Issued	Date_Captured	Other_Date~Display_Label	Publisher	Place_Of_Publication	Public_Notes~Types	Notes~Display_Label	Dates_as_Notes~Display_Label	Citations	Table_of_Contents	LCSH_Subjects	Subjects_Names~Types	Subjects_Geographic	Subjects_Temporal	Keywords	Coordinate	Related_Items~Types	Type_of_Resource~AuthorityURI	Genre~AuthorityURI	Extent	Form~AuthorityURI	MIME_Type	Digital_Origin	Classifications~Authorities	Language_Names~Codes	Local_Identifier	Handle	Physical_Location	Shelf_Locator	Access_Condition	Import_Source	Primary_Sort	Hidden_Creator	Pull_Quotes	Private_Notes~Types
grinnell:10090	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/phpp-community/grinnell_10090_MODS.log	1	grinnell:phpp-community	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10090			5th & Park				Photograph of the house at the NW corner of 5th Ave. & Park St. The brick house was probably built in the late 1850s by H. G. Little.  The house was later purchased by a group of Grinnell College trustees to serve as the college president's home.  H.G. Little built his new home at 1127 Park Street. That house is no longer standing.					Grinnell College											Grinnell | Grant | Family Life | 1890s		Digital Grinnell ~ host | John Kleinschmidt Collection ~ host | Poweshiek History Preservation Project ~ host	still image					reformated digital	MS01.39 Ser. 3 Box 1 ~ ddc	English ~ eng	grinnell:10090	http://hdl.handle.net/11084/10090			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10094	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/phpp-community/grinnell_10094_MODS.log	2	grinnell:phpp-community	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10094			6th and West (NW Corner)				Photographs of the house just west of the northwest corner of 6th and West St. The City Directory of 1878 has Mrs. A.J. Hamlin at this address. She is also listed in the 1894-95 City Directory.  Changes to the original building included cutting off the SE corner bay window and making a picture window, adding a wraparound veranda with pediment and enclosing the former bay window. The roof was raised and peaked to provide an attic with window.  One photo (B) is early, before the changes, and the other (A) shows the later modifications.					Grinnell College											Grinnell | Grant | Family Life | 1890s		Digital Grinnell ~ host | John Kleinschmidt Collection ~ host | Poweshiek History Preservation Project ~ host	Photograph				image/tiff	reformated digital	MS 01.39 Ser. 3 Box 1A ~ ddc	English ~ eng	grinnell:10094	http://hdl.handle.net/11084/10094			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10096	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/phpp-community/grinnell_10096_MODS.log	3	grinnell:phpp-community	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10096			1807 Fourth Avenue				Photograph of the house at 1807 Fourth Ave.  Originally owned by Luke Newton Sherman.  Built in 1883 and first occupied on New Year's Day, 1884. Later owned by Kathy and Dan Tindall.					Grinnell College											Grinnell | Grant | Family Life | 1900s		Digital Grinnell ~ host | John Kleinschmidt Collection ~ host | Poweshiek History Preservation Project ~ host	Photograph				image/tiff	reformated digital	MS 01.39 Ser. 3 Box 1A ~ ddc	English ~ eng	grinnell:10096	http://hdl.handle.net/11084/10096			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10099	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/phpp-community/grinnell_10099_MODS.log	4	grinnell:phpp-community	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10099			1407 Sixth Avenue				"Photographs of the house at 1407 Sixth Avenue. Built in1868 for Mr. Hobart, a lumber man.  Hobart Street is named for him.  Hobart had been  a soldier in the 46th Infantry (100 days) and a local musician.  Other owners included the Clifton Family, Lois Clifton Meacham and her sister. Lois Meacham's grandmother (Clifton) took off the veranda, cupola, and cornices, replaced the original floor-length windows and added a front stoop and porch. 
The house now has a number of apartments.,"					Grinnell College											Grinnell | Grant | Family Life | 1900s		Digital Grinnell ~ host | John Kleinschmidt Collection ~ host | Poweshiek History Preservation Project ~ host	Photograph				image/tiff	reformated digital	MS 01.39 Ser. 3 Box 1A ~ ddc	English ~ eng	grinnell:10099	http://hdl.handle.net/11084/10099			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10100	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/phpp-community/grinnell_10100_MODS.log	5	grinnell:phpp-community	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10100			1407 Sixth Avenue				"Photographs of the house at 1407 Sixth Avenue. Built in1868 for Mr. Hobart, a lumber man.  Hobart Street is named for him.  Hobart had been  a soldier in the 46th Infantry (100 days) and a local musician.  Other owners included the Clifton Family, Lois Clifton Meacham and her sister. Lois Meacham's grandmother (Clifton) took off the veranda, cupola, and cornices, replaced the original floor-length windows and added a front stoop and porch. 
The house now has a number of apartments.,"					Grinnell College											Grinnell | Grant | Family Life | 1900s		Digital Grinnell ~ host | John Kleinschmidt Collection ~ host | Poweshiek History Preservation Project ~ host	Photograph				image/tiff	reformated digital	MS 01.39 Ser. 3 Box 1A ~ ddc	English ~ eng	grinnell:10100	http://hdl.handle.net/11084/10100			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10101	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/phpp-community/grinnell_10101_MODS.log	6	grinnell:phpp-community	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10101			1407 Sixth Avenue				"Photographs of the house at 1407 Sixth Avenue. Built in1868 for Mr. Hobart, a lumber man.  Hobart Street is named for him.  Hobart had been  a soldier in the 46th Infantry (100 days) and a local musician.  Other owners included the Clifton Family, Lois Clifton Meacham and her sister. Lois Meacham's grandmother (Clifton) took off the veranda, cupola, and cornices, replaced the original floor-length windows and added a front stoop and porch. 
The house now has a number of apartments.,"					Grinnell College											Grinnell | Grant | Family Life | 1900s		Digital Grinnell ~ host | John Kleinschmidt Collection ~ host | Poweshiek History Preservation Project ~ host	Photograph				image/tiff	reformated digital	MS 01.39 Ser. 3 Box 1A ~ ddc	English ~ eng	grinnell:10101	http://hdl.handle.net/11084/10101			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10102	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/phpp-community/grinnell_10102_MODS.log	7	grinnell:phpp-community	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10102			1407 Sixth Avenue				"Photographs of the house at 1407 Sixth Avenue. Built in1868 for Mr. Hobart, a lumber man.  Hobart Street is named for him.  Hobart had been  a soldier in the 46th Infantry (100 days) and a local musician.  Other owners included the Clifton Family, Lois Clifton Meacham and her sister. Lois Meacham's grandmother (Clifton) took off the veranda, cupola, and cornices, replaced the original floor-length windows and added a front stoop and porch. 
The house now has a number of apartments.,"					Grinnell College											Grinnell | Grant | Family Life | 1900s		Digital Grinnell ~ host | John Kleinschmidt Collection ~ host | Poweshiek History Preservation Project ~ host	Photograph				image/tiff	reformated digital	MS 01.39 Ser. 3 Box 1A ~ ddc	English ~ eng	grinnell:10102	http://hdl.handle.net/11084/10102			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10103	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/phpp-community/grinnell_10103_MODS.log	8	grinnell:phpp-community	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10103			1407 Sixth Avenue				"Photographs of the house at 1407 Sixth Avenue. Built in1868 for Mr. Hobart, a lumber man.  Hobart Street is named for him.  Hobart had been  a soldier in the 46th Infantry (100 days) and a local musician.  Other owners included the Clifton Family, Lois Clifton Meacham and her sister. Lois Meacham's grandmother (Clifton) took off the veranda, cupola, and cornices, replaced the original floor-length windows and added a front stoop and porch. 
The house now has a number of apartments.,"					Grinnell College											Grinnell | Grant | Family Life | 1900s		Digital Grinnell ~ host | John Kleinschmidt Collection ~ host | Poweshiek History Preservation Project ~ host	Photograph				image/tiff	reformated digital	MS 01.39 Ser. 3 Box 1A ~ ddc	English ~ eng	grinnell:10103	http://hdl.handle.net/11084/10103			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10104	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/phpp-community/grinnell_10104_MODS.log	9	grinnell:phpp-community	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10104			1407 Sixth Avenue				"Photographs of the house at 1407 Sixth Avenue. Built in1868 for Mr. Hobart, a lumber man.  Hobart Street is named for him.  Hobart had been  a soldier in the 46th Infantry (100 days) and a local musician.  Other owners included the Clifton Family, Lois Clifton Meacham and her sister. Lois Meacham's grandmother (Clifton) took off the veranda, cupola, and cornices, replaced the original floor-length windows and added a front stoop and porch. 
The house now has a number of apartments.,"					Grinnell College											Grinnell | Grant | Family Life | 1900s		Digital Grinnell ~ host | John Kleinschmidt Collection ~ host | Poweshiek History Preservation Project ~ host	Photograph				image/tiff	reformated digital	MS 01.39 Ser. 3 Box 1A ~ ddc	English ~ eng	grinnell:10104	http://hdl.handle.net/11084/10104			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10105	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/phpp-community/grinnell_10105_MODS.log	10	grinnell:phpp-community	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10105			531 Park									Grinnell College											Grinnell | Grant | Family Life | 1880s | 1990s		Digital Grinnell ~ host | John Kleinschmidt Collection ~ host | Poweshiek History Preservation Project ~ host	Photograph				image/tiff	reformated digital	MS 01.39 Ser. 3 Box 1A ~ ddc	English ~ eng	grinnell:10105	http://hdl.handle.net/11084/10105			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
