PID	WORKSPACE	Import_Index	PARENT	CMODEL	SEQUENCE	OBJ	TRANSCRPT	THUMBNAIL	Title	Alternative_Titles	Personal_Names~Roles	Corporate_Names~Roles	Abstract	Index_Date	Date_Issued	Date_Captured	Other_Date~Display_Label	Publisher	Place_Of_Publication	Public_Notes~Types	Notes~Display_Label	Dates_as_Notes~Display_Label	Citations	Table_of_Contents	LCSH_Subjects	Subjects_Names~Types	Subjects_Geographic	Subjects_Temporal	Keywords	Coordinate	Related_Items~Types	Type_of_Resource~AuthorityURI	Genre~AuthorityURI	Extent	Form~AuthorityURI	MIME_Type	Digital_Origin	Classifications~Authorities	Language_Names~Codes	Local_Identifier	Handle	Physical_Location	Shelf_Locator	Access_Condition	Import_Source	Primary_Sort	Hidden_Creator	Pull_Quotes	Private_Notes~Types
grinnell:10744	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/phpp-dcl/grinnell_10744_MODS.log	1	grinnell:phpp-dcl	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10744			Early Automobiles				"Postcard view of three early (1910s) automobiles, one a Ford and one an Oakland. The postcard was sent on June 12, 1911 from Mort(?) Powers of New Sharon, Iowa, to John Mincer of Grinnell, Iowa. The X under the automobile on the right probably identifies Mr. Powers. Photo was possibly taken in New Sharon.
Drake Community Library (Grinnell, Iowa) Archives. McNally photographs. Collection #1, Series #1-1."	1911				Poweshiek History Preservation Project							Ford automobile | Oakland automobile		New Sharon (Iowa)		1910s | Transportation		Digital Grinnell ~ host | Poweshiek History Preservation Project ~ host | Drake Community Library (Grinnell, Iowa) Archives ~ host	Image		1 sheet		image/tiff	digitized other analog		English ~ eng	grinnell:10744	http://hdl.handle.net/11084/10744			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10745	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/phpp-dcl/grinnell_10745_MODS.log	2	grinnell:phpp-dcl	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10745			Early Automobiles				"Postcard view of three early (1910s) automobiles, one a Ford and one an Oakland. The postcard was sent on June 12, 1911 from Mort(?) Powers of New Sharon, Iowa, to John Mincer of Grinnell, Iowa. The X under the automobile on the right probably identifies Mr. Powers. Photo was possibly taken in New Sharon.
Drake Community Library (Grinnell, Iowa) Archives. McNally photographs. Collection #1, Series #1-1."	1911				Poweshiek History Preservation Project							Ford automobile | Oakland automobile		New Sharon (Iowa)		1910s | Transportation		Digital Grinnell ~ host | Poweshiek History Preservation Project ~ host | Drake Community Library (Grinnell, Iowa) Archives ~ host	Image		1 sheet		image/tiff	digitized other analog		English ~ eng	grinnell:10745	http://hdl.handle.net/11084/10745			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10746	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/phpp-dcl/grinnell_10746_MODS.log	3	grinnell:phpp-dcl	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10746			Stewart Public Library, Grinnell, Iowa				"Postcard invitation to the 75th anniversary celebration of Stewart Library, Grinnell, Iowa, on May 15, 1977. Early image of Stewart Library on the front, invitation on the verso. The open house included a special art showing by Lloyd Herfindahl, original works of children's illustrators, and music by the Mirecourt Trio.
Drake Community Library (Grinnell, Iowa) Archives. McNally photographs. Collection #1, Series #1-1."	1977				Poweshiek History Preservation Project							Stewart Library (Grinnell, Iowa)		Grinnell (Iowa)		Events & Celebrations | Grinnell | Organizations | 1970s		Digital Grinnell ~ host | Poweshiek History Preservation Project ~ host | Drake Community Library (Grinnell, Iowa) Archives ~ host	still image		1 sheet		image/tiff	digitized other analog		English ~ eng	grinnell:10746	http://hdl.handle.net/11084/10746			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10747	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/phpp-dcl/grinnell_10747_MODS.log	4	grinnell:phpp-dcl	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10747			Stewart Public Library, Grinnell, Iowa				"Postcard invitation to the 75th anniversary celebration of Stewart Library, Grinnell, Iowa, on May 15, 1977. Early image of Stewart Library on the front, invitation on the verso. The open house included a special art showing by Lloyd Herfindahl, original works of children's illustrators, and music by the Mirecourt Trio.
Drake Community Library (Grinnell, Iowa) Archives. McNally photographs. Collection #1, Series #1-1."	1977				Poweshiek History Preservation Project							Stewart Library (Grinnell, Iowa)		Grinnell (Iowa)		Events & Celebrations | Grinnell | Organizations | 1970s		Digital Grinnell ~ host | Poweshiek History Preservation Project ~ host | Drake Community Library (Grinnell, Iowa) Archives ~ host	still image		1 sheet		image/tiff	digitized other analog		English ~ eng	grinnell:10747	http://hdl.handle.net/11084/10747			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10748	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/phpp-dcl/grinnell_10748_MODS.log	5	grinnell:phpp-dcl	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10748			Broad Street, Grinnell, Iowa				"Postcard view looking northwest from Central Park at the 800 block of Broad Street in Grinnell, Iowa. Card is addressed to Miss Nora Murphy, Grinnell, Iowa, and postmarked September 24, 1909, Grinnell, Iowa.
Drake Community Library (Grinnell, Iowa) Archives. McNally photographs. Collection #1, Series #1-1."	1909				Poweshiek History Preservation Project							Central business districts		Grinnell (Iowa)		1900s | Grinnell | Business		Digital Grinnell ~ host | Poweshiek History Preservation Project ~ host | Drake Community Library (Grinnell, Iowa) Archives ~ host	Image		1 sheet		image/tiff	digitized other analog		English ~ eng	grinnell:10748	http://hdl.handle.net/11084/10748			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10749	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/phpp-dcl/grinnell_10749_MODS.log	6	grinnell:phpp-dcl	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10749			Broad Street, Grinnell, Iowa				"Postcard view looking northwest from Central Park at the 800 block of Broad Street in Grinnell, Iowa. Card is addressed to Miss Nora Murphy, Grinnell, Iowa, and postmarked September 24, 1909, Grinnell, Iowa.
Drake Community Library (Grinnell, Iowa) Archives. McNally photographs. Collection #1, Series #1-1."	1909				Poweshiek History Preservation Project							Central business districts		Grinnell (Iowa)		1900s | Grinnell | Business		Digital Grinnell ~ host | Poweshiek History Preservation Project ~ host | Drake Community Library (Grinnell, Iowa) Archives ~ host	Image		1 sheet		image/tiff	digitized other analog		English ~ eng	grinnell:10749	http://hdl.handle.net/11084/10749			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10750	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/phpp-dcl/grinnell_10750_MODS.log	7	grinnell:phpp-dcl	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10750			900 Block of Broad Street				View of a parade(?) in the 900 block of Broad Street about 1907. Norris Feed is in the background. Horses in the street are pulling an elaborate wagon.  Drake Community Library (Grinnell, Iowa) Archives. McNally photographs. Collection #1, Series #1-1.	1907				Poweshiek History Preservation Project							Parades | Central business districts		Grinnell (Iowa)		1900s | Grinnell | Business		Digital Grinnell ~ host | Poweshiek History Preservation Project ~ host | Drake Community Library (Grinnell, Iowa) Archives ~ host	Image		1 sheet		image/tiff	digitized other analog		English ~ eng	grinnell:10750	http://hdl.handle.net/11084/10750			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10751	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/phpp-dcl/grinnell_10751_MODS.log	8	grinnell:phpp-dcl	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10751			900 Block of Broad Street				View of a parade(?) in the 900 block of Broad Street about 1907. Norris Feed is in the background. Horses in the street are pulling an elaborate wagon.  Drake Community Library (Grinnell, Iowa) Archives. McNally photographs. Collection #1, Series #1-1.	1907				Poweshiek History Preservation Project							Parades | Central business districts		Grinnell (Iowa)		1900s | Grinnell | Business		Digital Grinnell ~ host | Poweshiek History Preservation Project ~ host | Drake Community Library (Grinnell, Iowa) Archives ~ host	Image		1 sheet		image/tiff	digitized other analog		English ~ eng	grinnell:10751	http://hdl.handle.net/11084/10751			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10752	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/phpp-dcl/grinnell_10752_MODS.log	9	grinnell:phpp-dcl	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10752			Main Street, Grinnell, Iowa			Jon T. Faber Publisher ~ author	Postcard view of the east side of Main Street in Grinnell, Iowa, looking north from 4th Avenue. Card is addressed to Mrs. Jennie C. Davis, Searsboro, Iowa, and is postmarked June 11, 1908. Postcard published by Jon T. Faber, Milwaukee, Wisconsin. Drake Community Library (Grinnell, Iowa) Archives. McNally photographs. Collection #1, Series #1-1.	1908				Poweshiek History Preservation Project							Central business districts		Grinnell (Iowa)		1900s | Grinnell | Business		Digital Grinnell ~ host | Poweshiek History Preservation Project ~ host | Drake Community Library (Grinnell, Iowa) Archives ~ host	Image		1 sheet		image/tiff	digitized other analog		English ~ eng	grinnell:10752	http://hdl.handle.net/11084/10752			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10753	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/phpp-dcl/grinnell_10753_MODS.log	10	grinnell:phpp-dcl	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10753			Main Street, Grinnell, Iowa			Jon T. Faber Publisher ~ author	Postcard view of the east side of Main Street in Grinnell, Iowa, looking north from 4th Avenue. Card is addressed to Mrs. Jennie C. Davis, Searsboro, Iowa, and is postmarked June 11, 1908. Postcard published by Jon T. Faber, Milwaukee, Wisconsin. Drake Community Library (Grinnell, Iowa) Archives. McNally photographs. Collection #1, Series #1-1.	1908				Poweshiek History Preservation Project							Central business districts		Grinnell (Iowa)		1900s | Grinnell | Business		Digital Grinnell ~ host | Poweshiek History Preservation Project ~ host | Drake Community Library (Grinnell, Iowa) Archives ~ host	Image		1 sheet		image/tiff	digitized other analog		English ~ eng	grinnell:10753	http://hdl.handle.net/11084/10753			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
