PID	WORKSPACE	Import_Index	PARENT	CMODEL	SEQUENCE	OBJ	TRANSCRPT	THUMBNAIL	Title	Alternative_Titles	Personal_Names~Roles	Corporate_Names~Roles	Abstract	Index_Date	Date_Issued	Date_Captured	Other_Date~Display_Label	Publisher	Place_Of_Publication	Public_Notes~Types	Notes~Display_Label	Dates_as_Notes~Display_Label	Citations	Table_of_Contents	LCSH_Subjects	Subjects_Names~Types	Subjects_Geographic	Subjects_Temporal	Keywords	Coordinate	Related_Items~Types	Type_of_Resource~AuthorityURI	Genre~AuthorityURI	Extent	Form~AuthorityURI	MIME_Type	Digital_Origin	Classifications~Authorities	Language_Names~Codes	Local_Identifier	Handle	Physical_Location	Shelf_Locator	Access_Condition	Import_Source	Primary_Sort	Hidden_Creator	Pull_Quotes	Private_Notes~Types
grinnell:21716	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/phpp-ghm/grinnell_21716_MODS.log	1	grinnell:phpp-ghm			https://digital.grinnell.edu/islandora/object/grinnell:21716			Wesley Cratty 1896-1950			Ikenberry (Newton, Iowa) ~ creator	Wesley Cratty, age about 4. Wesley's blond hair is styled with large curls at the top of his head and at the nape of his neck. He is wearing a dark suit with a very wide, ruffled collar that covers his shoulders. A large bow is tied at his neck. Each sleeve is cuffed in white. His jacket is belted and there are three decorative buttons at the knee of his trousers. He wears high top boots. Studio portrait by Ikenberry Photographer, Newton, Iowa, The photograph has been pasted to a cardboard frame bearing the photographers name and location.	1890				Poweshiek History Preservation Project		Grinnell Historical Museum (Grinnell, Iowa) Archives ~ provenance history					Cratty, Wesley 1896 - 1950 | Children | Children's Clothing | Grinnell Historical Museum		Newton (Iowa)		1890s | 1900s | 1910s | Family Life | Grinnell		Digital Grinnell ~ host | Poweshiek History Preservation Project ~ host | Grinnell Historical Museum ~ host	still image	Photograph	1 photograph, black and white, 2x4 inches		image/tiff	digitized other analog			grinnell:21716	http://hdl.handle.net/11084/21716			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).	https://docs.google.com/spreadsheets/d/1w0VI9dKktvcSYbh1FZ-eV-rCPqJD-XgX3v79YoxP0Eg/edit?ts=5b7c625d#gid=203173766	99			
grinnell:21717	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/phpp-ghm/grinnell_21717_MODS.log	2	grinnell:phpp-ghm			https://digital.grinnell.edu/islandora/object/grinnell:21717			George Hamlin Home, 619 Sixth Avenue			Fowler View Co. (Davenport, Iowa) ~ creator	George Hamlin home at 619 Sixth Avenue, Grinnell, Iowa in 1892. Niece Emma Beebe, about age 12 is shown with her bicycle in front of the house. This house was rebuilt after the cyclone of 1882, where the Hamlin family had lived on the northwest corner of 6th. Avenue and West Street since 1854.	1892				Poweshiek History Preservation Project		Grinnell Historical Museum (Grinnell, Iowa) Archives ~ provenance history					Hamlin, George (1855-1945) | Beebe, Emma (1880-1959) | Dwellings | Bicycles | Grinnell Historical Museum		Grinnell (Iowa)		1890s | Grinnell | Family Life		Digital Grinnell ~ host | Poweshiek History Preservation Project ~ host | Grinnell Historical Museum ~ host	still image	Photograph	1 photograph, black and white, 5x7 inches		image/tiff	digitized other analog			grinnell:21717	http://hdl.handle.net/11084/21717			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).	https://docs.google.com/spreadsheets/d/1w0VI9dKktvcSYbh1FZ-eV-rCPqJD-XgX3v79YoxP0Eg/edit?ts=5b7c625d#gid=203173766	99			
grinnell:21718	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/phpp-ghm/grinnell_21718_MODS.log	3	grinnell:phpp-ghm			https://digital.grinnell.edu/islandora/object/grinnell:21718			Grinnell Herald Staff circa 1878			Charles L. Walker (Grinnell, Iowa) ~ creator	"Grinnell Herald Staff c. 1879-1881. Individuals are named on the back of the photograph: Front Row seated Man?, Mrs. Sue Day (1847-1888), Bonnie Bonsall (Mrs. G. H. Hamlin, 1856-1936), S. A. Cravath - Editor, Miss Hostetter (Alice 1849-1912, probably Mary Alice). Back row left to right 1.?, 2. Will Day printer, 3. ?. Note on the photo - One of above men might be Harry D (unreadable) or Albert Shaw. Both worked in the Herald at same time as my aunt Mrs. Geo. Hamlin. Signed Emma Beebe. Albert Shaw was part owner of the Herald with S. A. Cravath from 1879-1883. Elizabeth ""Bonnie"" Bonsall Hamlin was a niece of S. A. Cravath."	1878			before 1882 ~ Date Issued	Poweshiek History Preservation Project		Grinnell Historical Museum (Grinnell, Iowa) Archives ~ provenance history					Grinnell Herald | Newspapers | Grinnell, Iowa | S. A. Cravath | Will Day | Bonnie Bonsall (Elizabeth Bonsall Hamlin), 1856-1936 | Grinnell Historical Museum		Grinnell (Iowa)		1870s | Business | Grinnell		Digital Grinnell ~ host | Poweshiek History Preservation Project ~ host | Grinnell Historical Museum ~ host	still image	Photograph	1 photograph, black and white, 3x5 inches		image/tiff	digitized other analog			grinnell:21718	http://hdl.handle.net/11084/21718			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).	https://docs.google.com/spreadsheets/d/1w0VI9dKktvcSYbh1FZ-eV-rCPqJD-XgX3v79YoxP0Eg/edit?ts=5b7c625d#gid=203173766	99			
grinnell:21719	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/phpp-ghm/grinnell_21719_MODS.log	4	grinnell:phpp-ghm			https://digital.grinnell.edu/islandora/object/grinnell:21719			Esther K. Woodruff			Kester, John W. ~ creator	"Esther K. Woodruff, in her teens. Esther wears a bow in her hair, a star-patterned blouse with three quarter length sleeves, and a knee-length skirt with vertical stripes. She also wears black tights and black shoes, each with a bow and a buckle. Esther stands behind a heavily decorated bike with her left arm resting on the seat. The background behind Esther displays a balcony in the left-hand side with draped curtains and a column on the right-hand side. This is a studio photograph taken by the Kester studio in 1903. The photograph is pasted on a cardboard frame with embossed decorations of a crown on the above and below the pasted photograph. On the back of the photograph is written ""Ester K. Woodruff. Fourth of July. 1903."""	1903	1903			Poweshiek History Preservation Project		Grinnell Historical Museum (Grinnell, Iowa) Archives ~ provenance history					Woodruff, Esther K. | Children | Children's clothing | Children's shoes | Holiday | Fourth of July | Grinnell Historical Museum				1900s | Family Life		Digital Grinnell ~ host | Poweshiek History Preservation Project ~ host | Grinnell Historical Museum ~ host	still image	Photograph	1 photograph, black and white, 5x4 inches		image/tiff	digitized other analog			grinnell:21719	http://hdl.handle.net/11084/21719			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).	https://docs.google.com/spreadsheets/d/1w0VI9dKktvcSYbh1FZ-eV-rCPqJD-XgX3v79YoxP0Eg/edit?ts=5b7c625d#gid=203173766	99			
grinnell:21720	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/phpp-ghm/grinnell_21720_MODS.log	5	grinnell:phpp-ghm			https://digital.grinnell.edu/islandora/object/grinnell:21720			Ralph L. Longley 1892-1980			Kester, John W. ~ creator	A portrait of a young Ralph L. Longley (1892-1900). Ralph was born in 1892, and this picture was taken on June 30th, 1894, when he was two years old. Ralph has short blonde hair with bangs and is wearing a long light-colored dress with a ruffled lace color. He is gazing at the camera and is standing on a fur rug. Directly behind him is a long, floral lace curtain, while further back is a table with several potted plants.	1894	1894			Poweshiek History Preservation Project		Grinnell Historical Museum (Grinnell, Iowa) Archives ~ provenance history					Baby clothing | Children | Grinnell, Iowa | Longley, Ralph 1892-1980 | Grinnell Historical Museum		Grinnell (Iowa)		1890s | Family Life | Grinnell		Digital Grinnell ~ host | Poweshiek History Preservation Project ~ host | Grinnell Historical Museum ~ host	still image	Photograph	1 photograph, black and white, 6x4 inches		image/tiff	digitized other analog			grinnell:21720	http://hdl.handle.net/11084/21720			Copyright to this work is held by the author(s) in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).	https://docs.google.com/spreadsheets/d/1w0VI9dKktvcSYbh1FZ-eV-rCPqJD-XgX3v79YoxP0Eg/edit?ts=5b7c625d#gid=203173766	99			
grinnell:21721	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/phpp-ghm/grinnell_21721_MODS.log	6	grinnell:phpp-ghm			https://digital.grinnell.edu/islandora/object/grinnell:21721			Minnie R. Sulser Parrott			Stonestreet, (Grinnell, Iowa) ~ creator	Bust portrait of Minnie (Wilhelmina) R. (Sulser) Parrott (1874-1957). She is 23 years old in this photograph. Minnie is wearing a formal, high-neck dress with a corsage, her hair is styled in a top knot. Could possibly be graduation or wedding photo.	1897	1897			Poweshiek History Preservation Project		Grinnell Historical Museum (Grinnell, Iowa) Archives ~ provenance history					Parrott, Minnie R. Sulser 1874-1957 | Clothing | Hairstyles | Grinnell Historical Museum		Grinnell (Iowa)		1890s | Grinnell		Digital Grinnell ~ host | Poweshiek History Preservation Project ~ host | Grinnell Historical Museum ~ host	still image	Photograph	1 photograph, sepia, 4x3 inches		image/tiff	digitized other analog			grinnell:21721	http://hdl.handle.net/11084/21721			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).	https://docs.google.com/spreadsheets/d/1w0VI9dKktvcSYbh1FZ-eV-rCPqJD-XgX3v79YoxP0Eg/edit?ts=5b7c625d#gid=203173766	99			
grinnell:21722	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/phpp-ghm/grinnell_21722_MODS.log	7	grinnell:phpp-ghm			https://digital.grinnell.edu/islandora/object/grinnell:21722			Pauline Tarrell Wheeler 1896-1970				Photo of Pauline Tarrell Wheeler taken in Small's Jewelry Store, 12/7/1956. Pauline was born on May 2, 1896 in Poweshiek County and died on February 7, 1970 at Grinnell General Hospital. Small's Jewelry Store was located at 909 Broad Street. There seems to be a nice selection of jewelry and she appears to be a satisfied customer	1956	December 7, 1956			Poweshiek History Preservation Project		Grinnell Historical Museum (Grinnell, Iowa) Archives ~ provenance history					Wheeler, Pauline Tarrell 1896 - 1970 | Jewelry stores | Grinnell, Iowa | 1950s | Grinnell Historical Museum		Small's Jewelry Store, Grinnell (Iowa)		1950s | Grinnell | Business		Digital Grinnell ~ host | Poweshiek History Preservation Project ~ host | Grinnell Historical Museum ~ host	still image	Photograph	1 photograph, black and white, 3x4 inches		image/tiff	digitized other analog			grinnell:21722	http://hdl.handle.net/11084/21722			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).	https://docs.google.com/spreadsheets/d/1w0VI9dKktvcSYbh1FZ-eV-rCPqJD-XgX3v79YoxP0Eg/edit?ts=5b7c625d#gid=203173766	99			
grinnell:21723	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/phpp-ghm/grinnell_21723_MODS.log	8	grinnell:phpp-ghm			https://digital.grinnell.edu/islandora/object/grinnell:21723			Horatio Perry in his ninety-ninth year			Charles L. Walker (Grinnell, Iowa) ~ creator	Bust portrait of Horatio Perry (circa 1800-1901) taken in his 99th year. Mr. Perry was the father of Amelia Hamlin (1827-1885) wife of Homer Hamlin, one of the founders of Grinnell, Iowa. Emma Beebe, the donor of the photograph, was his great granddaughter.	1895				Poweshiek History Preservation Project		Grinnell Historical Museum (Grinnell, Iowa) Archives ~ provenance history					Perry, Horatio, circa 1800-1901 | older men | Grinnell Historical Museum		Wellington (Ohio)		1890s | Family Life		Digital Grinnell ~ host | Poweshiek History Preservation Project ~ host | Grinnell Historical Museum ~ host	still image	Photograph	1 photograph, sepia, 5x4 inches		image/tiff	digitized other analog			grinnell:21723	http://hdl.handle.net/11084/21723			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).	https://docs.google.com/spreadsheets/d/1w0VI9dKktvcSYbh1FZ-eV-rCPqJD-XgX3v79YoxP0Eg/edit?ts=5b7c625d#gid=203173766	99			
grinnell:21724	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/phpp-ghm/grinnell_21724_MODS.log	9	grinnell:phpp-ghm			https://digital.grinnell.edu/islandora/object/grinnell:21724			Mrs. Levi Marsh (Edith Hall) 1815-1903				Photo of Mrs. Levi (Edith Hall) Marsh, bust of elderly woman with hairnet tied in a bow under her chin and lace collar over dress. Edith Hall was born in Springfield, Vermont on June 15,1815 and died in Grinnell, Iowa on April 15, 1903. Her husband was Levi Hazan Marsh; she was his second wife.	1890				Poweshiek History Preservation Project		Grinnell Historical Museum (Grinnell, Iowa) Archives ~ provenance history					Marsh, Mrs. Levi (Edith Hall) 1815-1903 | Women's Clothing | Grinnell Historical Museum				1890s | Grinnell		Digital Grinnell ~ host | Poweshiek History Preservation Project ~ host | Grinnell Historical Museum ~ host	still image	Photograph	1 photograph, sepia, 6x4 inches		image/tiff	digitized other analog			grinnell:21724	http://hdl.handle.net/11084/21724			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).	https://docs.google.com/spreadsheets/d/1w0VI9dKktvcSYbh1FZ-eV-rCPqJD-XgX3v79YoxP0Eg/edit?ts=5b7c625d#gid=203173766	99			
grinnell:21725	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/phpp-ghm/grinnell_21725_MODS.log	10	grinnell:phpp-ghm			https://digital.grinnell.edu/islandora/object/grinnell:21725			Margaret Amanda Pepoon 1869-1924			Felt (Chicago, Illinois) ~ creator	Margaret Amanda Pepoon in nurses training school. She is shown in her uniform, reading a thermometer and holding a stethoscope in her left hand. She graduated from Grinnell College in 1894 and moved to California in 1904. The photograph is showing its age and spotty condition.	1897				Poweshiek History Preservation Project		Grinnell Historical Museum (Grinnell, Iowa) Archives ~ provenance history					Pepoon, Margaret A. 1869 - 1924 | First World War (1914-1918) | Nursing--Study and teaching		Chicago (Illinois)		Macy & Doughty (Norfolk, Nebraska)		Digital Grinnell ~ host | Poweshiek History Preservation Project ~ host | Grinnell Historical Museum ~ host	still image	Photograph	1 photograph, black and white, 4x3 inches		image/tiff	digitized other analog			grinnell:21725	http://hdl.handle.net/11084/21725			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).	https://docs.google.com/spreadsheets/d/1w0VI9dKktvcSYbh1FZ-eV-rCPqJD-XgX3v79YoxP0Eg/edit?ts=5b7c625d#gid=203173766	99			
