PID	WORKSPACE	Import_Index	PARENT	CMODEL	SEQUENCE	OBJ	TRANSCRPT	THUMBNAIL	Title	Alternative_Titles	Personal_Names~Roles	Corporate_Names~Roles	Abstract	Index_Date	Date_Issued	Date_Captured	Other_Date~Display_Label	Publisher	Place_Of_Publication	Public_Notes~Types	Notes~Display_Label	Dates_as_Notes~Display_Label	Citations	Table_of_Contents	LCSH_Subjects	Subjects_Names~Types	Subjects_Geographic	Subjects_Temporal	Keywords	Coordinate	Related_Items~Types	Type_of_Resource~AuthorityURI	Genre~AuthorityURI	Extent	Form~AuthorityURI	MIME_Type	Digital_Origin	Classifications~Authorities	Language_Names~Codes	Local_Identifier	Handle	Physical_Location	Shelf_Locator	Access_Condition	Import_Source	Primary_Sort	Hidden_Creator	Pull_Quotes	Private_Notes~Types
grinnell:19501	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/phpp-oral-history/grinnell_19501_MODS.log	1	grinnell:phpp-oral-history			https://digital.grinnell.edu/islandora/object/grinnell:19501			Don Smith Interview		Smith, Don ~ interviewee | Hunter, Judy ~ interviewer		This is an oral history interview of Mr. Don Smith, Professor Emeritus of History at Grinnell College.  The interview, conducted by Ms. Judy Hunter, recalls many of Don's memories regarding the Democratic party and the political climate in Poweshiek County, Iowa, from 1970 to 2013.	2013				Grinnell College									Poweshiek County (Iowa)				Poweshiek History Preservation Project ~ host | Digital Grinnell ~ host	sound recording-nonmusical	thesis	57 minutes 45 seconds		video/mpeg	born digital		English ~ eng	grinnell:19501	http://hdl.handle.net/11084/19501			Copyright to this work is held by the author(s), in accordance with United  States copyright law (USC 17). Readers of this work have certain rights as defined by            the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:23040	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/phpp-oral-history/grinnell_23040_MODS.log	2	grinnell:phpp-oral-history			https://digital.grinnell.edu/islandora/object/grinnell:23040			Geoff Peak Interview		Peak, Geoff ~ interviewee | Hunter, Judy ~ interviewer | Breunig, Madeleine '20 ~ transcriber		This is an oral history interview of Mr. Geoff Peak, a prominent teacher in Poweshiek County school systems and graduate of Grinnell College. The interview, conducted by Ms. Judy Hunter, recalls many of Geoff's memories from his days in a one-room schoolhouse and as a middle school, high school, and alternative program instructor.	2014				Grinnell College									Poweshiek County (Iowa)				Digital Grinnell ~ host | Poweshiek History Preservation Project ~ host	sound recording-nonmusical	interview	47 minutes 20 seconds		video/mpeg	born digital		English ~ eng	grinnell:23040	http://hdl.handle.net/11084/23040			Copyright to this work is held by the author(s), in accordance with United            States copyright law (USC 17). Readers of this work have certain rights as defined by            the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:23298	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/phpp-oral-history/grinnell_23298_MODS.log	3	grinnell:phpp-oral-history			https://digital.grinnell.edu/islandora/object/grinnell:23298			Everett Armstrong Interview	Voices from the Past	Armstrong, Everett C., 1917-2000 ~ creator | Templeton, Jack Allen, 1924-2018 ~ interviewer | Davoux, Kay ~ transcriber | Dobbs, Brenda ~ transcriber | Breunig, Madeleine Louise, 1999- ~ transcriber		Born in Chester Township on January 3, 1917, Everett moved into the city of Grinnell in 1930, where he graduated from Grinnell High School in 1935. After returning from a tour of duty in World War II, he founded Armstrong Electric from which he retired in 1980. He represented the Fourth Ward on the City Council from 1949 to 1951. He and his wife, Phyllis, were the parents of a daughter and a son.	1992			March 19, 1992	Poweshiek History Preservation Project		Drake Community Library (Grinnell, Iowa) Archives ~ provenance history					Electricians | Depressions | World War (1939-1945)		Grinnell (Iowa)		Grinnell | Business | 1930s | 1940s | 1950s		Digital Grinnell ~ host | Poweshiek History Preservation Project ~ host | Drake Community Library (Grinnell, Iowa) Archives ~ host	sound recording-nonmusical	interview	1 hour, 10 minutes, 12 seconds		video/mpeg	digitized other analog		English ~ eng	grinnell:23298	http://hdl.handle.net/11084/23298			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).	https://docs.google.com/spreadsheets/d/1IXEFiTheakMZihQBmwH6RFOFYOe5Bs22-hChty4yoKE	99	Armstrong, Everett C., 1917-2000	We were a front line hospital. Sometimes we were ahead of the front line. In the Battle of the Bulge, we got ahead of the line.	
grinnell:23299	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/phpp-oral-history/grinnell_23299_MODS.log	4	grinnell:phpp-oral-history			https://digital.grinnell.edu/islandora/object/grinnell:23299			Margaret Arnold Interview	Voices from the Past	Arnold, Margaret P., 1906-1999 ~ creator | Moffett, Betty Ferguson ~ interviewer | Pustz, Jennifer ~ transcriber | Breunig, Madeleine Louise, 1999- ~ transcriber		The daughter of Dr. O.F. and Laura Parish, Margaret was born in Grinnell on June 14, 1906. She graduated from Grinnell College and taught fourth grade in Flint, Michigan, for a short time. She owned and operated Arnold's Shoe Store in Grinnell for 53 years and retired in 1989.	1992			February 25, 1992	Poweshiek History Preservation Project		Drake Community Library (Grinnell, Iowa) Archives ~ provenance history					Shoe stores | Depressions | World War (1939-1945)		Grinnell (Iowa)		Grinnell | Business | 1930s | 1940s | 1950s | 1960s		Digital Grinnell ~ host | Poweshiek History Preservation Project ~ host | Drake Community Library (Grinnell, Iowa) Archives ~ host	sound recording-nonmusical	interview	1 hour, 18 minutes, 31 seconds		video/mpeg	digitized other analog		English ~ eng	grinnell:23299	http://hdl.handle.net/11084/23299			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).	https://docs.google.com/spreadsheets/d/1IXEFiTheakMZihQBmwH6RFOFYOe5Bs22-hChty4yoKE	99	Arnold, Margaret P., 1906-1999	So my husband had left, and I had all these people to pay back. And I said, 'Well there's nothing else to do but do it.' So I did.	
grinnell:23300	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/phpp-oral-history/grinnell_23300_MODS.log	5	grinnell:phpp-oral-history			https://digital.grinnell.edu/islandora/object/grinnell:23300			Isadore Berman Interview	Voices from the Past	Berman, Isadore, 1924- ~ creator | George, James, Lloyd, 1917-2010 ~ interviewer | Pustz, Jennifer ~ transcriber | Breunig, Madeleine Louise, 1999- ~ transcriber		Isadore Berman was born February 22, 1924. He graduated from Grinnell High School in 1941, served in WW II, earned a BA from Grinnell College in 1949 and, later, an MBA from Columbia University. He is continuing in the family scrap metal business. He and his wife, Ida, have a son and a daughter.	1992			February 26, 1992	Poweshiek History Preservation Project		Drake Community Library (Grinnell, Iowa) Archives ~ provenance history					Scrap metal industry | Depressions | World War (1939-1945)		Grinnell (Iowa)		Grinnell | Business | 1930s | 1940s | 1950s | 1960s		Digital Grinnell ~ host | Poweshiek History Preservation Project ~ host | Drake Community Library (Grinnell, Iowa) Archives ~ host	sound recording-nonmusical	interview	1 hour, 13 minutes, 21 seconds		video/mpeg	digitized other analog		English ~ eng	grinnell:23300	http://hdl.handle.net/11084/23300			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).	https://docs.google.com/spreadsheets/d/1IXEFiTheakMZihQBmwH6RFOFYOe5Bs22-hChty4yoKE	99	Berman, Isadore, 1924-	I know during the Depression that we probably got seven, eight cents a pound for the copper. Why, in comparison to today's price of seventy to eighty cents a pound.	
grinnell:23301	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/phpp-oral-history/grinnell_23301_MODS.log	6	grinnell:phpp-oral-history			https://digital.grinnell.edu/islandora/object/grinnell:23301			Gene Breiting Interview	Voices from the Past	Breiting, Eugene R., 1913-1999 ~ creator | Templeton, Jack Allen, 1924-2018 ~ interviewer | Pustz, Jennifer ~ transcriber | Breunig, Madeleine Louise, 1999- ~ transcriber		A lifelong resident of Grinnell, Gene was born July 23, 1913. He graduated from Grinnell High School, and was drafted into service during Word War II in 1943. He worked at various jobs in Grinnell, and in Amana for eleven years. He and his wife, Doris, had a son and two daughters.	1992			March 18, 1992	Poweshiek History Preservation Project		Drake Community Library (Grinnell, Iowa) Archives ~ provenance history					Businessmen | Depressions | World War (1939-1945)		Grinnell (Iowa)		Grinnell | Business | 1930s | 1940s | 1950s | 1960s		Digital Grinnell ~ host | Poweshiek History Preservation Project ~ host | Drake Community Library (Grinnell, Iowa) Archives ~ host	sound recording-nonmusical	interview	2 hours, 4 minutes, 51 seconds		video/mpeg	digitized other analog		English ~ eng	grinnell:23301	http://hdl.handle.net/11084/23301			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).	https://docs.google.com/spreadsheets/d/1IXEFiTheakMZihQBmwH6RFOFYOe5Bs22-hChty4yoKE	99	Breiting, Eugene R., 1913-1999	Well, when I was very young, there was a lot of activity at Arbor Lake.	
grinnell:23302	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/phpp-oral-history/grinnell_23302_MODS.log	7	grinnell:phpp-oral-history			https://digital.grinnell.edu/islandora/object/grinnell:23302			Leo Flanagan Interview	Voices from the Past	Flanagan, Leo W., 1908-1999 ~ creator | George, James, Lloyd, 1917-2010 ~ interviewer | Wolfson, Jennifer ~ transcriber		Leo was born in Sully, Iowa, on January 19, 1908. He farmed, worked in service stations for 21 years, and in automobile sales and management for 20 years. He and his wife, Blanche, had three children.	1992			February 14, 1992	Poweshiek History Preservation Project		Drake Community Library (Grinnell, Iowa) Archives ~ provenance history					Selling -- Automobiles | Service stations | Depressions | World War (1939-1945)		Grinnell (Iowa)		Grinnell | Business | 1930s | 1940s | 1950s | 1960s		Digital Grinnell ~ host | Poweshiek History Preservation Project ~ host | Drake Community Library (Grinnell, Iowa) Archives ~ host	sound recording-nonmusical	interview	1 hour, 13 minutes, 40 seconds		video/mpeg	digitized other analog		English ~ eng	grinnell:23302	http://hdl.handle.net/11084/23302			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).	https://docs.google.com/spreadsheets/d/1IXEFiTheakMZihQBmwH6RFOFYOe5Bs22-hChty4yoKE	99	Flanagan, Leo W., 1908-1999	I'm real glad I'm a Grinnellian and I'm going to die a Grinnellian.	
grinnell:23303	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/phpp-oral-history/grinnell_23303_MODS.log	8	grinnell:phpp-oral-history			https://digital.grinnell.edu/islandora/object/grinnell:23303			Laura Wieman Interview	Voices from the Past	Wieman, Laura Wolcott Matlack, 1913-1997 ~ creator | Meacham, Lois M., 1922-2011 ~ interviewer | Gardner, Grey ~ transcriber		Laura, the daughter of Henry and Merta Matlack, was born in Grinnell on July 19, 1913 and lived in Grinnell until 1936. She returned to Grinnell in 1966 with her husband, Henry Wieman, to her family home. She received a BA from Grinnell College and an MFA from Southern Illinois University. She taught in public schools and at SIU. She was a skilled weaver.	1992			February 26, 1992	Poweshiek History Preservation Project		Drake Community Library (Grinnell, Iowa) Archives ~ provenance history					Women art teachers | Visual image curators | Women weavers | Depressions | World War (1939-1945)		Grinnell (Iowa)		Grinnell | Education | 1920s | 1960s | 1970s | 1980s		Digital Grinnell ~ host | Poweshiek History Preservation Project ~ host | Drake Community Library (Grinnell, Iowa) Archives ~ host	sound recording-nonmusical	interview	1 hour, 1 minute, 14 seconds		video/mpeg	digitized other analog		English ~ eng	grinnell:23303	http://hdl.handle.net/11084/23303			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).	https://docs.google.com/spreadsheets/d/1IXEFiTheakMZihQBmwH6RFOFYOe5Bs22-hChty4yoKE	99	Wieman, Laura Wolcott Matlack, 1913-1997	I was proud of my family, proud of my house, proud of my town, my college.	
grinnell:23304	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/phpp-oral-history/grinnell_23304_MODS.log	9	grinnell:phpp-oral-history			https://digital.grinnell.edu/islandora/object/grinnell:23304			Marian Dunham Interview	Voices from the Past	Dunham, Marian E., 1919-2008 ~ creator | Meacham, Lois M., 1922-2011 ~ interviewer | Huber, Rhonda ~ transcriber		Born February 10, 1919, two miles north of Grinnell, in a house which had been built by her grandfather, Marian was a relative of J.B.Grinnell for whom the town and college were named. A graduate of Grinnell College, she studied Library Science at the University of Denver. She was the Librarian at Stewart Public Library for 22 years and at the Des Moines Public Library for 19 years.	1992			March 12, 1992	Poweshiek History Preservation Project		Drake Community Library (Grinnell, Iowa) Archives ~ provenance history					Women librarians | Public librarians | Depressions | World War (1939-1945)		Grinnell (Iowa)		Grinnell | Organizations | 1930s | 1940s | 1950s		Digital Grinnell ~ host | Poweshiek History Preservation Project ~ host | Drake Community Library (Grinnell, Iowa) Archives ~ host	sound recording-nonmusical	interview	1 hour, 1 minute, 54 seconds		video/mpeg	digitized other analog		English ~ eng	grinnell:23304	http://hdl.handle.net/11084/23304			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).	https://docs.google.com/spreadsheets/d/1IXEFiTheakMZihQBmwH6RFOFYOe5Bs22-hChty4yoKE	99	Dunham, Marian E., 1919-2008	My mother was Harriett Grinnell Dunham. Her father was a double cousin of J. B. Grinnell, the founder of the town.	
grinnell:23305	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/phpp-oral-history/grinnell_23305_MODS.log	10	grinnell:phpp-oral-history			https://digital.grinnell.edu/islandora/object/grinnell:23305			Josephine Hartzell Interview	Voices from the Past	Hartzell, Josephine, 1902-2004 ~ creator | Moffett, Betty Ferguson ~ interviewer | Strovers, Marilyn ~ transcriber		A resident of the Grinnell area her entire life, Josephine was born on November 29, 1902. Until 1980 she worked on the family farm doing chores and taking care of animals. At that time she moved into town, where she enjoyed reading and sewing in her retirement.	1992			February 22, 1992	Poweshiek History Preservation Project		Drake Community Library (Grinnell, Iowa) Archives ~ provenance history					Women farmers | Depressions | World War (1939-1945)		Grinnell (Iowa)		Grinnell | Agriculture | 1930s | 1940s | 1950s | 1960s		Digital Grinnell ~ host | Poweshiek History Preservation Project ~ host | Drake Community Library (Grinnell, Iowa) Archives ~ host	sound recording-nonmusical	interview	1 hour, 30 minutes		video/mpeg	digitized other analog		English ~ eng	grinnell:23305	http://hdl.handle.net/11084/23305			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).	https://docs.google.com/spreadsheets/d/1IXEFiTheakMZihQBmwH6RFOFYOe5Bs22-hChty4yoKE	99	Hartzell, Josephine, 1902-2004	But most of the people were on this country line where you crank up a phone.	
