PID	WORKSPACE	Import_Index	PARENT	CMODEL	SEQUENCE	OBJ	TRANSCRPT	THUMBNAIL	Title	Alternative_Titles	Personal_Names~Roles	Corporate_Names~Roles	Abstract	Index_Date	Date_Issued	Date_Captured	Other_Date~Display_Label	Publisher	Place_Of_Publication	Public_Notes~Types	Notes~Display_Label	Dates_as_Notes~Display_Label	Citations	Table_of_Contents	LCSH_Subjects	Subjects_Names~Types	Subjects_Geographic	Subjects_Temporal	Keywords	Coordinate	Related_Items~Types	Type_of_Resource~AuthorityURI	Genre~AuthorityURI	Extent	Form~AuthorityURI	MIME_Type	Digital_Origin	Classifications~Authorities	Language_Names~Codes	Local_Identifier	Handle	Physical_Location	Shelf_Locator	Access_Condition	Import_Source	Primary_Sort	Hidden_Creator	Pull_Quotes	Private_Notes~Types
faulconer:art	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/recent-art-acquisitions/faulconer_art_6464_MODS.log	1	grinnell:recent-art-acquisitions			https://digital.grinnell.edu/islandora/object/faulconer:art			Muhammad Ali (Hands)		Karsh, Yousuf, 1908-2002 ~ creator			1970				Grinnell College		Marie-Louise and Samuel R. Rosenthal Fund ~ credits									American | Canadian		Digital Grinnell ~ host	still image		15 3/4 x 19 1/4 inches					English ~ eng	2016.015	http://hdl.handle.net/11084/faulconer-art:6464			Copyright to this work is held by the author(s), in accordance with United            States copyright law (USC 17). Readers of this work have certain rights as defined by            the law, including but not limited to fair use (17 USC 107 et seq.).		99			
faulconer:art	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/recent-art-acquisitions/faulconer_art_6467_MODS.log	2	grinnell:recent-art-acquisitions			https://digital.grinnell.edu/islandora/object/faulconer:art			Untitled, London, England		Parks, Gordon, 1912-2006 ~ creator		Muhammad Ali's hands	1966				Grinnell College		Marie-Louise and Samuel R. Rosenthal Fund ~ credits									American		Digital Grinnell ~ host	still image		16 x 20 inches					English ~ eng	2016.038	http://hdl.handle.net/11084/faulconer-art:6467			Copyright to this work is held by the author(s), in accordance with United            States copyright law (USC 17). Readers of this work have certain rights as defined by            the law, including but not limited to fair use (17 USC 107 et seq.).		99			
faulconer:art	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/recent-art-acquisitions/faulconer_art_6469_MODS.log	3	grinnell:recent-art-acquisitions			https://digital.grinnell.edu/islandora/object/faulconer:art			Lyrisches from Klange	Lyric from Sounds	Kandinsky, Vasily, 1866-1944 ~ creator			1913				Grinnell College		"Marie-Louise and Samuel R. Rosenthal Fund ~ credits | Cream laid van Gelder Zonen paper ~ support | Roethel 98, only state.
Published by R. Piper & Co., Munich; printed by F. Bruckmann A. G., Munich in an edition of 300 + 45 h.c., (this impression from an incomplete set signed and numbered on the frontispiece) ~ note"									Russian		Digital Grinnell ~ host	still image							English ~ eng	2016.027	http://hdl.handle.net/11084/faulconer-art:6469			Copyright to this work is held by the author(s), in accordance with United            States copyright law (USC 17). Readers of this work have certain rights as defined by            the law, including but not limited to fair use (17 USC 107 et seq.).		99			
faulconer:art	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/recent-art-acquisitions/faulconer_art_6470_MODS.log	4	grinnell:recent-art-acquisitions			https://digital.grinnell.edu/islandora/object/faulconer:art			Temple Gate		Lum, Bertha, 1869-1954 ~ creator			1912				Grinnell College		"Christopher McKee Purchase Fund, 
Bea `39 and Joe `40 Wall Art Endowment ~ credits | ""Copyright 1912 by Bertha Lum no. 10"" in graphite at bottom of image ~ signature"									American		Digital Grinnell ~ host	still image		254 x 127 mm	Woodcut printed in colors: black, light gray, dark gray green, brown, orange and yellow				English ~ eng	2016.026	http://hdl.handle.net/11084/faulconer-art:6470			Copyright to this work is held by the author(s), in accordance with United            States copyright law (USC 17). Readers of this work have certain rights as defined by            the law, including but not limited to fair use (17 USC 107 et seq.).		99			
faulconer:art	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/recent-art-acquisitions/faulconer_art_6472_MODS.log	5	grinnell:recent-art-acquisitions			https://digital.grinnell.edu/islandora/object/faulconer:art			Théåtre Italien from Le Miroir	Le Miroir	Delacroix, Eugène, 1798-1863 ~ creator		Rossini is caricatured elevating Garcia (as Othello); Mme. Mainville-Fodor (as Rosina in Barber of Seville); and Pellegrini (as Figaro in the Barber of Saville)	1821				Grinnell College		Clinton A. Rehling `39 Fund for Art Before 1900 ~ credits | Wove paper ~ support | Delteil 33; Nina Maria Athanassoglou-Kallmyer, Eugène Delacroix Prints, Politics and Satire 1814-1822, 1991, pp. 78, 86, 88, 89, 100, 112, 117, 119; illustration no.74. ~ citation/reference									French		Digital Grinnell ~ host	still image	periodical	201 x 140 mm	Lithograph				English ~ eng	2016.024	http://hdl.handle.net/11084/faulconer-art:6472			Copyright to this work is held by the author(s), in accordance with United            States copyright law (USC 17). Readers of this work have certain rights as defined by            the law, including but not limited to fair use (17 USC 107 et seq.).		99			
faulconer:art	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/recent-art-acquisitions/faulconer_art_6473_MODS.log	6	grinnell:recent-art-acquisitions			https://digital.grinnell.edu/islandora/object/faulconer:art			Éventail au Jugement de Pâris		Bosse, Abraham, 1604-1676 ~ creator			1637				Grinnell College		Marie-Louise and Samuel R. Rosenthal Fund ~ credits | Bunch of Grapes with proprietary countermark ~ watermark									French		Digital Grinnell ~ host	still image		172 x 530 mm, with uneven and made up margins	Etching				English ~ eng	2016.025	http://hdl.handle.net/11084/faulconer-art:6473			Copyright to this work is held by the author(s), in accordance with United            States copyright law (USC 17). Readers of this work have certain rights as defined by            the law, including but not limited to fair use (17 USC 107 et seq.).		99			
faulconer:art	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/recent-art-acquisitions/faulconer_art_6474_MODS.log	7	grinnell:recent-art-acquisitions			https://digital.grinnell.edu/islandora/object/faulconer:art			The Violin Player Seated in the Inn		Dusart, Cornelis, 1660-1704 ~ creator			1685				Grinnell College		Marie-Louise and Samuel R. Rosenthal Fund ~ credits | Hollstein VI.56.16.iii; Le Blanc III.423.14.iii; Wurzbach I.443.15.iii; Dutuit IV.134.15.iii; NH 15 III/III finished with the roulette work ~ citation/reference | Old pencil inscription: Holford 11 July 1893 ~ provenance | Ivory laid paper ~ support | Clock (c.f. Heawood 338, c.1680 ~ watermark | The pamphlet speaks of tulips and hyacinths and it contains the signature of the artist and the date of the work. It is not uncommon to see these kinds of pamphlets or lyrics on the wall in pictures of inns. ~ note									Dutch		Digital Grinnell ~ host	still image		280 x 250 mm	Etching with roulette				English ~ eng	2016.023	http://hdl.handle.net/11084/faulconer-art:6474			Copyright to this work is held by the author(s), in accordance with United            States copyright law (USC 17). Readers of this work have certain rights as defined by            the law, including but not limited to fair use (17 USC 107 et seq.).		99			
faulconer:art	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/recent-art-acquisitions/faulconer_art_6485_MODS.log	8	grinnell:recent-art-acquisitions			https://digital.grinnell.edu/islandora/object/faulconer:art			Separate the Body from the Machine		Sezen, Beldan, 1967 ~ creator			2015				Grinnell College		Purchased with funds from Nicholas Glass `87 and MJ Baumann ~ credits | Recycled BROOKLYN RAIL newspaper ~ support									German			still image	comic or graphic novel	350 x 280 x 25 mm					English ~ eng	2016.044	http://hdl.handle.net/11084/faulconer-art:6485			Copyright to this work is held by the author(s), in accordance with United            States copyright law (USC 17). Readers of this work have certain rights as defined by            the law, including but not limited to fair use (17 USC 107 et seq.).		99			
faulconer:art	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/recent-art-acquisitions/faulconer_art_6486_MODS.log	9	grinnell:recent-art-acquisitions			https://digital.grinnell.edu/islandora/object/faulconer:art			Substance of a Dream		Hammond, Valerie, 1952 ~ creator			2013				Grinnell College		Marie-Louise and Samuel R. Rosenthal Fund ~ credits									American		Digital Grinnell ~ host	still image	book	9 x 12 x 1 1/2 inches					English ~ eng	2016.028	http://hdl.handle.net/11084/faulconer-art:6486			Copyright to this work is held by the author(s), in accordance with United            States copyright law (USC 17). Readers of this work have certain rights as defined by            the law, including but not limited to fair use (17 USC 107 et seq.).		99			
faulconer:art	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/recent-art-acquisitions/faulconer_art_6489_MODS.log	10	grinnell:recent-art-acquisitions			https://digital.grinnell.edu/islandora/object/faulconer:art			Palabras de Arena	Words of Sand	Bernardi, Claudia ~ creator		Claudia Bernardi, who works in the fields of human rights and social justice, lends a voice to anonymous sufferers of political turmoil.	2013				Grinnell College		Marie-Louise and Samuel R. Rosenthal Fund ~ credits | In pencil, L. R. ~ signature									American, born Argentinia		Digital Grinnell ~ host	still image		24 x 18 inches					English ~ eng	2016.029	http://hdl.handle.net/11084/faulconer-art:6489			Copyright to this work is held by the author(s), in accordance with United            States copyright law (USC 17). Readers of this work have certain rights as defined by            the law, including but not limited to fair use (17 USC 107 et seq.).		99			
