PID	WORKSPACE	Import_Index	PARENT	CMODEL	SEQUENCE	OBJ	TRANSCRPT	THUMBNAIL	Title	Alternative_Titles	Personal_Names~Roles	Corporate_Names~Roles	Abstract	Index_Date	Date_Issued	Date_Captured	Other_Date~Display_Label	Publisher	Place_Of_Publication	Public_Notes~Types	Notes~Display_Label	Dates_as_Notes~Display_Label	Citations	Table_of_Contents	LCSH_Subjects	Subjects_Names~Types	Subjects_Geographic	Subjects_Temporal	Keywords	Coordinate	Related_Items~Types	Type_of_Resource~AuthorityURI	Genre~AuthorityURI	Extent	Form~AuthorityURI	MIME_Type	Digital_Origin	Classifications~Authorities	Language_Names~Codes	Local_Identifier	Handle	Physical_Location	Shelf_Locator	Access_Condition	Import_Source	Primary_Sort	Hidden_Creator	Pull_Quotes	Private_Notes~Types
grinnell:18334	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/social-gospel/grinnell_18334_MODS.log	1	grinnell:social-gospel			https://digital.grinnell.edu/islandora/object/grinnell:18334			Portrait of George D. Herron		Child Studio ~ creator	Iowa College (Grinnell, Iowa) ~ supporting host	Portrait of George D. Herron	1890			1890s										Grinnell (Iowa)	Eighteen nineties	Social gospel | Socialism | Christianity		Digital Grinnell ~ host | Social Gospel at Grinnell College ~ host | Grinnell College. Special Collections and Archives ~ host	still image	photograph			image/tiff	digitized other analog		English ~ eng	grinnell:18334	http://hdl.handle.net/11084/18334					99			
grinnell:18335	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/social-gospel/grinnell_18335_MODS.log	2	grinnell:social-gospel			https://digital.grinnell.edu/islandora/object/grinnell:18335			Portrait of George A. Gates		Unknown ~ creator	Iowa College (Grinnell, Iowa) ~ supporting host	Portrait of George A. Gates	1890			1890s										Grinnell (Iowa)	Eighteen nineties	Social gospel | Christianity | Education (Higher)		Digital Grinnell ~ host | Social Gospel at Grinnell College ~ host | Grinnell College. Special Collections and Archives ~ host	still image	photograph			image/tiff	digitized other analog		English ~ eng	grinnell:18335	http://hdl.handle.net/11084/18335					99			
grinnell:18336	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/social-gospel/grinnell_18336_MODS.log	3	grinnell:social-gospel			https://digital.grinnell.edu/islandora/object/grinnell:18336			Portrait of George A. Gates		Unknown ~ creator	Iowa College (Grinnell, Iowa) ~ supporting host	Portrait of George A. Gates	1890			1890s										Grinnell (Iowa)	Eighteen nineties	Social gospel | Christianity		Digital Grinnell ~ host | Social Gospel at Grinnell College ~ host | Grinnell College. Special Collections and Archives ~ host	still image	photograph			image/tiff	digitized other analog		English ~ eng	grinnell:18336	http://hdl.handle.net/11084/18336					99			
grinnell:18337	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/social-gospel/grinnell_18337_MODS.log	4	grinnell:social-gospel			https://digital.grinnell.edu/islandora/object/grinnell:18337			A Great Teacher of Politics		Shaw, Albert, 1857-1947 (Class of 1879) ~ creator	Iowa College (Grinnell, Iowa) ~ supporting host	Reflection on the contributions of Jesse Macy to the study of politics written on the occasion of his retirement from teaching.	1912													New York (N. Y.)	Nineteen tens	Politics and Government | Education (Higher) | Political Science		Digital Grinnell ~ host | Social Gospel at Grinnell College ~ host | Grinnell College. Special Collections and Archives ~ host	text	clipping			application/pdf	digitized other analog		English ~ eng	grinnell:18337	http://hdl.handle.net/11084/18337					99			
grinnell:18338	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/social-gospel/grinnell_18338_MODS.log	5	grinnell:social-gospel			https://digital.grinnell.edu/islandora/object/grinnell:18338			Photograph of Gershom Hill, Jesse Macy, and James L. Hill		Unknown ~ creator	Grinnell College ~ supporting host	Photograph of Gershom Hill, Jesse Macy, and James L. Hill	1900			Probably around the early 1900s ~ Date (Other)										Grinnell (Iowa)	Ninteen hundreds (Decade)	Social gospel | Social life and customs | Relations | Education (Higher) | Public meetings		Digital Grinnell ~ host | Social Gospel at Grinnell College ~ host | Grinnell College. Special Collections and Archives ~ host	still image	photograph			image/tiff	digitized other analog		English ~ eng	grinnell:18338	http://hdl.handle.net/11084/18338					99			
grinnell:18339	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/social-gospel/grinnell_18339_MODS.log	6	grinnell:social-gospel			https://digital.grinnell.edu/islandora/object/grinnell:18339			Portrait of Jesse Macy		Unknown ~ creator	Iowa College (Grinnell, Iowa) ~ supporting host	Portrait of Jesse Macy in later life	1900			Photograph was probably taken around 1900 ~ Date (Other)										Grinnell (Iowa)	Ninteen hundreds (Decade)	Social gospel | Education (Higher)		Digital Grinnell ~ host | Social Gospel at Grinnell College ~ host | Grinnell College. Special Collections and Archives ~ host	still image	photograph			image/tiff	digitized other analog		English ~ eng	grinnell:18339	http://hdl.handle.net/11084/18339					99			
grinnell:18340	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/social-gospel/grinnell_18340_MODS.log	7	grinnell:social-gospel			https://digital.grinnell.edu/islandora/object/grinnell:18340			Jesse Macy at desk		P. W. Richards ~ creator	Iowa College (Grinnell, Iowa) ~ supporting host	"Jesse Macy at desk, May, 1894. On back of photo: P. W. Richards, May, 1894, ""Jigs"" Macy at desk"	1894			May, 1894										Grinnell (Iowa)	Eighteen nineties	Social gospel | Social life and customs | History | Education (Higher)		Digital Grinnell ~ host | Social Gospel at Grinnell College ~ host | Grinnell College. Special Collections and Archives ~ host	still image	photograph			image/tiff	digitized other analog		English ~ eng	grinnell:18340	http://hdl.handle.net/11084/18340					99			
grinnell:18341	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/social-gospel/grinnell_18341_MODS.log	8	grinnell:social-gospel			https://digital.grinnell.edu/islandora/object/grinnell:18341			Portrait of Jesse Macy		Unknown ~ creator	Iowa College (Grinnell, Iowa) ~ supporting host	Portrait of Jesse Macy, 1887	1887													Grinnell (Iowa)	Eighteen eighties	Social gospel | Education (Higher)		Digital Grinnell ~ host | Social Gospel at Grinnell College ~ host | Grinnell College. Special Collections and Archives ~ host	still image	photograph			image/tiff	digitized other analog		English ~ eng	grinnell:18341	http://hdl.handle.net/11084/18341					99			
grinnell:18342	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/social-gospel/grinnell_18342_MODS.log	9	grinnell:social-gospel			https://digital.grinnell.edu/islandora/object/grinnell:18342			Portrait of young Jesse Macy		Unknown ~ creator	Iowa College (Grinnell, Iowa) ~ supporting host	Portrait of young Jesse Macy	1880			Probably around the early 1880s ~ Date (Other)										Grinnell (Iowa)	Eighteen eighties	Social gospel | Education (Higher)		Digital Grinnell ~ host | Social Gospel at Grinnell College ~ host | Grinnell College. Special Collections and Archives ~ host	still image	photograph			image/tiff	digitized other analog		English ~ eng	grinnell:18342	http://hdl.handle.net/11084/18342					99			
grinnell:18343	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/social-gospel/grinnell_18343_MODS.log	10	grinnell:social-gospel			https://digital.grinnell.edu/islandora/object/grinnell:18343			Photograph of Jesse Macy		Unknown ~ creator	Iowa College (Grinnell, Iowa) ~ supporting host	Photograph of Jesse Macy	1900			Probably around the 1900s ~ Date (Other)										Grinnell (Iowa)	Ninteen hundreds (Decade)	Social gospel | Education (Higher)		Digital Grinnell ~ host | Social Gospel at Grinnell College ~ host | Grinnell College. Special Collections and Archives ~ host	still image	photograph			image/tiff	digitized other analog		English ~ eng	grinnell:18343	http://hdl.handle.net/11084/18343					99			
