PID	WORKSPACE	Import_Index	PARENT	CMODEL	SEQUENCE	OBJ	TRANSCRPT	THUMBNAIL	Title	Alternative_Titles	Personal_Names~Roles	Corporate_Names~Roles	Abstract	Index_Date	Date_Issued	Date_Captured	Other_Date~Display_Label	Publisher	Place_Of_Publication	Public_Notes~Types	Notes~Display_Label	Dates_as_Notes~Display_Label	Citations	Table_of_Contents	LCSH_Subjects	Subjects_Names~Types	Subjects_Geographic	Subjects_Temporal	Keywords	Coordinate	Related_Items~Types	Type_of_Resource~AuthorityURI	Genre~AuthorityURI	Extent	Form~AuthorityURI	MIME_Type	Digital_Origin	Classifications~Authorities	Language_Names~Codes	Local_Identifier	Handle	Physical_Location	Shelf_Locator	Access_Condition	Import_Source	Primary_Sort	Hidden_Creator	Pull_Quotes	Private_Notes~Types
faulconer:art	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/soviet-graphic-art/faulconer_art_162_MODS.log	1	grinnell:soviet-graphic-art	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/faulconer:art			Doroga v Novoul'ianovsk	The Road to Novoulyanovsk	Volovik, T. E. ~ creator			1975						On Loan from Brenda Horrigan and Eric Johnson ~ credits | Moscow, 1995 Johnson-Horrigan ~ provenance									Russian			still image								1995.009	http://hdl.handle.net/11084/faulconer-art:162			Copyright to this work is held by the artist(s). Contact the Faulconer Gallery for use and reproduction rights.		99			
faulconer:art	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/soviet-graphic-art/faulconer_art_163_MODS.log	2	grinnell:soviet-graphic-art	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/faulconer:art			Leitenant Shmidt	Lieutenant Shmidt	Grishin, N. I. | Grishin, N. I. ~ creator			1972						On Loan from Brenda Horrigan and Eric Johnson ~ credits | Moscow, 1995 Johnson-Horrigan ~ provenance									Russian			still image								1995.068	http://hdl.handle.net/11084/faulconer-art:163			Copyright to this work is held by the artist(s). Contact the Faulconer Gallery for use and reproduction rights.		99			
faulconer:art	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/soviet-graphic-art/faulconer_art_164_MODS.log	3	grinnell:soviet-graphic-art	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/faulconer:art			Mart	March	Bachurin ~ creator									On Loan from Brenda Horrigan and Eric Johnson ~ credits | Moscow, 1995 Johnson-Horrigan ~ provenance									Russian			still image			Lithograph					1995.084	http://hdl.handle.net/11084/faulconer-art:164			Copyright to this work is held by the artist(s). Contact the Faulconer Gallery for use and reproduction rights.		99			
faulconer:art	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/soviet-graphic-art/faulconer_art_165_MODS.log	4	grinnell:soviet-graphic-art	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/faulconer:art			U Kolodtsa	By the Well	Kuz'min, Iu. V. ~ creator			1974						On Loan from Brenda Horrigan and Eric Johnson ~ credits | Moscow, 1995 Johnson-Horrigan ~ provenance									Russian			still image								1995.085	http://hdl.handle.net/11084/faulconer-art:165			Copyright to this work is held by the artist(s). Contact the Faulconer Gallery for use and reproduction rights.		99			
faulconer:art	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/soviet-graphic-art/faulconer_art_166_MODS.log	5	grinnell:soviet-graphic-art	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/faulconer:art			Winter Canal	Zimniaia kanavka	Charnetskaia, M. S. ~ creator			1975						On Loan from Brenda Horrigan and Eric Johnson ~ credits | Moscow, 1995 Johnson-Horrigan ~ provenance									Russian			still image			Lithograph					1995.087	http://hdl.handle.net/11084/faulconer-art:166			Copyright to this work is held by the artist(s). Contact the Faulconer Gallery for use and reproduction rights.		99			
faulconer:art	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/soviet-graphic-art/faulconer_art_167_MODS.log	6	grinnell:soviet-graphic-art	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/faulconer:art			U ozera	At the Lake	Alymov, A. S. ~ creator			1976						On Loan from Brenda Horrigan and Eric Johnson ~ credits | Moscow, 1995 Johnson-Horrigan ~ provenance									Russian			still image								1995.089	http://hdl.handle.net/11084/faulconer-art:167			Copyright to this work is held by the artist(s). Contact the Faulconer Gallery for use and reproduction rights.		99			
faulconer:art	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/soviet-graphic-art/faulconer_art_169_MODS.log	7	grinnell:soviet-graphic-art	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/faulconer:art			Novo-Lipetskii metallurgicheskii zavod. K.K.Ts.-1	Novo-Lipetsk Metal Works. Metal Shop # 1.	Zhukov, V. V. ~ creator			1975						On Loan from Brenda Horrigan and Eric Johnson ~ credits | Moscow, 1995 Johnson-Horrigan ~ provenance									Russian			still image			Linocut					1995.102	http://hdl.handle.net/11084/faulconer-art:169			Copyright to this work is held by the artist(s). Contact the Faulconer Gallery for use and reproduction rights.		99			
faulconer:art	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/soviet-graphic-art/faulconer_art_170_MODS.log	8	grinnell:soviet-graphic-art	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/faulconer:art			Vologda. Bashnia Prilutskoi kreposti	Vologda. The Tower of Prilutskoi Fortress	Bernshtein, E. B. ~ creator			1974						On Loan from Brenda Horrigan and Eric Johnson ~ credits | Moscow, 1995 Johnson-Horrigan ~ provenance									Russian			still image								1995.103	http://hdl.handle.net/11084/faulconer-art:170			Copyright to this work is held by the artist(s). Contact the Faulconer Gallery for use and reproduction rights.		99			
faulconer:art	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/soviet-graphic-art/faulconer_art_171_MODS.log	9	grinnell:soviet-graphic-art	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/faulconer:art			Vesna v Arteke	Spring in Artek	Bol'shakova ~ creator									On Loan from Brenda Horrigan and Eric Johnson ~ credits | Moscow, 1995 Johnson-Horrigan ~ provenance									Russian			still image			Linocut					1995.104	http://hdl.handle.net/11084/faulconer-art:171			Copyright to this work is held by the artist(s). Contact the Faulconer Gallery for use and reproduction rights.		99			
faulconer:art	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/soviet-graphic-art/faulconer_art_172_MODS.log	10	grinnell:soviet-graphic-art	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/faulconer:art			Piskarevskoe kladbishche	Piskarev County	Ushin, A. A. | Ushin, A. A. ~ creator			1975						On Loan from Brenda Horrigan and Eric Johnson ~ credits | Moscow, 1995 Johnson-Horrigan ~ provenance									Russian			still image			Linocut					1995.105	http://hdl.handle.net/11084/faulconer-art:172			Copyright to this work is held by the artist(s). Contact the Faulconer Gallery for use and reproduction rights.		99			
