PID	WORKSPACE	Import_Index	PARENT	CMODEL	SEQUENCE	OBJ	TRANSCRPT	THUMBNAIL	Title	Alternative_Titles	Personal_Names~Roles	Corporate_Names~Roles	Abstract	Index_Date	Date_Issued	Date_Captured	Other_Date~Display_Label	Publisher	Place_Of_Publication	Public_Notes~Types	Notes~Display_Label	Dates_as_Notes~Display_Label	Citations	Table_of_Contents	LCSH_Subjects	Subjects_Names~Types	Subjects_Geographic	Subjects_Temporal	Keywords	Coordinate	Related_Items~Types	Type_of_Resource~AuthorityURI	Genre~AuthorityURI	Extent	Form~AuthorityURI	MIME_Type	Digital_Origin	Classifications~Authorities	Language_Names~Codes	Local_Identifier	Handle	Physical_Location	Shelf_Locator	Access_Condition	Import_Source	Primary_Sort	Hidden_Creator	Pull_Quotes	Private_Notes~Types
grinnell:10170	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/special-collections/grinnell_10170_MODS.log	1	grinnell:special-collections	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10170			Our Church Greeting	Jodial Bushnell Grinnell	Leonard Fletcher | Parker | Parker, Leonard F. (Leonard Fletcher), 1825- ~ author	Congregational Church of Grinnell ~ supporting host	This leaflet contains biographical information about J.B. Grinnell.		1891-04-05			Grinnell College									Grinnell		J. B. Grinnell | funeral | obituary		Digital Grinnell ~ host | Poweshiek History Preservation Project ~ host	Ephemera						52 pG88bi ~ ddc	English ~ eng	grinnell:10170	http://hdl.handle.net/11084/10170			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10171	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/special-collections/grinnell_10171_MODS.log	2	grinnell:special-collections	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10171			Our Church Greeting	Jodial Bushnell Grinnell	Leonard Fletcher | Parker | Parker, Leonard F. (Leonard Fletcher), 1825- ~ author	Congregational Church of Grinnell ~ supporting host	This leaflet contains biographical information about J.B. Grinnell.		1891-04-05			Grinnell College									Grinnell		J. B. Grinnell | funeral | obituary		Digital Grinnell ~ host | Poweshiek History Preservation Project ~ host	Ephemera						52 pG88bi ~ ddc	English ~ eng	grinnell:10171	http://hdl.handle.net/11084/10171			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10172	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/special-collections/grinnell_10172_MODS.log	3	grinnell:special-collections	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10172			Congress 1864	13 Amendment		Congress ~ supporting host	A photograph of the signers of the 13 Amendment (Congress 1864)where Hon. J.B. Grinnell can be seen. A caption of the photograph is attached.		1864			Grinnell College											congress | 13 amendment | J.B. Grinnell		Poweshiek History Preservation Project ~ host	Photograph						52 pG88bi ~ ddc	English ~ eng	grinnell:10172	http://hdl.handle.net/11084/10172			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10173	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/special-collections/grinnell_10173_MODS.log	4	grinnell:special-collections	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10173			Congress 1864	13 Amendment		Congress ~ supporting host	A photograph of the signers of the 13 Amendment (Congress 1864)where Hon. J.B. Grinnell can be seen. A caption of the photograph is attached.		1864			Grinnell College											congress | 13 amendment | J.B. Grinnell		Poweshiek History Preservation Project ~ host	Photograph						52 pG88bi ~ ddc	English ~ eng	grinnell:10173	http://hdl.handle.net/11084/10173			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10174	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/special-collections/grinnell_10174_MODS.log	5	grinnell:special-collections	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10174			Wendell Phillips to My Father	Letter from Wendell Phillips Relating to My Father	Wendell | Phillips | Phillips, Wendell ~ author | Leavitt | Stoddard | Stoddard, Leavitt ~ author		Two letters in the same envelope addressed to mrs David Mears. One is from Wendell Phillips to John where J.B. Grinnell is mentioned as the writer's personal friend and the college is also brought up. The second one is a note by Leavitt Stoddard to mrs. David Mears saying he had enclosed the aforementioned letter for her to read which he thinks she would be interested in.					Grinnell College													Digital Grinnell ~ host | Poweshiek History Preservation Project ~ host	Other						52 pG88bi ~ ddc	English ~ eng	grinnell:10174	http://hdl.handle.net/11084/10174			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10175	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/special-collections/grinnell_10175_MODS.log	6	grinnell:special-collections	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10175			Wendell Phillips to My Father	Letter from Wendell Phillips Relating to My Father	Wendell | Phillips | Phillips, Wendell ~ author | Leavitt | Stoddard | Stoddard, Leavitt ~ author		Two letters in the same envelope addressed to mrs David Mears. One is from Wendell Phillips to John where J.B. Grinnell is mentioned as the writer's personal friend and the college is also brought up. The second one is a note by Leavitt Stoddard to mrs. David Mears saying he had enclosed the aforementioned letter for her to read which he thinks she would be interested in.					Grinnell College													Digital Grinnell ~ host | Poweshiek History Preservation Project ~ host	Other						52 pG88bi ~ ddc	English ~ eng	grinnell:10175	http://hdl.handle.net/11084/10175			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10176	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/special-collections/grinnell_10176_MODS.log	7	grinnell:special-collections	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10176			Wendell Phillips to My Father	Letter from Wendell Phillips Relating to My Father	Wendell | Phillips | Phillips, Wendell ~ author | Leavitt | Stoddard | Stoddard, Leavitt ~ author		Two letters in the same envelope addressed to mrs David Mears. One is from Wendell Phillips to John where J.B. Grinnell is mentioned as the writer's personal friend and the college is also brought up. The second one is a note by Leavitt Stoddard to mrs. David Mears saying he had enclosed the aforementioned letter for her to read which he thinks she would be interested in.					Grinnell College													Digital Grinnell ~ host | Poweshiek History Preservation Project ~ host	Other						52 pG88bi ~ ddc	English ~ eng	grinnell:10176	http://hdl.handle.net/11084/10176			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10193	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/special-collections/grinnell_10193_MODS.log	8	grinnell:special-collections	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10193			"Mary Mears' ""Beecher elm"" Letter"		Mary Grinnell | Mears | Mears, Mary Grinnell ~ author		"Letter of Mary Mears to her ""darling friend"" recounting the story of how an elm tree in the yard of her childhood home came to be known as ""Beecher."""					Grinnell College									Gri		Beecher elm | Grinnell		Digital Grinnell ~ host | Poweshiek History Preservation Project ~ host	Manuscript						52 pG88lm ~ ddc	English ~ eng	grinnell:10193	http://hdl.handle.net/11084/10193			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10194	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/special-collections/grinnell_10194_MODS.log	9	grinnell:special-collections	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10194			"Mary Mears' ""Beecher elm"" Letter"		Mary Grinnell | Mears | Mears, Mary Grinnell ~ author		"Letter of Mary Mears to her ""darling friend"" recounting the story of how an elm tree in the yard of her childhood home came to be known as ""Beecher."""					Grinnell College									Gri		Beecher elm | Grinnell		Digital Grinnell ~ host | Poweshiek History Preservation Project ~ host	Manuscript						52 pG88lm ~ ddc	English ~ eng	grinnell:10194	http://hdl.handle.net/11084/10194			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10195	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/special-collections/grinnell_10195_MODS.log	10	grinnell:special-collections	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10195			J.B. Grinnell's Portraits				A collection of J.B. Grinnell's portraits					Grinnell College											J.B. Grinnell | photo | portrait		Digital Grinnell ~ host | Poweshiek History Preservation Project ~ host	Photograph						52 pG88ph ~ ddc	English ~ eng	grinnell:10195	http://hdl.handle.net/11084/10195			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
