PID	WORKSPACE	Import_Index	PARENT	CMODEL	SEQUENCE	OBJ	TRANSCRPT	THUMBNAIL	Title	Alternative_Titles	Personal_Names~Roles	Corporate_Names~Roles	Abstract	Index_Date	Date_Issued	Date_Captured	Other_Date~Display_Label	Publisher	Place_Of_Publication	Public_Notes~Types	Notes~Display_Label	Dates_as_Notes~Display_Label	Citations	Table_of_Contents	LCSH_Subjects	Subjects_Names~Types	Subjects_Geographic	Subjects_Temporal	Keywords	Coordinate	Related_Items~Types	Type_of_Resource~AuthorityURI	Genre~AuthorityURI	Extent	Form~AuthorityURI	MIME_Type	Digital_Origin	Classifications~Authorities	Language_Names~Codes	Local_Identifier	Handle	Physical_Location	Shelf_Locator	Access_Condition	Import_Source	Primary_Sort	Hidden_Creator	Pull_Quotes	Private_Notes~Types
grinnell:100	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/student-scholarship/grinnell_100_MODS.log	1	grinnell:student-scholarship	islandora:sp_pdf		https://digital.grinnell.edu/islandora/object/grinnell:100			Avoiding the New Cold War: Environmental Conflict Resolution and the Need for an International Legal Regime in the High Arctic		Sam | Mulopulos | Mulopulos, Sam ~ author	Grinnell College. Peace Studies Program ~ Supporting host	Sam Mulopulos' submission to the 2012 Peace Studies Student Conference	2012			2012-03	Grinnell College							Global warming | Environmentalism | Environmental law, International		Arctic regions				Peace Studies Student Conference ~ host | Social Justice at Grinnell ~ host | Digital Grinnell ~ host	Student paper		17 pages		application/pdf	born digital		English ~ eng	grinnell:100	http://hdl.handle.net/11084/100			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:101	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/student-scholarship/grinnell_101_MODS.log	2	grinnell:student-scholarship	islandora:sp_pdf		https://digital.grinnell.edu/islandora/object/grinnell:101			Cumulative Effects of Systematic Discrimination Against Transgender Americans			Grinnell College. Peace Studies Program ~ supporting host	Aurora Quinn-Elmore's submission to the 2012 Peace Studies Student Conference	2012			2012-03	Grinnell College							Psychological aspects | Transgender people | Sexual minorities | Discrimination | Social aspects						Peace Studies Student Conference ~ host | Social Justice at Grinnell ~ host | Digital Grinnell ~ host	text	research paper	14 pages		application/pdf	born digital	HQ ~ lcc	English ~ eng	grinnell:101	http://hdl.handle.net/11084/101			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:102	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/student-scholarship/grinnell_102_MODS.log	3	grinnell:student-scholarship	islandora:sp_pdf		https://digital.grinnell.edu/islandora/object/grinnell:102			They Gotta Deal With It: Individual Rights, Public Welfare, and the Regulation of Deviance in Public Spaces	Individual Rights, Public Welfare, and the Regulation of Deviance in Public Spaces	Hannah | Sagin | Sagin, Hannah	Grinnell College. Peace Studies Program ~ supporting host	Hannah Sagin's submission to the 2012 Peace Studies Student Conference	2012			2012-03	Grinnell College							Street vendors | Deviant behavior | Public spaces | Occupy movement						Peace Studies Student Conference ~ host | Social Justice at Grinnell ~ host | Digital Grinnell ~ host | Student Scholarship ~ host	text	research paper	10 pages		application/pdf	born digital		English ~ eng	grinnell:102	http://hdl.handle.net/11084/102			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10361	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/student-scholarship/grinnell_10361_MODS.log	4	grinnell:student-scholarship	islandora:sp_pdf		https://digital.grinnell.edu/islandora/object/grinnell:10361			Straws of Steel: Earthquake-proof Houses		Ashraya | Dixit | Dixit, Ashraya ~ author	Grinnell College. Peace Studies Program ~ Supporting host	Ashraya Dixit, recipient of a Davis Projects for Peace grant, described the project as	2011				Grinnell College							Building materials | Straw bale houses | Nepal | Dwellings | Building		Nepal		Davis Projects for Peace (2011)		Social Justice at Grinnell ~ host | Davis Projects for Peace ~ host | Digital Grinnell ~ host	Article		4 pages		application/pdf	born digital		English ~ eng	grinnell:10361	http://hdl.handle.net/11084/10361			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10362	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/student-scholarship/grinnell_10362_MODS.log	5	grinnell:student-scholarship	islandora:sp_pdf		https://digital.grinnell.edu/islandora/object/grinnell:10362			Straws of Steel: Earthquake-proof Houses		Ashraya | Dixit | Dixit, Ashraya ~ author	Grinnell College. Peace Studies Program ~ Supporting host	Ashraya Dixit, recipient of a Davis Projects for Peace grant, described the project as	2011				Grinnell College							Building materials | Straw bale houses | Nepal | Dwellings | Building		Nepal		Davis Projects for Peace (2011)		Social Justice at Grinnell ~ host | Davis Projects for Peace ~ host | Digital Grinnell ~ host	Article		4 pages		application/pdf	born digital		English ~ eng	grinnell:10362	http://hdl.handle.net/11084/10362			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10392	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/student-scholarship/grinnell_10392_MODS.log	6	grinnell:student-scholarship	islandora:sp_videoCModel		https://digital.grinnell.edu/islandora/object/grinnell:10392			Exploring Self-governance at Grinnell	Self-governance at Grinnell College | Self Governance at Grinnell College	Hugh | Redford | Redford, Hugh | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas		Presentation of research done for Mentored Advanced Project (MAP)in Anthropology on self-governance at Grinnell College	2010			2010-04-28	Grinnell College							Grinnell College | College students | Conduct of life		Grinnell (Iowa)				Liberal Arts Scholarly Repository ~ host | Digital Grinnell ~ host | Mentored Advanced Project ~ host | Student Scholarship ~ host	moving image	motion picture	3 Quicktime movies, 104.6Mb, 65.03Mb, 111.5Mb			born digital		English ~ eng	grinnell:10392	http://hdl.handle.net/11084/10392			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10393	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/student-scholarship/grinnell_10393_MODS.log	7	grinnell:student-scholarship	islandora:sp_videoCModel		https://digital.grinnell.edu/islandora/object/grinnell:10393			Exploring Self-governance at Grinnell	Self-governance at Grinnell College | Self Governance at Grinnell College	Hugh | Redford | Redford, Hugh ~ author | D. Douglas (Doug) | Caulkins | Caulkins, Douglas ~ advisor	Grinnell College. Anthropology. ~ Supporting host	Presentation of research done for Mentored Advanced Project (MAP)in Anthropology on self-governance at Grinnell College	2010			2010-04-28	Grinnell College							Grinnell College | Mentored Advanced Project | College students | Conduct of life		Grinnell (Iowa)				Liberal Arts Scholarly Repository ~ host | Digital Grinnell ~ host	Video		3 Quicktime movies, 104.6Mb, 65.03Mb, 111.5Mb		video/quicktime	born digital		English ~ eng	grinnell:10393	http://hdl.handle.net/11084/10393			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10394	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/student-scholarship/grinnell_10394_MODS.log	8	grinnell:student-scholarship	islandora:sp_videoCModel		https://digital.grinnell.edu/islandora/object/grinnell:10394			Exploring Self-governance at Grinnell	Self-governance at Grinnell College | Self Governance at Grinnell College	Hugh | Redford | Redford, Hugh ~ author | D. Douglas (Doug) | Caulkins | Caulkins, Douglas ~ advisor	Grinnell College. Anthropology. ~ Supporting host	Presentation of research done for Mentored Advanced Project (MAP)in Anthropology on self-governance at Grinnell College	2010			2010-04-28	Grinnell College							Grinnell College | Mentored Advanced Project | College students | Conduct of life		Grinnell (Iowa)				Liberal Arts Scholarly Repository ~ host | Digital Grinnell ~ host	Video		3 Quicktime movies, 104.6Mb, 65.03Mb, 111.5Mb		video/quicktime	born digital		English ~ eng	grinnell:10394	http://hdl.handle.net/11084/10394			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10424	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/student-scholarship/grinnell_10424_MODS.log	9	grinnell:student-scholarship	islandora:sp_pdf		https://digital.grinnell.edu/islandora/object/grinnell:10424			Peace in the Mountains		Ami | Shrestha | Shrestha, Ami ~ author	Grinnell College. Peace Studies Program ~ Supporting host	Ami Shrestha's Davis Peace Project undertaking. Focused on bringing education to young Tibetan monks.	2010				Grinnell College							Nepal | Education | Buddhist education | Buddhist monasteries		Nepal	2010	Davis Projects for Peace (2010)		Social Justice at Grinnell ~ host | Davis Projects for Peace ~ host | Digital Grinnell ~ host	Presentation							English ~ eng	grinnell:10424	http://hdl.handle.net/11084/10424			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10425	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/student-scholarship/grinnell_10425_MODS.log	10	grinnell:student-scholarship	islandora:sp_pdf		https://digital.grinnell.edu/islandora/object/grinnell:10425			Peace in the Mountains		Ami | Shrestha | Shrestha, Ami ~ author	Grinnell College. Peace Studies Program ~ Supporting host	Ami Shrestha's Davis Peace Project undertaking. Focused on bringing education to young Tibetan monks.	2010				Grinnell College							Nepal | Education | Buddhist education | Buddhist monasteries		Nepal	2010	Davis Projects for Peace (2010)		Social Justice at Grinnell ~ host | Davis Projects for Peace ~ host | Digital Grinnell ~ host	Presentation							English ~ eng	grinnell:10425	http://hdl.handle.net/11084/10425			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
